tick_id,day,session_id,settlement_id,resident_id,site_id,sprite_x_before,sprite_y_before,sprite_x_after,sprite_y_after,animation_frame_index,easing_label,path_progress_before,path_progress_after,body_pose,sensory_overlay,animated_path_visible
0,1,canvas-session-001,lichen_bridge,Luma,meal_room,106,104,118,116,0,cautious-step,0.377419,0.416129,reaching,bowl clink; lichen soup; warm steam,True
1,1,canvas-session-001,orchid_engine,Dax,engine_ring,148,136,156,128,1,ease-in-out,0.974194,1.0,walking,valve pulse; warm iron; hot dry,True
2,1,canvas-session-001,moss_ward,Tala,blanket_room,190,168,202,160,2,ease-in-out,0.893548,0.925806,walking,loom creak; warm wool; warm dry,True
3,1,canvas-session-001,glass_harbor,Nia,fog_rail,64,72,76,84,3,cautious-step,0.325806,0.364516,walking,fog bell; cold fog; chilled wet,True
4,1,canvas-session-001,cinder_garden,Pax,seed_shelf,106,104,96,116,4,ease-in-out,0.796774,0.832258,reaching,seed rattle; seed oil; warm dry,True
5,1,canvas-session-001,lichen_bridge,Rin,signal_post,148,136,160,148,5,ease-in-out,0.445161,0.483871,walking,bell hum; bell tin; cool mist,True
6,1,canvas-session-001,orchid_engine,Eli,orchid_bay,190,168,202,164,6,cautious-step,0.570968,0.596774,walking,steam sigh; orchid oil; humid warm,True
7,1,canvas-session-001,moss_ward,Ari,rain_gate,64,72,76,84,7,ease-in-out,0.567742,0.606452,walking,rain taps; wet moss; cold damp,True
8,1,canvas-session-001,glass_harbor,Oren,net_room,106,104,118,116,8,ease-in-out,0.545161,0.583871,reaching,net rasp; salt fiber; mild damp,True
9,1,canvas-session-001,cinder_garden,Vale,shade_tent,148,136,160,148,9,cautious-step,0.419355,0.458065,walking,cloth flap; dry shade; soft warm,True
10,1,canvas-session-001,lichen_bridge,Sol,rope_bridge,190,168,178,180,10,ease-in-out,0.622581,0.66129,walking,rope strain; damp rope; wet breeze,True
11,1,canvas-session-001,orchid_engine,Bea,gear_wash,64,72,76,84,11,ease-in-out,0.232258,0.270968,walking,gear brush; gear oil; warm damp,True
12,1,canvas-session-001,moss_ward,Fay,root_alcove,106,104,118,96,0,cautious-step,0.53871,0.570968,reaching,root drip; root ink; cool still,True
13,1,canvas-session-001,glass_harbor,Puck,lamp_pier,148,136,136,148,1,ease-in-out,0.612903,0.651613,walking,lamp hiss; lamp oil; salt cold,True
14,1,canvas-session-001,cinder_garden,Wren,ash_path,190,168,202,180,2,ease-in-out,0.641935,0.680645,walking,ash crunch; cool ash; hot edge,True
15,1,canvas-session-001,lichen_bridge,Kio,meal_room,64,72,76,84,3,cautious-step,0.258065,0.296774,walking,bowl clink; lichen soup; warm steam,True
16,1,canvas-session-001,orchid_engine,Cai,engine_ring,106,104,118,116,4,ease-in-out,0.880645,0.919355,reaching,valve pulse; warm iron; hot dry,True
17,1,canvas-session-001,moss_ward,Milo,blanket_room,148,136,160,148,5,ease-in-out,0.8,0.83871,walking,loom creak; warm wool; warm dry,True
18,2,canvas-session-001,cinder_garden,Vale,seed_shelf,160,148,148,160,6,cautious-step,0.780645,0.819355,reaching,seed rattle; seed oil; warm dry,True
19,2,canvas-session-001,lichen_bridge,Sol,signal_post,178,180,190,192,7,ease-in-out,0.564516,0.603226,walking,bell hum; bell tin; cool mist,True
20,2,canvas-session-001,orchid_engine,Bea,orchid_bay,76,84,88,96,8,ease-in-out,0.264516,0.303226,walking,steam sigh; orchid oil; humid warm,True
21,2,canvas-session-001,moss_ward,Fay,rain_gate,118,96,106,108,9,cautious-step,0.609677,0.648387,walking,rain taps; wet moss; cold damp,True
22,2,canvas-session-001,glass_harbor,Puck,net_room,136,148,148,160,10,ease-in-out,0.664516,0.703226,reaching,net rasp; salt fiber; mild damp,True
23,2,canvas-session-001,cinder_garden,Wren,shade_tent,202,180,214,192,11,ease-in-out,0.577419,0.616129,walking,cloth flap; dry shade; soft warm,True
24,2,canvas-session-001,lichen_bridge,Kio,rope_bridge,76,84,80,96,0,cautious-step,0.658065,0.683871,walking,rope strain; damp rope; wet breeze,True
25,2,canvas-session-001,orchid_engine,Cai,gear_wash,118,116,130,128,1,ease-in-out,0.390323,0.429032,walking,gear brush; gear oil; warm damp,True
26,2,canvas-session-001,moss_ward,Milo,root_alcove,160,148,172,136,2,ease-in-out,0.554839,0.593548,reaching,root drip; root ink; cool still,True
27,2,canvas-session-001,glass_harbor,Sera,lamp_pier,190,168,178,180,3,cautious-step,0.596774,0.635484,walking,lamp hiss; lamp oil; salt cold,True
28,2,canvas-session-001,cinder_garden,Juno,ash_path,64,72,76,84,4,ease-in-out,0.283871,0.322581,walking,ash crunch; cool ash; hot edge,True
