day,lineage,agent,prior_schedule,sleep_effect,next_day_schedule,project_progress_after_sleep,mistake_avoidance,schedule_hash
1,Hearthline,Sova,Hearth Archive hearth ceramics work before sleep,rested work,Sova does rested work; continue normal work with rehearsal note; progress=0.26,0.26341,0.887203,5f88fc458aa1dd4c
1,Routeline,Keth,Gate Ring stone bridge joints work before sleep,rested work,Keth does rested work; continue normal work with rehearsal note; progress=0.28,0.28339,0.886883,59f409acc7d2a7c8
1,Marketline,Melo,Market Measure measure weights work before sleep,rested work,Melo does rested work; continue normal work with rehearsal note; progress=0.30,0.303357,0.886323,1602e8480fd8ee2e
1,Ledgerline,Nari,Hearth Archive seed ledgers work before sleep,rested work,Nari does rested work; continue normal work with rehearsal note; progress=0.32,0.323443,0.887763,ec98cb57050de4f7
1,Orchardline,Ori,Ceremony Center water terraces work before sleep,rested work,Ori does rested work; continue normal work with rehearsal note; progress=0.34,0.343352,0.886243,aa191a8b9ec45da3
1,Rainline,Vonn,Rainwalk Threshold weather bells work before sleep,rested work,Vonn does rested work; continue normal work with rehearsal note; progress=0.36,0.363419,0.887363,dd27556c296ea6d1
2,Hearthline,Sova,Hearth Archive hearth ceramics work before sleep,rested work,Sova does rested work; continue normal work with rehearsal note; progress=0.29,0.286819,0.878337,ca53b5e6369ebbaf
2,Routeline,Keth,Gate Ring stone bridge joints work before sleep,rested work,Keth does rested work; continue normal work with rehearsal note; progress=0.31,0.306781,0.878017,2bdc4ee4df2d6bc0
2,Marketline,Melo,Market Measure measure weights work before sleep,rested work,Melo does rested work; continue normal work with rehearsal note; progress=0.33,0.326714,0.877457,e3753044d6f2b55b
2,Ledgerline,Nari,Hearth Archive seed ledgers work before sleep,rested work,Nari does rested work; continue normal work with rehearsal note; progress=0.35,0.346886,0.878897,06d2a5fee1085953
2,Orchardline,Ori,Ceremony Center water terraces work before sleep,rested work,Ori does rested work; continue normal work with rehearsal note; progress=0.37,0.366704,0.877377,3fdad37028ff5b7c
2,Rainline,Vonn,Rainwalk Threshold weather bells work before sleep,rested work,Vonn does rested work; continue normal work with rehearsal note; progress=0.39,0.386838,0.878497,c9f27fcefc33fc89
3,Hearthline,Sova,Hearth Archive hearth ceramics work before sleep,rested work,Sova does rested work; continue normal work with rehearsal note; progress=0.31,0.310229,0.885754,d910b1feabe1d8f8
3,Routeline,Keth,Gate Ring stone bridge joints work before sleep,rested work,Keth does rested work; continue normal work with rehearsal note; progress=0.33,0.330171,0.885434,ebe298447059cb65
3,Marketline,Melo,Market Measure measure weights work before sleep,rested work,Melo does rested work; continue normal work with rehearsal note; progress=0.35,0.35007,0.884874,f5e1348bc4338194
3,Ledgerline,Nari,Hearth Archive seed ledgers work before sleep,rested work,Nari does rested work; continue normal work with rehearsal note; progress=0.37,0.37033,0.886314,eaecfbfa42b61756
3,Orchardline,Ori,Ceremony Center water terraces work before sleep,rested work,Ori does rested work; continue normal work with rehearsal note; progress=0.39,0.390056,0.884794,fb2b1e1bfa083cec
3,Rainline,Vonn,Rainwalk Threshold weather bells work before sleep,rested work,Vonn does rested work; continue normal work with rehearsal note; progress=0.41,0.410258,0.885914,5fec95d1dd55c8d0
4,Hearthline,Sova,Hearth Archive hearth ceramics work before sleep,rested work,Sova does rested work; continue normal work with rehearsal note; progress=0.33,0.3335,0.883056,4db0e8af7f8523dd
4,Routeline,Keth,Gate Ring stone bridge joints work before sleep,rested work,Keth does rested work; continue normal work with rehearsal note; progress=0.35,0.353424,0.882736,2060920379c54158
4,Marketline,Melo,Market Measure measure weights work before sleep,rested work,Melo does rested work; continue normal work with rehearsal note; progress=0.37,0.373289,0.882176,e71e2639362b9f4d
4,Ledgerline,Nari,Hearth Archive seed ledgers work before sleep,rested work,Nari does rested work; continue normal work with rehearsal note; progress=0.39,0.393635,0.883616,5a33f0064de08c44
4,Orchardline,Ori,Ceremony Center water terraces work before sleep,rested work,Ori does rested work; continue normal work with rehearsal note; progress=0.41,0.41327,0.882096,4734395682fce55c
4,Rainline,Vonn,Rainwalk Threshold weather bells work before sleep,rested work,Vonn does rested work; continue normal work with rehearsal note; progress=0.43,0.433539,0.883216,b50215b67ad34788
5,Hearthline,Sova,Hearth Archive hearth ceramics work before sleep,rested work,Sova does rested work; continue normal work with rehearsal note; progress=0.36,0.35691,0.88446,d1a6697e35ee2f53
5,Routeline,Keth,Gate Ring stone bridge joints work before sleep,rested work,Keth does rested work; continue normal work with rehearsal note; progress=0.38,0.376814,0.88414,830b8b49dc1dbbdc
5,Marketline,Melo,Market Measure measure weights work before sleep,rested work,Melo does rested work; continue normal work with rehearsal note; progress=0.40,0.396646,0.88358,6aa56d2ca4399826
5,Ledgerline,Nari,Hearth Archive seed ledgers work before sleep,rested work,Nari does rested work; continue normal work with rehearsal note; progress=0.42,0.417078,0.88502,ad0c67e1b8374668
5,Orchardline,Ori,Ceremony Center water terraces work before sleep,rested work,Ori does rested work; continue normal work with rehearsal note; progress=0.44,0.436622,0.8835,059c21347b67c546
5,Rainline,Vonn,Rainwalk Threshold weather bells work before sleep,rested work,Vonn does rested work; continue normal work with rehearsal note; progress=0.46,0.456958,0.88462,22d78ea62a100875
6,Hearthline,Sova,Hearth Archive hearth ceramics work before sleep,rested work,Sova does rested work; continue normal work with rehearsal note; progress=0.38,0.38032,0.885038,84a0f13ac38b22a4
6,Routeline,Keth,Gate Ring stone bridge joints work before sleep,rested work,Keth does rested work; continue normal work with rehearsal note; progress=0.40,0.400204,0.884718,6fc26ff371cdf614
6,Marketline,Melo,Market Measure measure weights work before sleep,rested work,Melo does rested work; continue normal work with rehearsal note; progress=0.42,0.420003,0.884158,a79dbdc78f2e6e4a
6,Ledgerline,Nari,Hearth Archive seed ledgers work before sleep,rested work,Nari does rested work; continue normal work with rehearsal note; progress=0.44,0.440521,0.885598,ea3a7c6fa7a39162
6,Orchardline,Ori,Ceremony Center water terraces work before sleep,rested work,Ori does rested work; continue normal work with rehearsal note; progress=0.46,0.459974,0.884078,12ea5c8c895babde
6,Rainline,Vonn,Rainwalk Threshold weather bells work before sleep,rested work,Vonn does rested work; continue normal work with rehearsal note; progress=0.48,0.480377,0.885198,ba969666ca6618f9
7,Hearthline,Sova,Hearth Archive hearth ceramics work before sleep,rested work,Sova does rested work; continue normal work with rehearsal note; progress=0.40,0.403729,0.877,4821ee7c86efabae
7,Routeline,Keth,Gate Ring stone bridge joints work before sleep,rested work,Keth does rested work; continue normal work with rehearsal note; progress=0.42,0.423595,0.87668,52f1ab83c27cf45e
7,Marketline,Melo,Market Measure measure weights work before sleep,rested work,Melo does rested work; continue normal work with rehearsal note; progress=0.44,0.44336,0.87612,0ba2f36801c833f3
7,Ledgerline,Nari,Hearth Archive seed ledgers work before sleep,rested work,Nari does rested work; continue normal work with rehearsal note; progress=0.46,0.463964,0.87756,0b594546d1b286bd
7,Orchardline,Ori,Ceremony Center water terraces work before sleep,rested work,Ori does rested work; continue normal work with rehearsal note; progress=0.48,0.483326,0.87604,f431ac19ceebc0f2
7,Rainline,Vonn,Rainwalk Threshold weather bells work before sleep,rested work,Vonn does rested work; continue normal work with rehearsal note; progress=0.50,0.503796,0.87716,83c0a09b4a9ec7f3
8,Hearthline,Sova,Hearth Archive hearth ceramics work before sleep,rested work,Sova does rested work; continue normal work with rehearsal note; progress=0.43,0.427139,0.884751,ca1ef49d8b4dad4f
8,Routeline,Keth,Gate Ring stone bridge joints work before sleep,rested work,Keth does rested work; continue normal work with rehearsal note; progress=0.45,0.446985,0.884431,c71bd0577300f4b3
