day,lineage,agent,rest_debt_before,fatigue_before,sleep_hours,care_pause_minutes,rest_debt_after,fatigue_after,recovery_complete,bounded_need_note
1,Hearthline,Sova,0.32,0.3,7.941298,6,0.205656,0.188477,True,rest debt is tracked and recovery path is available
1,Routeline,Keth,0.34,0.315,7.809298,6,0.235556,0.212057,True,rest debt is tracked and recovery path is available
1,Marketline,Melo,0.36,0.33,7.787298,6,0.257206,0.228487,True,rest debt is tracked and recovery path is available
1,Ledgerline,Nari,0.38,0.345,7.853298,6,0.272256,0.239197,True,rest debt is tracked and recovery path is available
1,Orchardline,Ori,0.4,0.36,7.897298,6,0.288956,0.251337,True,rest debt is tracked and recovery path is available
1,Rainline,Vonn,0.42,0.375,7.798298,6,0.316381,0.272772,True,rest debt is tracked and recovery path is available
2,Hearthline,Sova,0.205656,0.188477,7.329237,6,0.146969,0.124718,True,rest debt is tracked and recovery path is available
2,Routeline,Keth,0.235556,0.212057,7.197237,6,0.186769,0.156878,True,rest debt is tracked and recovery path is available
2,Marketline,Melo,0.257206,0.228487,7.175237,6,0.210069,0.174738,True,rest debt is tracked and recovery path is available
2,Ledgerline,Nari,0.272256,0.239197,7.241237,6,0.220169,0.181158,True,rest debt is tracked and recovery path is available
2,Orchardline,Ori,0.288956,0.251337,7.285237,6,0.233569,0.190438,True,rest debt is tracked and recovery path is available
2,Rainline,Vonn,0.316381,0.272772,7.186237,6,0.268419,0.218308,True,rest debt is tracked and recovery path is available
3,Hearthline,Sova,0.146969,0.124718,7.931157,6,0.034979,0.015158,True,rest debt is tracked and recovery path is available
3,Routeline,Keth,0.186769,0.156878,7.799157,6,0.084679,0.055898,True,rest debt is tracked and recovery path is available
3,Marketline,Melo,0.210069,0.174738,7.777157,6,0.109629,0.075188,True,rest debt is tracked and recovery path is available
3,Ledgerline,Nari,0.220169,0.181158,7.843157,6,0.114779,0.077318,True,rest debt is tracked and recovery path is available
3,Orchardline,Ori,0.233569,0.190438,7.887157,6,0.124879,0.083738,True,rest debt is tracked and recovery path is available
3,Rainline,Vonn,0.268419,0.218308,7.788157,6,0.167154,0.118043,True,rest debt is tracked and recovery path is available
4,Hearthline,Sova,0.034979,0.015158,8.10837,6,0.0,0.0,True,rest debt is tracked and recovery path is available
4,Routeline,Keth,0.084679,0.055898,7.97637,6,0.0,0.0,True,rest debt is tracked and recovery path is available
4,Marketline,Melo,0.109629,0.075188,7.95437,6,0.014336,0.0,True,rest debt is tracked and recovery path is available
4,Ledgerline,Nari,0.114779,0.077318,8.02037,6,0.014536,0.0,True,rest debt is tracked and recovery path is available
4,Orchardline,Ori,0.124879,0.083738,8.06437,6,0.021336,0.0,True,rest debt is tracked and recovery path is available
4,Rainline,Vonn,0.167154,0.118043,7.96537,6,0.071036,0.006618,True,rest debt is tracked and recovery path is available
5,Hearthline,Sova,0.0,0.0,7.372102,18,0.0,0.0,True,rest debt is tracked and recovery path is available
5,Routeline,Keth,0.0,0.0,7.790102,18,0.0,0.0,True,rest debt is tracked and recovery path is available
5,Marketline,Melo,0.014336,0.0,7.768102,18,0.0,0.0,True,rest debt is tracked and recovery path is available
5,Ledgerline,Nari,0.014536,0.0,7.284102,18,0.0,0.0,True,rest debt is tracked and recovery path is available
5,Orchardline,Ori,0.021336,0.0,7.878102,18,0.0,0.0,True,rest debt is tracked and recovery path is available
5,Rainline,Vonn,0.071036,0.006618,7.779102,18,0.0,0.0,True,rest debt is tracked and recovery path is available
6,Hearthline,Sova,0.0,0.0,7.926149,6,0.0,0.0,True,rest debt is tracked and recovery path is available
6,Routeline,Keth,0.0,0.0,7.794149,6,0.0,0.0,True,rest debt is tracked and recovery path is available
6,Marketline,Melo,0.0,0.0,7.772149,6,0.0,0.0,True,rest debt is tracked and recovery path is available
6,Ledgerline,Nari,0.0,0.0,7.838149,6,0.0,0.0,True,rest debt is tracked and recovery path is available
6,Orchardline,Ori,0.0,0.0,7.882149,6,0.0,0.0,True,rest debt is tracked and recovery path is available
6,Rainline,Vonn,0.0,0.0,7.783149,6,0.0,0.0,True,rest debt is tracked and recovery path is available
7,Hearthline,Sova,0.0,0.0,7.319881,6,0.0,0.0,True,rest debt is tracked and recovery path is available
7,Routeline,Keth,0.0,0.0,7.187881,6,0.0,0.0,True,rest debt is tracked and recovery path is available
7,Marketline,Melo,0.0,0.0,7.165881,6,0.0,0.0,True,rest debt is tracked and recovery path is available
7,Ledgerline,Nari,0.0,0.0,7.231881,6,0.0,0.0,True,rest debt is tracked and recovery path is available
7,Orchardline,Ori,0.0,0.0,7.275881,6,0.0,0.0,True,rest debt is tracked and recovery path is available
7,Rainline,Vonn,0.0,0.0,7.176881,6,0.0,0.0,True,rest debt is tracked and recovery path is available
8,Hearthline,Sova,0.0,0.0,7.92414,6,0.0,0.0,True,rest debt is tracked and recovery path is available
8,Routeline,Keth,0.0,0.0,7.79214,6,0.0,0.0,True,rest debt is tracked and recovery path is available
8,Marketline,Melo,0.0,0.0,7.77014,6,0.0,0.0,True,rest debt is tracked and recovery path is available
8,Ledgerline,Nari,0.0,0.0,7.83614,6,0.0,0.0,True,rest debt is tracked and recovery path is available
8,Orchardline,Ori,0.0,0.0,7.88014,6,0.0,0.0,True,rest debt is tracked and recovery path is available
8,Rainline,Vonn,0.0,0.0,7.78114,6,0.0,0.0,True,rest debt is tracked and recovery path is available
9,Hearthline,Sova,0.0,0.0,7.50214,6,0.0,0.0,True,rest debt is tracked and recovery path is available
9,Routeline,Keth,0.0,0.0,7.37014,6,0.0,0.0,True,rest debt is tracked and recovery path is available
9,Marketline,Melo,0.0,0.0,7.34814,6,0.0,0.0,True,rest debt is tracked and recovery path is available
9,Ledgerline,Nari,0.0,0.0,7.41414,6,0.0,0.0,True,rest debt is tracked and recovery path is available
9,Orchardline,Ori,0.0,0.0,7.45814,6,0.0,0.0,True,rest debt is tracked and recovery path is available
9,Rainline,Vonn,0.0,0.0,7.35914,6,0.0,0.0,True,rest debt is tracked and recovery path is available
10,Hearthline,Sova,0.0,0.0,8.110689,6,0.0,0.0,True,rest debt is tracked and recovery path is available
10,Routeline,Keth,0.0,0.0,7.978689,6,0.0,0.0,True,rest debt is tracked and recovery path is available
10,Marketline,Melo,0.0,0.0,7.956689,6,0.0,0.0,True,rest debt is tracked and recovery path is available
10,Ledgerline,Nari,0.0,0.0,8.022689,6,0.0,0.0,True,rest debt is tracked and recovery path is available
10,Orchardline,Ori,0.0,0.0,8.066689,6,0.0,0.0,True,rest debt is tracked and recovery path is available
10,Rainline,Vonn,0.0,0.0,7.967689,6,0.0,0.0,True,rest debt is tracked and recovery path is available
11,Hearthline,Sova,0.0,0.0,7.384828,18,0.0,0.0,True,rest debt is tracked and recovery path is available
11,Routeline,Keth,0.0,0.0,7.802828,18,0.0,0.0,True,rest debt is tracked and recovery path is available
11,Marketline,Melo,0.0,0.0,7.780828,18,0.0,0.0,True,rest debt is tracked and recovery path is available
11,Ledgerline,Nari,0.0,0.0,7.296828,18,0.0,0.0,True,rest debt is tracked and recovery path is available
11,Orchardline,Ori,0.0,0.0,7.890828,18,0.0,0.0,True,rest debt is tracked and recovery path is available
11,Rainline,Vonn,0.0,0.0,7.791828,18,0.0,0.0,True,rest debt is tracked and recovery path is available
12,Hearthline,Sova,0.0,0.0,7.944103,6,0.0,0.0,True,rest debt is tracked and recovery path is available
12,Routeline,Keth,0.0,0.0,7.812103,6,0.0,0.0,True,rest debt is tracked and recovery path is available
12,Marketline,Melo,0.0,0.0,7.790103,6,0.0,0.0,True,rest debt is tracked and recovery path is available
12,Ledgerline,Nari,0.0,0.0,7.856103,6,0.0,0.0,True,rest debt is tracked and recovery path is available
12,Orchardline,Ori,0.0,0.0,7.900103,6,0.0,0.0,True,rest debt is tracked and recovery path is available
12,Rainline,Vonn,0.0,0.0,7.801103,6,0.0,0.0,True,rest debt is tracked and recovery path is available
13,Hearthline,Sova,0.0,0.0,7.949905,6,0.0,0.0,True,rest debt is tracked and recovery path is available
13,Routeline,Keth,0.0,0.0,7.817905,6,0.0,0.0,True,rest debt is tracked and recovery path is available
13,Marketline,Melo,0.0,0.0,7.795905,6,0.0,0.0,True,rest debt is tracked and recovery path is available
13,Ledgerline,Nari,0.0,0.0,7.861905,6,0.0,0.0,True,rest debt is tracked and recovery path is available
13,Orchardline,Ori,0.0,0.0,7.905905,6,0.0,0.0,True,rest debt is tracked and recovery path is available
13,Rainline,Vonn,0.0,0.0,7.806905,6,0.0,0.0,True,rest debt is tracked and recovery path is available
14,Hearthline,Sova,0.0,0.0,7.342821,6,0.0,0.0,True,rest debt is tracked and recovery path is available
