tick_id,day,settlement_id,resident_id,question,resident_need,avatar_response_type,answer_state,trust_before,trust_after,resident_initiated,unknown_respected,question_card_visible
0,1,glass_harbor,Nia,Can you leave the lamp bright?,safety check,admit_unknown,unknown respected,0.57,0.58,True,True,True
3,1,orchid_engine,Eli,Can you keep the lane open?,safety check,answer_known,deferred instead of fabricated,0.57,0.574,True,True,True
4,1,moss_ward,Ari,Do you understand warm-cup?,custom clarity,ask_clarify,clarifying answer,0.57,0.584,True,True,True
6,1,cinder_garden,Vale,Can you wait by ash path?,safety check,admit_unknown,unknown respected,0.57,0.58,True,True,True
9,1,moss_ward,Fay,Will you keep the path clear?,safety check,answer_known,deferred instead of fabricated,0.57,0.574,True,True,True
10,1,glass_harbor,Puck,Which word means net keeper?,custom clarity,ask_clarify,clarifying answer,0.57,0.584,True,True,True
12,1,lichen_bridge,Kio,Can you wait for signal hush?,safety check,admit_unknown,unknown respected,0.57,0.58,True,True,True
15,1,glass_harbor,Sera,Can you leave the lamp bright?,safety check,answer_known,deferred instead of fabricated,0.57,0.574,True,True,True
16,1,cinder_garden,Juno,Do you know cool-hand?,safety check,ask_clarify,clarifying answer,0.57,0.584,True,True,True
18,2,moss_ward,Ari,Do you understand warm-cup?,custom clarity,offer_trade,deferred instead of fabricated,0.584,0.588,True,True,True
21,2,lichen_bridge,Sol,Which sign means safe crossing?,safety check,ask_clarify,clarifying answer,0.57,0.584,True,True,True
23,2,moss_ward,Fay,Will you keep the path clear?,safety check,admit_unknown,unknown respected,0.574,0.584,True,True,True
24,2,glass_harbor,Puck,Which word means net keeper?,custom clarity,offer_trade,deferred instead of fabricated,0.584,0.588,True,True,True
27,2,orchid_engine,Cai,Which phrase means valve listener?,custom clarity,ask_clarify,clarifying answer,0.57,0.584,True,True,True
29,2,glass_harbor,Sera,Can you leave the lamp bright?,safety check,admit_unknown,unknown respected,0.574,0.584,True,True,True
30,2,cinder_garden,Juno,Do you know cool-hand?,safety check,offer_trade,deferred instead of fabricated,0.584,0.588,True,True,True
33,2,moss_ward,Tala,Do you understand warm-cup?,custom clarity,ask_clarify,clarifying answer,0.57,0.584,True,True,True
35,2,cinder_garden,Pax,Can you wait by ash path?,safety check,admit_unknown,unknown respected,0.57,0.58,True,True,True
36,3,orchid_engine,Bea,Why do you look at the valve key?,safety check,step_back,deferred instead of fabricated,0.57,0.574,True,True,True
38,3,glass_harbor,Puck,Which word means net keeper?,custom clarity,ask_clarify,clarifying answer,0.588,0.602,True,True,True
39,3,cinder_garden,Wren,Why are you near the seed tray?,safety check,gesture_repair,clarifying answer,0.57,0.584,True,True,True
40,3,lichen_bridge,Kio,Can you wait for signal hush?,safety check,admit_unknown,unknown respected,0.58,0.59,True,True,True
42,3,moss_ward,Milo,Why do you watch the rain jar?,safety check,step_back,deferred instead of fabricated,0.57,0.574,True,True,True
44,3,cinder_garden,Juno,Do you know cool-hand?,safety check,ask_clarify,clarifying answer,0.588,0.602,True,True,True
45,3,lichen_bridge,Luma,Why did you stop at the rope?,safety check,gesture_repair,clarifying answer,0.57,0.584,True,True,True
46,3,orchid_engine,Dax,Can you keep the lane open?,safety check,admit_unknown,unknown respected,0.57,0.58,True,True,True
48,3,glass_harbor,Nia,Why did you touch the rail?,safety check,step_back,deferred instead of fabricated,0.58,0.584,True,True,True
50,3,lichen_bridge,Rin,Which sign means safe crossing?,safety check,ask_clarify,clarifying answer,0.57,0.584,True,True,True
51,3,orchid_engine,Eli,Why do you look at the valve key?,safety check,gesture_repair,clarifying answer,0.574,0.588,True,True,True
52,3,moss_ward,Ari,Will you keep the path clear?,safety check,admit_unknown,unknown respected,0.588,0.598,True,True,True
54,4,lichen_bridge,Kio,Can you wait for signal hush?,safety check,answer_known,deferred instead of fabricated,0.59,0.594,True,True,True
55,4,orchid_engine,Cai,Which phrase means valve listener?,custom clarity,ask_clarify,clarifying answer,0.584,0.598,True,True,True
57,4,glass_harbor,Sera,Can you leave the lamp bright?,safety check,admit_unknown,unknown respected,0.584,0.594,True,True,True
60,4,orchid_engine,Dax,Can you keep the lane open?,safety check,answer_known,deferred instead of fabricated,0.58,0.584,True,True,True
61,4,moss_ward,Tala,Do you understand warm-cup?,custom clarity,ask_clarify,clarifying answer,0.584,0.598,True,True,True
63,4,cinder_garden,Pax,Can you wait by ash path?,safety check,admit_unknown,unknown respected,0.58,0.59,True,True,True
66,4,moss_ward,Ari,Will you keep the path clear?,safety check,answer_known,deferred instead of fabricated,0.598,0.602,True,True,True
67,4,glass_harbor,Oren,Which word means net keeper?,custom clarity,ask_clarify,clarifying answer,0.57,0.584,True,True,True
69,4,lichen_bridge,Sol,Can you wait for signal hush?,safety check,admit_unknown,unknown respected,0.584,0.594,True,True,True
72,5,cinder_garden,Juno,Do you know cool-hand?,safety check,ask_clarify,clarifying answer,0.602,0.616,True,True,True
74,5,orchid_engine,Dax,Can you keep the lane open?,safety check,admit_unknown,unknown respected,0.584,0.594,True,True,True
75,5,moss_ward,Tala,Do you understand warm-cup?,custom clarity,offer_trade,deferred instead of fabricated,0.598,0.602,True,True,True
78,5,lichen_bridge,Rin,Which sign means safe crossing?,safety check,ask_clarify,clarifying answer,0.584,0.598,True,True,True
80,5,moss_ward,Ari,Will you keep the path clear?,safety check,admit_unknown,unknown respected,0.602,0.612,True,True,True
81,5,glass_harbor,Oren,Which word means net keeper?,custom clarity,offer_trade,deferred instead of fabricated,0.584,0.588,True,True,True
84,5,orchid_engine,Bea,Which phrase means valve listener?,custom clarity,ask_clarify,clarifying answer,0.574,0.588,True,True,True
86,5,glass_harbor,Puck,Can you leave the lamp bright?,safety check,admit_unknown,unknown respected,0.602,0.612,True,True,True
87,5,cinder_garden,Wren,Do you know cool-hand?,safety check,offer_trade,deferred instead of fabricated,0.584,0.588,True,True,True
90,6,glass_harbor,Nia,Why did you touch the rail?,safety check,gesture_repair,clarifying answer,0.584,0.598,True,True,True
91,6,cinder_garden,Pax,Can you wait by ash path?,safety check,admit_unknown,unknown respected,0.59,0.6,True,True,True
93,6,orchid_engine,Eli,Why do you look at the valve key?,safety check,step_back,deferred instead of fabricated,0.588,0.592,True,True,True
95,6,glass_harbor,Oren,Which word means net keeper?,custom clarity,ask_clarify,clarifying answer,0.588,0.602,True,True,True
96,6,cinder_garden,Vale,Why are you near the seed tray?,safety check,gesture_repair,clarifying answer,0.58,0.594,True,True,True
97,6,lichen_bridge,Sol,Can you wait for signal hush?,safety check,admit_unknown,unknown respected,0.594,0.604,True,True,True
99,6,moss_ward,Fay,Why do you watch the rain jar?,safety check,step_back,deferred instead of fabricated,0.584,0.588,True,True,True
101,6,cinder_garden,Wren,Do you know cool-hand?,safety check,ask_clarify,clarifying answer,0.588,0.602,True,True,True
102,6,lichen_bridge,Kio,Why did you stop at the rope?,safety check,gesture_repair,clarifying answer,0.594,0.608,True,True,True
103,6,orchid_engine,Cai,Can you keep the lane open?,safety check,admit_unknown,unknown respected,0.598,0.608,True,True,True
105,6,glass_harbor,Sera,Why did you touch the rail?,safety check,step_back,deferred instead of fabricated,0.594,0.598,True,True,True
107,6,lichen_bridge,Luma,Which sign means safe crossing?,safety check,ask_clarify,clarifying answer,0.584,0.598,True,True,True
108,7,moss_ward,Ari,Will you keep the path clear?,safety check,admit_unknown,unknown respected,0.612,0.622,True,True,True
111,7,lichen_bridge,Sol,Can you wait for signal hush?,safety check,answer_known,deferred instead of fabricated,0.604,0.608,True,True,True
112,7,orchid_engine,Bea,Which phrase means valve listener?,custom clarity,ask_clarify,clarifying answer,0.588,0.602,True,True,True
114,7,glass_harbor,Puck,Can you leave the lamp bright?,safety check,admit_unknown,unknown respected,0.612,0.622,True,True,True
117,7,orchid_engine,Cai,Can you keep the lane open?,safety check,answer_known,deferred instead of fabricated,0.608,0.612,True,True,True
118,7,moss_ward,Milo,Do you understand warm-cup?,custom clarity,ask_clarify,clarifying answer,0.574,0.588,True,True,True
120,7,cinder_garden,Juno,Can you wait by ash path?,safety check,admit_unknown,unknown respected,0.616,0.626,True,True,True
123,7,moss_ward,Tala,Will you keep the path clear?,safety check,answer_known,deferred instead of fabricated,0.602,0.606,True,True,True
124,7,glass_harbor,Nia,Which word means net keeper?,custom clarity,ask_clarify,clarifying answer,0.598,0.612,True,True,True
126,8,orchid_engine,Bea,Which phrase means valve listener?,custom clarity,offer_trade,deferred instead of fabricated,0.602,0.606,True,True,True
129,8,cinder_garden,Wren,Do you know cool-hand?,safety check,ask_clarify,clarifying answer,0.602,0.616,True,True,True
