epoch_id,simulated_year,settlement_id,lineage_id,memory_depth_generations,remembered_event,ritual_anchor,law_or_custom,relationship_continuity,memory_not_global_dump,visible_archive_marker
0,0,moss_ward,Ari-line,1,Ari-line remembers blanket-share rule from generation 0,blanket-share,custom: ask before taking root starch,0.404775,True,archive:moss_ward:Ari-line:0
0,0,moss_ward,Fay-line,1,Fay-line remembers blanket-share rule from generation 0,blanket-share,custom: ask before taking root starch,0.404775,True,archive:moss_ward:Fay-line:0
0,0,moss_ward,Tala-line,1,Tala-line remembers warm-cup rule from generation 0,warm-cup,custom: ask before taking root starch,0.404775,True,archive:moss_ward:Tala-line:0
1,0,glass_harbor,Nia-line,1,Nia-line remembers net-knot-thanks rule from generation 0,net-knot-thanks,custom: ask before taking kelp fiber,0.404627,True,archive:glass_harbor:Nia-line:0
1,0,glass_harbor,Oren-line,1,Oren-line remembers lamp-touch rule from generation 0,lamp-touch,custom: ask before taking kelp fiber,0.404627,True,archive:glass_harbor:Oren-line:0
1,0,glass_harbor,Sera-line,1,Sera-line remembers lamp-touch rule from generation 0,lamp-touch,custom: ask before taking kelp fiber,0.404627,True,archive:glass_harbor:Sera-line:0
2,0,cinder_garden,Juno-line,1,Juno-line remembers shade-bow rule from generation 0,shade-bow,custom: ask before taking cool stone,0.404479,True,archive:cinder_garden:Juno-line:0
2,0,cinder_garden,Pax-line,1,Pax-line remembers cool-hand rule from generation 0,cool-hand,custom: ask before taking cool stone,0.404479,True,archive:cinder_garden:Pax-line:0
2,0,cinder_garden,Wren-line,1,Wren-line remembers shade-bow rule from generation 0,shade-bow,custom: ask before taking cool stone,0.404479,True,archive:cinder_garden:Wren-line:0
3,0,lichen_bridge,Kio-line,1,Kio-line remembers shared-bowl rule from generation 0,shared-bowl,custom: ask before taking signal stone,0.404331,True,archive:lichen_bridge:Kio-line:0
3,0,lichen_bridge,Luma-line,1,Luma-line remembers rope-touch rule from generation 0,rope-touch,custom: ask before taking signal stone,0.404331,True,archive:lichen_bridge:Luma-line:0
