tick_id,day,route_id,agent,posture_before,posture_after,gaze,distance,gesture,reaction_trigger,body_language_visible,persists_after_reload
0,1,riverbend_roofward,Ari,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,reload,True,True
1,1,roofward_archive,Nia,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
2,1,archive_signal,Nia,watchful neutral stance,relieved reset stance,toward avatar,0.42,small nod,dialogue,True,False
3,1,signal_orchard,Ivo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
4,1,orchard_riverbend,Ivo,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
5,1,central_repair_ring,Pax,watchful neutral stance,relieved reset stance,toward avatar,0.42,small nod,dialogue,True,False
6,1,riverbend_roofward,Ari,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
7,1,roofward_archive,Nia,relieved reset stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
8,1,archive_signal,Nia,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
9,1,signal_orchard,Ivo,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
10,1,orchard_riverbend,Ivo,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
11,1,central_repair_ring,Pax,relieved reset stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
12,1,riverbend_roofward,Ari,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
13,1,roofward_archive,Nia,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
14,2,archive_signal,Nia,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,reload,True,True
15,2,signal_orchard,Ivo,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
16,2,orchard_riverbend,Ivo,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
17,2,central_repair_ring,Pax,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
18,2,riverbend_roofward,Ari,watchful neutral stance,watchful neutral stance,toward avatar,0.42,small nod,dialogue,True,False
19,2,roofward_archive,Nia,watchful neutral stance,watchful neutral stance,side glance,0.42,small nod,ambient,False,False
20,2,archive_signal,Nia,watchful neutral stance,watchful neutral stance,toward route board,0.42,small nod,merge,True,False
