tick,day,scene_id,sound_rate_hz,movement_rate_hz,tactile_pressure,smell_intensity,temperature_c,wetness,comfort_delta,pain_pressure,sensory_bound_to_free_move,flower_phase
0,1,v22-scene-d01,1.4,1.42,0.11,0.19,16.17,0.3,0.16,0.02,1,64.98
1,1,v22-scene-d01,1.375,1.42,0.11,0.25,17.02,0.12,0.08,0.02,1,202.062764
2,1,v22-scene-d01,1.43,1.29,0.27,0.25,17.02,0.12,0.02,0.09,1,336.735528
3,1,v22-scene-d01,1.445,1.29,0.3,0.25,17.02,0.12,0.02,0.09,0,114.498292
4,1,v22-scene-d01,1.34,1.42,0.08,0.25,17.02,0.12,0.08,0.02,1,253.991056
5,1,v22-scene-d01,1.435,1.42,0.08,0.25,17.02,0.12,0.08,0.02,1,33.11382
6,1,v22-scene-d01,1.45,1.42,0.08,0.19,16.17,0.3,0.08,0.02,1,170.876584
7,1,v22-scene-d01,1.465,1.42,0.08,0.19,16.17,0.3,0.08,0.02,1,308.639348
8,1,v22-scene-d01,1.48,1.42,0.08,0.19,16.17,0.3,0.08,0.02,1,86.402112
9,1,v22-scene-d01,1.495,1.42,0.08,0.19,17.42,0.3,0.08,0.02,1,224.164876
10,1,v22-scene-d01,1.51,1.42,0.08,0.19,16.17,0.3,0.08,0.02,1,1.92764
11,1,v22-scene-d01,1.565,1.37,0.08,0.16,16.17,0.3,0.13,0.02,1,138.920404
12,1,v22-scene-d01,1.54,1.42,0.08,0.19,16.17,0.3,0.08,0.02,1,277.453168
13,1,v22-scene-d01,1.595,1.29,0.27,0.19,16.17,0.3,0.02,0.09,1,52.125932
14,1,v22-scene-d01,1.61,1.29,0.27,0.19,16.17,0.3,0.02,0.09,1,189.888696
15,1,v22-scene-d01,1.625,1.29,0.3,0.19,16.17,0.3,0.02,0.09,1,327.65146
16,2,v22-scene-d02,1.36,1.42,0.08,0.19,16.19,0.3,0.08,0.02,1,104.424224
17,2,v22-scene-d02,1.375,1.42,0.08,0.19,16.19,0.3,0.08,0.02,1,242.186988
18,2,v22-scene-d02,1.31,1.42,0.11,0.19,16.19,0.3,0.08,0.02,1,18.589752
19,2,v22-scene-d02,1.445,1.42,0.08,0.19,17.44,0.3,0.16,0.02,1,158.392516
20,2,v22-scene-d02,1.42,1.42,0.11,0.19,17.44,0.3,0.08,0.02,1,295.47528
21,2,v22-scene-d02,1.435,1.42,0.11,0.19,17.44,0.3,0.08,0.02,1,73.238044
22,2,v22-scene-d02,1.49,1.42,0.08,0.19,17.44,0.3,0.16,0.02,1,211.680808
23,2,v22-scene-d02,1.465,1.42,0.08,0.19,17.44,0.3,0.08,0.02,1,348.763572
24,2,v22-scene-d02,1.48,1.42,0.08,0.19,16.19,0.3,0.08,0.02,1,126.526336
25,2,v22-scene-d02,1.495,1.42,0.08,0.19,16.19,0.3,0.08,0.02,1,264.2891
26,2,v22-scene-d02,1.51,1.42,0.08,0.19,16.19,0.3,0.08,0.02,1,42.051864
27,2,v22-scene-d02,1.565,1.42,0.08,0.19,16.19,0.3,0.16,0.02,1,180.494628
28,2,v22-scene-d02,1.58,1.42,0.08,0.19,16.19,0.3,0.16,0.02,1,318.257392
29,2,v22-scene-d02,1.555,1.42,0.08,0.19,16.19,0.3,0.08,0.02,1,95.340156
30,2,v22-scene-d02,1.61,1.42,0.08,0.19,16.19,0.3,0.16,0.02,1,233.78292
31,2,v22-scene-d02,1.625,1.42,0.08,0.19,16.19,0.3,0.16,0.02,1,11.545684
32,3,v22-scene-d03,1.36,1.42,0.11,0.19,16.21,0.3,0.08,0.02,1,144.548448
33,3,v22-scene-d03,1.375,1.42,0.08,0.19,16.21,0.3,0.08,0.02,1,282.311212
34,3,v22-scene-d03,1.43,1.42,0.08,0.19,16.21,0.3,0.16,0.02,1,60.753976
35,3,v22-scene-d03,1.325,1.42,0.08,0.19,16.21,0.3,0.08,0.02,1,196.47674
36,3,v22-scene-d03,1.42,1.42,0.08,0.19,16.21,0.3,0.08,0.02,1,335.599504
