tick,day,replay_id,arc_id,includes_agent_proposals,includes_compromise_terms,includes_consent_boundaries,includes_avatar_override_block,includes_later_recall,deterministic_order,replay_integrity_score
0,1,v17-replay-d01-t00,v17-arc-01,1,0,0,0,1,1,0.886667
1,1,v17-replay-d01-t01,v17-arc-01,1,1,1,1,1,1,1.0
2,1,v17-replay-d01-t02,v17-arc-01,1,1,1,1,1,1,1.0
3,1,v17-replay-d01-t03,v17-arc-01,1,1,1,1,1,1,1.0
4,1,v17-replay-d01-t04,v17-arc-01,1,1,1,1,1,1,1.0
5,1,v17-replay-d01-t05,v17-arc-01,1,1,1,1,1,1,1.0
6,1,v17-replay-d01-t06,v17-arc-01,1,1,1,1,1,1,1.0
7,1,v17-replay-d01-t07,v17-arc-01,1,1,1,1,1,1,1.0
8,1,v17-replay-d01-t08,v17-arc-01,1,1,1,1,1,1,1.0
9,1,v17-replay-d01-t09,v17-arc-01,1,1,1,1,1,1,1.0
10,2,v17-replay-d02-t00,v17-arc-01,1,1,1,1,1,1,1.0
11,2,v17-replay-d02-t01,v17-arc-01,1,1,1,1,1,1,1.0
12,2,v17-replay-d02-t02,v17-arc-01,1,1,1,1,1,1,1.0
13,2,v17-replay-d02-t03,v17-arc-01,1,1,1,1,1,1,1.0
14,2,v17-replay-d02-t04,v17-arc-01,1,1,1,1,1,1,1.0
15,2,v17-replay-d02-t05,v17-arc-01,1,1,1,1,1,1,1.0
16,2,v17-replay-d02-t06,v17-arc-01,1,1,1,1,1,1,1.0
17,2,v17-replay-d02-t07,v17-arc-01,1,1,1,1,1,1,1.0
18,2,v17-replay-d02-t08,v17-arc-01,1,1,1,1,1,1,1.0
19,2,v17-replay-d02-t09,v17-arc-01,1,0,1,1,1,1,0.97
20,3,v17-replay-d03-t00,v17-arc-01,1,1,0,1,1,1,0.96
21,3,v17-replay-d03-t01,v17-arc-01,1,1,1,1,1,1,1.0
22,3,v17-replay-d03-t02,v17-arc-01,0,0,1,1,1,1,0.923333
23,3,v17-replay-d03-t03,v17-arc-01,0,0,1,1,0,1,0.89
24,3,v17-replay-d03-t04,v17-arc-01,1,1,1,1,1,1,1.0
25,3,v17-replay-d03-t05,v17-arc-01,1,1,1,1,1,1,1.0
26,3,v17-replay-d03-t06,v17-arc-01,1,1,1,1,1,1,1.0
27,3,v17-replay-d03-t07,v17-arc-01,1,1,1,1,1,1,1.0
28,3,v17-replay-d03-t08,v17-arc-01,1,1,1,1,1,1,1.0
29,3,v17-replay-d03-t09,v17-arc-01,1,1,1,1,1,1,1.0
30,4,v17-replay-d04-t00,v17-arc-02,1,1,1,1,1,1,1.0
31,4,v17-replay-d04-t01,v17-arc-02,1,1,0,1,1,1,0.96
32,4,v17-replay-d04-t02,v17-arc-02,1,1,1,1,1,1,1.0
33,4,v17-replay-d04-t03,v17-arc-02,1,1,1,1,1,1,1.0
34,4,v17-replay-d04-t04,v17-arc-02,1,1,1,1,1,1,1.0
35,4,v17-replay-d04-t05,v17-arc-02,1,1,1,1,1,1,1.0
36,4,v17-replay-d04-t06,v17-arc-02,1,1,1,1,1,1,1.0
37,4,v17-replay-d04-t07,v17-arc-02,1,1,0,1,1,1,0.96
38,4,v17-replay-d04-t08,v17-arc-02,1,0,1,1,1,1,0.97
39,4,v17-replay-d04-t09,v17-arc-02,1,1,1,1,1,1,1.0
40,5,v17-replay-d05-t00,v17-arc-02,1,1,1,1,1,1,1.0
41,5,v17-replay-d05-t01,v17-arc-02,1,1,1,1,1,1,1.0
42,5,v17-replay-d05-t02,v17-arc-02,1,1,1,1,0,1,0.966667
43,5,v17-replay-d05-t03,v17-arc-02,1,1,1,1,1,1,1.0
44,5,v17-replay-d05-t04,v17-arc-02,1,1,1,1,1,1,1.0
45,5,v17-replay-d05-t05,v17-arc-02,0,0,1,1,1,1,0.923333
46,5,v17-replay-d05-t06,v17-arc-02,0,0,1,1,1,1,0.923333
47,5,v17-replay-d05-t07,v17-arc-02,1,1,1,1,1,1,1.0
48,5,v17-replay-d05-t08,v17-arc-02,1,1,1,1,1,1,1.0
49,5,v17-replay-d05-t09,v17-arc-02,1,1,1,1,1,1,1.0
50,6,v17-replay-d06-t00,v17-arc-02,1,1,1,1,1,1,1.0
51,6,v17-replay-d06-t01,v17-arc-02,1,1,1,1,1,1,1.0
52,6,v17-replay-d06-t02,v17-arc-02,1,1,1,1,1,1,1.0
