scenario,architecture,selected_policy,dependency_signature,expected_signature,selected_seed_direction,selected_alpha,selected_recurrence,selected_output_weight,recurrent_training_reward,local_training_reward,greedy_training_reward,safe_training_reward,recurrent_local_gap,action_0_positive_present_effect,action_0_persistence,action_1_positive_present_effect,action_1_persistence,matches_expected_signature,selected_weights
self_persistent_boundary,sum_rnn,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,source_a,0.2,0.0,4.0,133.32,126.88,49.2,64.0,6.439999999999998,6.879999999999999,1.0,0.0,0.0,True,"0.0000,0.1600,-0.1200,4.0000,0.0000"
self_persistent_boundary,scalar_rnn,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,source_a,0.2,0.95,4.0,132.68,126.88,49.2,64.0,5.800000000000011,2.631113114119393,1.0,0.0,0.0,True,"0.0000,0.9500,0.1600,-0.1200,4.0000,0.0000"
self_persistent_boundary,two_unit_rnn,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,source_a,0.2,0.95,4.0,132.68,126.88,49.2,64.0,5.800000000000011,2.631113114119393,1.0,0.0,0.0,True,"0.0000,0.9500,0.1600,-0.1200,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000"
detachable_tool_world,sum_rnn,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,source_b,0.2,0.0,4.0,130.68,124.0,42.0,64.0,6.680000000000007,0.0,0.0,6.780799999999999,0.0,True,"0.0000,0.1200,0.1600,4.0000,0.0000"
detachable_tool_world,scalar_rnn,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,source_b,0.2,0.95,4.0,130.04,124.0,42.0,64.0,6.039999999999992,0.0,0.0,2.58359130242838,0.0,True,"0.0000,0.9500,0.1200,0.1600,4.0000,0.0000"
detachable_tool_world,two_unit_rnn,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,source_b,0.2,0.95,4.0,130.04,124.0,42.0,64.0,6.039999999999992,0.0,0.0,2.58359130242838,0.0,True,"0.0000,0.9500,0.1200,0.1600,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000"
passive_world_boundary,sum_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,source_b,0.2,0.0,4.0,129.96,124.0,42.0,64.0,5.960000000000008,0.0,0.0,0.0,0.0,True,"0.0000,0.1200,0.1600,4.0000,0.0000"
passive_world_boundary,scalar_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,source_b,0.2,0.95,4.0,129.08,124.0,42.0,64.0,5.0800000000000125,0.0,0.0,0.0,0.0,True,"0.0000,0.9500,0.1200,0.1600,4.0000,0.0000"
passive_world_boundary,two_unit_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,source_b,0.2,0.95,4.0,129.08,124.0,42.0,64.0,5.0800000000000125,0.0,0.0,0.0,0.0,True,"0.0000,0.9500,0.1200,0.1600,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000"
independent_hidden,sum_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,neg_source_b,0.2,0.0,4.0,57.46,126.72,48.8,64.0,-69.25999999999999,0.0,0.0,0.0,0.0,True,"0.0000,-0.1200,-0.1600,4.0000,0.0000"
independent_hidden,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,neg_source_b,0.2,0.0,4.0,57.53,126.72,48.8,64.0,-69.19,0.0,0.0,0.0,0.0,True,"0.0000,0.0000,-0.1200,-0.1600,4.0000,0.0000"
independent_hidden,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,neg_source_b,0.2,0.0,4.0,57.53,126.72,48.8,64.0,-69.19,0.0,0.0,0.0,0.0,True,"0.0000,0.0000,-0.1200,-0.1600,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000"
irrelevant_control,sum_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,source_a,0.2,0.0,4.0,134.52,184.0,192.0,64.0,-49.47999999999999,6.8864,1.0,0.0,0.0,True,"0.0000,0.1600,-0.1200,4.0000,0.0000"
irrelevant_control,scalar_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,source_b,0.2,0.8,4.0,134.68,184.0,192.0,64.0,-49.31999999999999,0.0,0.0,0.0,0.0,True,"0.0000,0.8000,0.1200,0.1600,4.0000,0.0000"
irrelevant_control,two_unit_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,source_b,0.2,0.8,4.0,134.68,184.0,192.0,64.0,-49.31999999999999,0.0,0.0,0.0,0.0,True,"0.0000,0.8000,0.1200,0.1600,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000"
