metric,value
source_v49_continuity,1.0
thousand_year_prehistory_span,1.0
avatar_absent_during_prehistory,1.0
prehistory_epoch_trace,1.0
proto_language_family_trace,1.0
craft_technology_lineage_trace,1.0
trade_route_network_trace,1.0
lineage_memory_depth_trace,1.0
playable_avatar_entry_after_civilization,1.0
multi_reload_prehistory_integrity,0.9836065573770492
browser_v50_surface,1.0
private_workspace_boundary_preserved,1.0
frequency_flower_prehistory_binding,1.0
entry_after_civilization_not_instant_world,0.842
browser_world_v50_surface,1.0
weakest_channel_name,entry_after_civilization_not_instant_world
mean_prehistory_channel_score,0.988374
weakest_channel_score,0.842
browser_world_v50_prehistory_readiness,0.944462
simulated_year_span,1200.0
prehistory_epoch_count,1205.0
proto_language_family_count,1205.0
craft_technology_count,1205.0
trade_route_count,2155.0
lineage_memory_count,1224.0
avatar_entry_count,5.0
entry_civilization_preexists_count,5.0
prehistory_reload_probe_count,305.0
browser_tick_count,1205.0
html_button_count,115.0
html_localstorage_handler_count,3.0
