metric,value
source_negotiation_dialogue_continuity,1.0
animation_state_dialogue_match,0.967262
animation_transition_safety,0.970238
turn_taking_gesture_binding,0.914683
listener_yield_rate,0.946429
interruption_blocking,0.922619
proximity_choreography_integrity,0.987351
personal_space_preservation,0.97619
collision_avoidance,0.973214
object_handling_ceremony_rate,0.954475
object_contact_traceability,0.916667
handoff_respect,0.952381
object_ceremony_quality,0.947173
multi_sensory_animation_binding,0.967262
comfort_pain_animation_bounds,1.0
gesture_misread_repair,0.956522
gesture_no_spiral_guardrail,1.0
body_world_animation_visibility,0.946429
ceremony_object_visibility,0.898148
privacy_safe_animation,1.0
replay_animation_integrity,0.972576
sensory_frequency_flower_animation_rhythm,1.0
browser_world_v19_surface_available,1.0
mean_animation_channel_score,0.963896
weakest_channel_score,0.898148
browser_world_v19_embodied_animation_readiness,0.936282
object_ceremony_frame_count,324.0
