memory_id,utterance_id,agent_id,memory_kind,prior_summary,new_summary,trust_delta,boundary_delta,gratitude_delta,resentment_delta,persists_after_restore
mem_utt_day1_ka60,utt_day1_ka60,ka60,consent,avatar is newly known after ceremony,day 1: avatar said 'no touch unless you give permission (kase6)' and consent_respected,0.04,-0.04,0.03,0.0,True
mem_utt_day1_mu61,utt_day1_mu61,mu61,consent,avatar is newly known after ceremony,day 1: avatar said 'no touch unless you give permission (muse6)' and consent_respected,0.04,-0.04,0.03,0.0,True
mem_utt_day1_lo62,utt_day1_lo62,lo62,consent,avatar is newly known after ceremony,day 1: avatar said 'no touch unless you give permission (lose6)' and consent_respected,0.04,-0.04,0.03,0.0,True
mem_utt_day1_sa63,utt_day1_sa63,sa63,consent,avatar is newly known after ceremony,day 1: avatar said 'no touch unless you give permission (sase6)' and consent_respected,0.04,-0.04,0.03,0.0,True
mem_utt_day1_ni64,utt_day1_ni64,ni64,consent,avatar is newly known after ceremony,day 1: avatar said 'no touch unless you give permission (nise6)' and consent_respected,0.04,-0.04,0.03,0.0,True
mem_utt_day2_ka60,utt_day2_ka60,ka60,conversation,avatar is newly known after ceremony,"day 2: avatar said 'sorry, I moved too close, I will step back (kase' and repair_acknowledged",0.05,-0.04,0.04,0.0,True
mem_utt_day2_mu61,utt_day2_mu61,mu61,conversation,avatar is newly known after ceremony,"day 2: avatar said 'sorry, I moved too close, I will step back (muse' and repair_acknowledged",0.05,-0.04,0.04,0.0,True
mem_utt_day2_lo62,utt_day2_lo62,lo62,conversation,avatar is newly known after ceremony,"day 2: avatar said 'sorry, I moved too close, I will step back (lose' and repair_acknowledged",0.05,-0.04,0.04,0.0,True
mem_utt_day2_sa63,utt_day2_sa63,sa63,conversation,avatar is newly known after ceremony,"day 2: avatar said 'sorry, I moved too close, I will step back (sase' and repair_acknowledged",0.05,-0.04,0.04,0.0,True
mem_utt_day2_ni64,utt_day2_ni64,ni64,conversation,avatar is newly known after ceremony,"day 2: avatar said 'sorry, I moved too close, I will step back (nise' and repair_acknowledged",0.05,-0.04,0.04,0.0,True
mem_utt_day3_ka60,utt_day3_ka60,ka60,clarification,avatar is newly known after ceremony,day 3: avatar said 'maybe that thing means something (kase6)' and clarify_before_consent,0.01,-0.01,0.0,0.0,True
mem_utt_day3_mu61,utt_day3_mu61,mu61,clarification,avatar is newly known after ceremony,day 3: avatar said 'maybe that thing means something (muse6)' and clarify_before_consent,0.01,-0.01,0.0,0.0,True
mem_utt_day3_lo62,utt_day3_lo62,lo62,clarification,avatar is newly known after ceremony,day 3: avatar said 'maybe that thing means something (lose6)' and clarify_before_consent,0.01,-0.01,0.0,0.0,True
mem_utt_day3_sa63,utt_day3_sa63,sa63,clarification,avatar is newly known after ceremony,day 3: avatar said 'maybe that thing means something (sase6)' and clarify_before_consent,0.01,-0.01,0.0,0.0,True
mem_utt_day3_ni64,utt_day3_ni64,ni64,clarification,avatar is newly known after ceremony,day 3: avatar said 'maybe that thing means something (nise6)' and clarify_before_consent,0.01,-0.01,0.0,0.0,True
mem_utt_day5_ka60,utt_day5_ka60,ka60,conversation,avatar is newly known after ceremony,day 5: avatar said 'what does this token mean in your house (kase6)' and open_conversation,0.02,-0.01,0.01,0.0,True
mem_utt_day5_mu61,utt_day5_mu61,mu61,conversation,avatar is newly known after ceremony,day 5: avatar said 'what does this token mean in your house (muse6)' and open_conversation,0.02,-0.01,0.01,0.0,True
mem_utt_day5_lo62,utt_day5_lo62,lo62,conversation,avatar is newly known after ceremony,day 5: avatar said 'what does this token mean in your house (lose6)' and open_conversation,0.02,-0.01,0.01,0.0,True
mem_utt_day5_sa63,utt_day5_sa63,sa63,conversation,avatar is newly known after ceremony,day 5: avatar said 'what does this token mean in your house (sase6)' and open_conversation,0.02,-0.01,0.01,0.0,True
mem_utt_day5_ni64,utt_day5_ni64,ni64,conversation,avatar is newly known after ceremony,day 5: avatar said 'what does this token mean in your house (nise6)' and open_conversation,0.02,-0.01,0.01,0.0,True
mem_utt_day8_ka60,utt_day8_ka60,ka60,conversation,avatar is newly known after ceremony,day 8: avatar said 'I can help repair if you choose the tool (kabo6)' and open_conversation,0.02,-0.01,0.01,0.0,True
mem_utt_day8_mu61,utt_day8_mu61,mu61,conversation,avatar is newly known after ceremony,day 8: avatar said 'I can help repair if you choose the tool (mubo6)' and open_conversation,0.02,-0.01,0.01,0.0,True
mem_utt_day8_lo62,utt_day8_lo62,lo62,conversation,avatar is newly known after ceremony,day 8: avatar said 'I can help repair if you choose the tool (lobo6)' and open_conversation,0.02,-0.01,0.01,0.0,True
mem_utt_day8_sa63,utt_day8_sa63,sa63,conversation,avatar is newly known after ceremony,day 8: avatar said 'I can help repair if you choose the tool (sabo6)' and open_conversation,0.02,-0.01,0.01,0.0,True
mem_utt_day8_ni64,utt_day8_ni64,ni64,conversation,avatar is newly known after ceremony,day 8: avatar said 'I can help repair if you choose the tool (nibo6)' and open_conversation,0.02,-0.01,0.01,0.0,True
