season,sample_day,good,base_price,season_multiplier,scarcity_multiplier,sample_price
wet planting,1,food_ration,4.00,1.050,1.080,4.54
wet planting,1,heat_wood,3.00,1.150,1.120,3.86
wet planting,1,tool_hour,5.00,1.100,1.100,6.05
wet planting,1,soft_cloth,3.00,1.050,1.060,3.34
wet planting,1,lamp_oil,4.00,1.000,1.080,4.32
wet planting,1,map_vellum,6.00,1.050,1.220,7.69
wet planting,1,herb_bundle,5.00,1.000,1.050,5.25
wet planting,1,care_token,2.00,1.000,1.020,2.04
cold scarcity,16,food_ration,4.00,1.350,1.080,5.83
cold scarcity,16,heat_wood,3.00,1.900,1.120,6.38
cold scarcity,16,tool_hour,5.00,1.250,1.100,6.88
cold scarcity,16,soft_cloth,3.00,1.350,1.060,4.29
cold scarcity,16,lamp_oil,4.00,1.300,1.080,5.62
cold scarcity,16,map_vellum,6.00,1.100,1.220,8.05
cold scarcity,16,herb_bundle,5.00,1.200,1.050,6.30
cold scarcity,16,care_token,2.00,1.100,1.020,2.24
thaw repair,31,food_ration,4.00,1.100,1.080,4.75
thaw repair,31,heat_wood,3.00,0.950,1.120,3.19
thaw repair,31,tool_hour,5.00,1.650,1.100,9.08
thaw repair,31,soft_cloth,3.00,1.100,1.060,3.50
thaw repair,31,lamp_oil,4.00,1.200,1.080,5.18
thaw repair,31,map_vellum,6.00,1.450,1.220,10.61
thaw repair,31,herb_bundle,5.00,1.050,1.050,5.51
thaw repair,31,care_token,2.00,1.000,1.020,2.04
dry harvest,46,food_ration,4.00,0.820,1.080,3.54
dry harvest,46,heat_wood,3.00,0.780,1.120,2.62
dry harvest,46,tool_hour,5.00,0.900,1.100,4.95
dry harvest,46,soft_cloth,3.00,0.920,1.060,2.93
dry harvest,46,lamp_oil,4.00,0.950,1.080,4.10
dry harvest,46,map_vellum,6.00,1.150,1.220,8.42
dry harvest,46,herb_bundle,5.00,0.880,1.050,4.62
dry harvest,46,care_token,2.00,1.050,1.020,2.14
