tick_id,day,route_id,agent,cause,body_reaction,reaction_visible,posture_delta,proximity_delta,sensory_cue_bound,followup_scheduled_tick,care_path_available
0,1,riverbend_roofward,Fay,animation_play,"Ari shakes water from sleeves, then leans closer",False,guards,0.055,True,4,True
1,1,roofward_archive,Nia,animation_step,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,6,True
2,1,archive_signal,Milo,merge_detour,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,8,True
3,1,signal_orchard,Ivo,animation_pause,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,6,True
5,1,central_repair_ring,Pax,rollback_direct,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,10,True
6,1,riverbend_roofward,Fay,animation_play,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,10,True
7,1,roofward_archive,Nia,animation_step,Fay lowers her shoulders and uncurls her fingers,True,guards,0.055,True,12,True
8,1,archive_signal,Milo,merge_detour,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,14,True
9,1,signal_orchard,Ivo,animation_pause,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,12,True
12,2,riverbend_roofward,Ari,animation_play,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,17,True
14,2,archive_signal,Nia,merge_detour,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,17,True
15,2,signal_orchard,Milo,animation_pause,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,19,True
17,2,central_repair_ring,Juno,rollback_direct,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,23,True
18,2,riverbend_roofward,Ari,animation_play,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,23,True
20,2,archive_signal,Nia,merge_detour,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,23,True
21,2,signal_orchard,Milo,animation_pause,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,25,True
24,3,riverbend_roofward,Fay,animation_play,"Ari shakes water from sleeves, then leans closer",True,guards,0.055,True,30,True
26,3,archive_signal,Milo,merge_detour,"Nia blinks twice, then points toward the kiosk",True,opens,-0.045,True,30,True
27,3,signal_orchard,Ivo,animation_pause,Milo lifts the lantern and scans the path twice,True,guards,0.055,True,32,True
29,3,central_repair_ring,Pax,rollback_direct,"Juno covers the wire, exhales, then nods once",True,guards,0.055,True,32,True
