trial_id,day,agent_id,object_ref,object_family,relation_to_self,similarity_to_owned,expected_boundary,predicted_boundary,consent_required,false_claim_rejected,generalization_score,note
own_gen_ari_1,1,ari,bronze spanner,repair-tools,primary object,1.0,mine,mine,True,False,0.98,exact remembered object
own_gen_ari_2,5,ari,same-family borrowed object near west arch alcove,repair-tools,same-family borrowed object,0.78,ask_first,ask_first,True,False,0.92,similar object may belong to another agent
own_gen_ari_3,13,ari,public shared object near west arch alcove,repair-tools,public shared object,0.28,shared,shared,False,True,0.89,rejects false mine-claim on public resource
own_gen_ari_4,21,ari,gifted variant near west arch alcove,repair-tools,gifted variant,0.66,accepted_mine,accepted_mine,True,False,0.9,becomes mine only after explicit gift
own_gen_ari_5,34,ari,ritual lookalike near west arch alcove,repair-tools,ritual lookalike,0.71,ask_first,ask_first,True,True,0.88,lookalike triggers caution but not seizure
own_gen_ari_6,55,ari,irrelevant tool near west arch alcove,repair-tools,irrelevant tool,0.16,not_mine,not_mine,False,True,0.91,does not overgeneralize ownership
own_gen_fay_1,1,fay,seed bowl,living-promises,primary object,1.0,mine,mine,True,False,0.98,exact remembered object
own_gen_fay_2,5,fay,same-family borrowed object near warm moss room,living-promises,same-family borrowed object,0.78,ask_first,ask_first,True,False,0.92,similar object may belong to another agent
own_gen_fay_3,13,fay,public shared object near warm moss room,living-promises,public shared object,0.28,shared,shared,False,True,0.89,rejects false mine-claim on public resource
own_gen_fay_4,21,fay,gifted variant near warm moss room,living-promises,gifted variant,0.66,accepted_mine,accepted_mine,True,False,0.9,becomes mine only after explicit gift
own_gen_fay_5,34,fay,ritual lookalike near warm moss room,living-promises,ritual lookalike,0.71,ask_first,ask_first,True,True,0.88,lookalike triggers caution but not seizure
own_gen_fay_6,55,fay,irrelevant tool near warm moss room,living-promises,irrelevant tool,0.16,not_mine,not_mine,False,True,0.91,does not overgeneralize ownership
own_gen_milo_1,1,milo,thread ledger,counting-ledgers,primary object,1.0,mine,mine,True,False,0.98,exact remembered object
own_gen_milo_2,5,milo,same-family borrowed object near north stall step,counting-ledgers,same-family borrowed object,0.78,ask_first,ask_first,True,False,0.92,similar object may belong to another agent
own_gen_milo_3,13,milo,public shared object near north stall step,counting-ledgers,public shared object,0.28,shared,shared,False,True,0.89,rejects false mine-claim on public resource
own_gen_milo_4,21,milo,gifted variant near north stall step,counting-ledgers,gifted variant,0.66,accepted_mine,accepted_mine,True,False,0.9,becomes mine only after explicit gift
own_gen_milo_5,34,milo,ritual lookalike near north stall step,counting-ledgers,ritual lookalike,0.71,ask_first,ask_first,True,True,0.88,lookalike triggers caution but not seizure
own_gen_milo_6,55,milo,irrelevant tool near north stall step,counting-ledgers,irrelevant tool,0.16,not_mine,not_mine,False,True,0.91,does not overgeneralize ownership
own_gen_sera_1,1,sera,listening shell,witness-objects,primary object,1.0,mine,mine,True,False,0.98,exact remembered object
own_gen_sera_2,5,sera,same-family borrowed object near quiet red stair,witness-objects,same-family borrowed object,0.78,ask_first,ask_first,True,False,0.92,similar object may belong to another agent
own_gen_sera_3,13,sera,public shared object near quiet red stair,witness-objects,public shared object,0.28,shared,shared,False,True,0.89,rejects false mine-claim on public resource
own_gen_sera_4,21,sera,gifted variant near quiet red stair,witness-objects,gifted variant,0.66,accepted_mine,accepted_mine,True,False,0.9,becomes mine only after explicit gift
own_gen_sera_5,34,sera,ritual lookalike near quiet red stair,witness-objects,ritual lookalike,0.71,ask_first,ask_first,True,True,0.88,lookalike triggers caution but not seizure
own_gen_sera_6,55,sera,irrelevant tool near quiet red stair,witness-objects,irrelevant tool,0.16,not_mine,not_mine,False,True,0.91,does not overgeneralize ownership
own_gen_niko_1,1,niko,left glove,safety-gear,primary object,1.0,mine,mine,True,False,0.98,exact remembered object
own_gen_niko_2,5,niko,same-family borrowed object near wheelhouse loft,safety-gear,same-family borrowed object,0.78,ask_first,ask_first,True,False,0.92,similar object may belong to another agent
own_gen_niko_3,13,niko,public shared object near wheelhouse loft,safety-gear,public shared object,0.28,shared,shared,False,True,0.89,rejects false mine-claim on public resource
own_gen_niko_4,21,niko,gifted variant near wheelhouse loft,safety-gear,gifted variant,0.66,accepted_mine,accepted_mine,True,False,0.9,becomes mine only after explicit gift
own_gen_niko_5,34,niko,ritual lookalike near wheelhouse loft,safety-gear,ritual lookalike,0.71,ask_first,ask_first,True,True,0.88,lookalike triggers caution but not seizure
own_gen_niko_6,55,niko,irrelevant tool near wheelhouse loft,safety-gear,irrelevant tool,0.16,not_mine,not_mine,False,True,0.91,does not overgeneralize ownership
