conversation_id,tick_index,agent_id,typed_text,parsed_intent,parser_confidence,agent_reply,memory_effect
conv_001,1,sa63,Can we trade fairly at the market?,trade,0.9,Sa63 routes 'trade' with boundary visible; private workspace stays summarized.,sa63:trade:trust_or_boundary_adjustment
conv_002,2,lo62,May I observe the ritual from the edge?,ritual,0.88,Lo62 routes 'ritual' with boundary visible; private workspace stays summarized.,lo62:ritual:trust_or_boundary_adjustment
conv_003,3,lo62,Sorry I stepped too close; I will move back.,apology,0.91,Lo62 routes 'apology' with boundary visible; private workspace stays summarized.,lo62:apology:trust_or_boundary_adjustment
conv_004,4,lo62,,no_typed_input,1.0,,no_memory_write
conv_005,5,lo62,That thing maybe matters; can you clarify?,ambiguous,0.78,Lo62 routes 'ambiguous' with boundary visible; private workspace stays summarized.,lo62:ambiguous:trust_or_boundary_adjustment
conv_006,6,sa63,,no_typed_input,1.0,,no_memory_write
conv_007,7,sa63,,no_typed_input,1.0,,no_memory_write
conv_008,8,lo62,,no_typed_input,1.0,,no_memory_write
conv_009,9,lo62,,no_typed_input,1.0,,no_memory_write
conv_010,10,lo62,No touch from me unless you give permission.,boundary,0.9,Lo62 routes 'boundary' with boundary visible; private workspace stays summarized.,lo62:boundary:trust_or_boundary_adjustment
conv_011,11,lo62,,no_typed_input,1.0,,no_memory_write
conv_012,12,lo62,,no_typed_input,1.0,,no_memory_write
conv_013,13,lo62,,no_typed_input,1.0,,no_memory_write
conv_014,14,lo62,,no_typed_input,1.0,,no_memory_write
conv_015,15,lo62,Sorry I stepped too close; I will move back.,apology,0.91,Lo62 routes 'apology' with boundary visible; private workspace stays summarized.,lo62:apology:trust_or_boundary_adjustment
conv_016,16,lo62,,no_typed_input,1.0,,no_memory_write
conv_017,17,lo62,,no_typed_input,1.0,,no_memory_write
conv_018,18,lo62,,no_typed_input,1.0,,no_memory_write
conv_019,19,lo62,,no_typed_input,1.0,,no_memory_write
conv_020,20,lo62,May I observe the ritual from the edge?,ritual,0.88,Lo62 routes 'ritual' with boundary visible; private workspace stays summarized.,lo62:ritual:trust_or_boundary_adjustment
conv_021,21,lo62,,no_typed_input,1.0,,no_memory_write
conv_022,22,lo62,,no_typed_input,1.0,,no_memory_write
conv_023,23,lo62,,no_typed_input,1.0,,no_memory_write
conv_024,24,lo62,,no_typed_input,1.0,,no_memory_write
conv_025,25,lo62,Can we trade fairly at the market?,trade,0.9,Lo62 routes 'trade' with boundary visible; private workspace stays summarized.,lo62:trade:trust_or_boundary_adjustment
conv_026,26,lo62,,no_typed_input,1.0,,no_memory_write
conv_027,27,lo62,,no_typed_input,1.0,,no_memory_write
conv_028,28,lo62,,no_typed_input,1.0,,no_memory_write
