tick,day,conflict_id,agents,conflict_kind,branch_a,branch_b,conflict_pressure,local_signal,irrelevant_signal,detected,detection_confidence,public_rationale
0,1,v15-watch-01-000,Sova|Melo,access,hearthline:protect:1:0,marketline:claim:1:3,0.55,care schedule overlaps with bridge repair,archive checksum warns about a sealed note it cannot read,0,0.77,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
1,1,v15-conflict-01-001,Keth|Nari,route,routeline:protect:1:1,ledgerline:claim:1:4,0.49037,privacy boundary conflicts with access request,old warning bell repeats from yesterday,1,0.9575,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
2,1,v15-conflict-01-002,Melo|Ori,route,marketline:protect:1:2,orchardline:claim:1:5,0.519971,two agents selected the same object slot,wet-route sensor flickers without agent nearby,1,0.965,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
3,1,v15-conflict-01-003,Nari|Vonn,schedule,ledgerline:protect:1:3,rainline:claim:1:6,0.548082,trust repair promise collides with market duty,archive checksum warns about a sealed note it cannot read,1,0.9725,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
4,1,v15-conflict-01-004,Ori|Sova,schedule,orchardline:protect:1:4,hearthline:claim:1:7,0.574074,two agents selected the same object slot,wet-route sensor flickers without agent nearby,1,0.98,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
5,1,v15-conflict-01-005,Vonn|Keth,access,rainline:protect:1:5,routeline:claim:1:0,0.687449,two agents selected the same object slot,ritual lamp reports yesterday's consent state,1,0.95,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
6,1,v15-conflict-01-006,Sova|Melo,schedule,hearthline:protect:1:6,marketline:claim:1:1,0.617875,privacy boundary conflicts with access request,ritual lamp reports yesterday's consent state,1,0.9575,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
7,1,v15-watch-01-007,Keth|Nari,access,routeline:protect:1:7,ledgerline:claim:1:2,0.635199,rollback request would erase another agent's accepted branch,ritual lamp reports yesterday's consent state,0,0.785,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
8,2,v15-conflict-02-008,Melo|Ori,trust,marketline:protect:2:0,orchardline:claim:2:3,0.649465,two agents selected the same object slot,wet-route sensor flickers without agent nearby,1,0.9725,Melo's fair access and Ori's project continuity both affect public schedule/access/trust.
9,2,v15-conflict-02-009,Nari|Vonn,recovery,ledgerline:protect:2:1,rainline:claim:2:4,0.660904,rollback request would erase another agent's accepted branch,wet-route sensor flickers without agent nearby,1,0.98,Nari's privacy and review and Vonn's quiet recovery both affect public schedule/access/trust.
10,2,v15-conflict-02-010,Ori|Sova,recovery,orchardline:protect:2:2,hearthline:claim:2:5,0.759924,two agents selected the same object slot,ritual lamp reports yesterday's consent state,1,0.95,Ori's project continuity and Sova's rest and warmth both affect public schedule/access/trust.
11,2,v15-conflict-02-011,Vonn|Keth,privacy,rainline:protect:2:3,routeline:claim:2:6,0.479083,quiet recovery route crosses a noisy ritual,archive checksum warns about a sealed note it cannot read,1,0.9175,Vonn's quiet recovery and Keth's safe passage both affect public schedule/access/trust.
12,2,v15-conflict-02-012,Sova|Melo,recovery,hearthline:protect:2:4,marketline:claim:2:7,0.485056,two agents selected the same object slot,old warning bell repeats from yesterday,1,0.965,Sova's rest and warmth and Melo's fair access both affect public schedule/access/trust.
13,2,v15-conflict-02-013,Keth|Nari,privacy,routeline:protect:2:5,ledgerline:claim:2:0,0.49059,trust repair promise collides with market duty,ritual lamp reports yesterday's consent state,1,0.9325,Keth's safe passage and Nari's privacy and review both affect public schedule/access/trust.
14,2,v15-watch-02-014,Melo|Ori,recovery,marketline:protect:2:6,orchardline:claim:2:1,0.496461,care schedule overlaps with bridge repair,old warning bell repeats from yesterday,0,0.8,No conflict: this frame keeps a false-alarm watch row so irrelevant signals do not force arbitration.
