tick,day,slot,avatar_room,selected_resident,loop_frame,scheduler_frame,action_frame,memory_frame,offscreen_frame,consequence_frame,dashboard_frame,replay_frame,single_world_state_object,boundary_visible
0,1,0,west hearth,Sera,0,0,0,0,0,0,0,0,True,True
1,1,1,river gate,Tovan,1,1,1,1,1,1,1,0,True,True
2,1,2,arrival court,Nia,2,2,2,2,2,2,2,0,True,True
3,1,3,tool alcove,Ari,3,3,3,3,3,3,3,0,True,True
4,1,4,rain court,Fay,4,4,4,4,4,4,4,0,True,True
5,1,5,fiber loft,Milo,5,5,5,5,5,5,5,0,True,True
6,1,6,west hearth,Sera,6,6,6,6,6,6,6,0,True,True
7,1,7,river gate,Tovan,7,7,7,7,7,7,7,1,True,True
8,1,8,arrival court,Nia,8,8,8,8,8,8,8,1,True,True
9,1,9,tool alcove,Ari,9,9,9,9,9,9,9,1,True,True
10,1,10,rain court,Fay,10,10,10,10,10,10,10,1,True,True
11,1,11,fiber loft,Milo,11,11,11,11,11,11,11,1,True,True
12,1,12,west hearth,Sera,12,12,12,12,12,12,12,1,True,True
13,1,13,river gate,Tovan,13,13,13,13,13,13,13,1,True,True
14,1,14,arrival court,Nia,14,14,14,14,14,14,14,2,True,True
15,1,15,tool alcove,Ari,15,15,15,15,15,15,15,2,True,True
16,1,16,rain court,Fay,16,16,16,16,16,16,16,2,True,True
17,1,17,fiber loft,Milo,17,17,17,17,17,17,17,3,True,True
18,2,0,river gate,Sera,18,18,18,18,18,18,18,4,True,True
19,2,1,arrival court,Tovan,19,19,19,19,19,19,19,4,True,True
20,2,2,tool alcove,Nia,20,20,20,20,20,20,20,4,True,True
21,2,3,rain court,Ari,21,21,21,21,21,21,21,5,True,True
22,2,4,fiber loft,Fay,22,22,22,22,22,22,22,5,True,True
23,2,5,west hearth,Milo,23,23,23,23,23,23,23,5,True,True
24,2,6,river gate,Sera,24,24,24,24,24,24,24,5,True,True
25,2,7,arrival court,Tovan,25,25,25,25,25,25,25,5,True,True
26,2,8,tool alcove,Nia,26,26,26,26,26,26,26,5,True,True
27,2,9,rain court,Ari,27,27,27,27,27,27,27,5,True,True
28,2,10,fiber loft,Fay,28,28,28,28,28,28,28,6,True,True
29,2,11,west hearth,Milo,29,29,29,29,29,29,29,6,True,True
30,2,12,river gate,Sera,30,30,30,30,30,30,30,6,True,True
31,2,13,arrival court,Tovan,31,31,31,31,31,31,31,6,True,True
32,2,14,tool alcove,Nia,32,32,32,32,32,32,32,6,True,True
33,2,15,rain court,Ari,33,33,33,33,33,33,33,6,True,True
34,2,16,fiber loft,Fay,34,34,34,34,34,34,34,6,True,True
35,2,17,west hearth,Milo,35,35,35,35,35,35,35,7,True,True
36,3,0,arrival court,Sera,36,36,36,36,36,36,36,8,True,True
37,3,1,tool alcove,Tovan,37,37,37,37,37,37,37,8,True,True
38,3,2,rain court,Nia,38,38,38,38,38,38,38,8,True,True
39,3,3,fiber loft,Ari,39,39,39,39,39,39,39,8,True,True
40,3,4,west hearth,Fay,40,40,40,40,40,40,40,8,True,True
41,3,5,river gate,Milo,41,41,41,41,41,41,41,8,True,True
42,3,6,arrival court,Sera,42,42,42,42,42,42,42,9,True,True
43,3,7,tool alcove,Tovan,43,43,43,43,43,43,43,9,True,True
44,3,8,rain court,Nia,44,44,44,44,44,44,44,9,True,True
45,3,9,fiber loft,Ari,45,45,45,45,45,45,45,9,True,True
46,3,10,west hearth,Fay,46,46,46,46,46,46,46,9,True,True
47,3,11,river gate,Milo,47,47,47,47,47,47,47,9,True,True
48,3,12,arrival court,Sera,48,48,48,48,48,48,48,9,True,True
49,3,13,tool alcove,Tovan,49,49,49,49,49,49,49,10,True,True
50,3,14,rain court,Nia,50,50,50,50,50,50,50,10,True,True
51,3,15,fiber loft,Ari,51,51,51,51,51,51,51,10,True,True
52,3,16,west hearth,Fay,52,52,52,52,52,52,52,10,True,True
53,3,17,river gate,Milo,53,53,53,53,53,53,53,11,True,True
54,4,0,tool alcove,Sera,54,54,54,54,54,54,54,12,True,True
55,4,1,rain court,Tovan,55,55,55,55,55,55,55,12,True,True
56,4,2,fiber loft,Nia,56,56,56,56,56,56,56,13,True,True
57,4,3,west hearth,Ari,57,57,57,57,57,57,57,13,True,True
58,4,4,river gate,Fay,58,58,58,58,58,58,58,13,True,True
59,4,5,arrival court,Milo,59,59,59,59,59,59,59,13,True,True
60,4,6,tool alcove,Sera,60,60,60,60,60,60,60,13,True,True
61,4,7,rain court,Tovan,61,61,61,61,61,61,61,13,True,True
62,4,8,fiber loft,Nia,62,62,62,62,62,62,62,13,True,True
63,4,9,west hearth,Ari,63,63,63,63,63,63,63,14,True,True
