tick,day,scene_id,camera_x,camera_y,camera_zoom,parallax_offset,occlusion_order_valid,shadow_scale,depth_cue_bound_to_z,camera_cue_score
0,1,v20-scene-d01,6.0,1.82,1.013088,0.099,1,0.8925,1,1.0
1,1,v20-scene-d01,6.022177,1.8194,1.013088,0.0792,1,0.868,1,1.0
2,1,v20-scene-d01,6.04408,1.817608,1.013088,0.1056,1,0.917,1,1.0
3,1,v20-scene-d01,6.065439,1.81464,1.013088,0.0616,1,0.854,1,1.0
4,1,v20-scene-d01,6.085991,1.810527,1.033088,0.1144,1,0.995,1,1.0
5,1,v20-scene-d01,6.105483,1.80531,1.033088,0.0528,1,0.869,1,1.0
6,1,v20-scene-d01,6.123674,1.79904,1.033088,0.0946,1,0.9425,1,1.0
7,1,v20-scene-d01,6.14034,1.791781,1.033088,0.0748,0,0.918,0,0.5
8,1,v20-scene-d01,6.155274,1.783605,1.013088,0.1012,1,0.917,1,1.0
9,1,v20-scene-d01,6.168294,1.774593,1.033088,0.0572,1,0.904,1,1.0
10,1,v20-scene-d01,6.179238,1.764836,1.033088,0.132,1,0.995,1,1.0
11,1,v20-scene-d01,6.187972,1.754432,1.033088,0.0484,1,0.869,1,1.0
12,1,v20-scene-d01,6.194388,1.743483,1.033088,0.0902,1,0.9425,1,1.0
13,1,v20-scene-d01,6.198406,1.7321,1.033088,0.0704,1,0.918,1,1.0
14,2,v20-scene-d02,6.199977,1.720396,1.044735,0.0748,1,0.904,1,1.0
15,2,v20-scene-d02,6.199082,1.708488,1.024735,0.1276,1,0.945,1,1.0
16,2,v20-scene-d02,6.195731,1.696496,1.044735,0.044,1,0.869,1,1.0
17,2,v20-scene-d02,6.189967,1.684539,1.044735,0.0858,1,0.9425,1,1.0
18,2,v20-scene-d02,6.181859,1.672736,1.044735,0.066,1,0.918,1,1.0
19,2,v20-scene-d02,6.171509,1.661205,1.044735,0.1144,1,0.967,1,1.0
20,2,v20-scene-d02,6.159044,1.650062,1.044735,0.0704,1,0.904,1,1.0
21,2,v20-scene-d02,6.144617,1.639418,1.044735,0.1232,1,0.995,1,1.0
22,2,v20-scene-d02,6.128407,1.62938,1.024735,0.0396,1,0.819,1,1.0
23,2,v20-scene-d02,6.110613,1.620047,1.044735,0.0814,1,0.9425,1,1.0
24,2,v20-scene-d02,6.091455,1.611513,1.044735,0.0836,1,0.918,1,1.0
25,2,v20-scene-d02,6.071168,1.603863,1.044735,0.11,1,0.967,1,1.0
26,2,v20-scene-d02,6.050005,1.597173,1.044735,0.066,1,0.904,1,1.0
27,2,v20-scene-d02,6.028224,1.591511,1.044735,0.1188,1,0.995,1,1.0
28,3,v20-scene-d03,6.006095,1.586933,1.053659,0.099,1,0.9425,1,1.0
29,3,v20-scene-d03,5.983892,1.583485,1.033659,0.0792,1,0.868,1,1.0
30,3,v20-scene-d03,5.961886,1.581201,1.053659,0.1056,1,0.967,1,1.0
31,3,v20-scene-d03,5.940351,1.580104,1.033659,0.0616,1,0.854,1,1.0
32,3,v20-scene-d03,5.919552,1.580205,1.053659,0.1144,1,0.995,1,1.0
33,3,v20-scene-d03,5.899745,1.581502,1.053659,0.0528,1,0.869,1,1.0
34,3,v20-scene-d03,5.881174,1.583984,1.053659,0.0946,1,0.9425,1,1.0
35,3,v20-scene-d03,5.864068,1.587625,1.053659,0.0748,1,0.918,1,1.0
36,3,v20-scene-d03,5.84864,1.592389,1.033659,0.1012,1,0.917,1,1.0
37,3,v20-scene-d03,5.835077,1.598228,1.053659,0.0572,1,0.904,1,1.0
38,3,v20-scene-d03,5.823549,1.605084,1.053659,0.132,1,0.995,1,1.0
39,3,v20-scene-d03,5.814197,1.612888,1.053659,0.0484,1,0.869,1,1.0
40,3,v20-scene-d03,5.807137,1.621563,1.033659,0.0902,1,0.8925,1,1.0
41,3,v20-scene-d03,5.802455,1.631021,1.053659,0.0704,1,0.918,1,1.0
42,4,v20-scene-d04,5.800209,1.641169,1.058878,0.0748,1,0.904,1,1.0
43,4,v20-scene-d04,5.800427,1.651904,1.038878,0.1276,1,0.945,1,1.0
44,4,v20-scene-d04,5.803107,1.66312,1.058878,0.044,0,0.869,0,0.5
45,4,v20-scene-d04,5.808215,1.674705,1.058878,0.0858,1,0.9425,1,1.0
46,4,v20-scene-d04,5.815688,1.686542,1.058878,0.066,1,0.918,1,1.0
47,4,v20-scene-d04,5.825435,1.698513,1.058878,0.1144,1,0.967,1,1.0
48,4,v20-scene-d04,5.837334,1.7105,1.058878,0.0704,1,0.904,1,1.0
49,4,v20-scene-d04,5.85124,1.722381,1.058878,0.1232,1,0.995,1,1.0
50,4,v20-scene-d04,5.86698,1.734039,1.038878,0.0396,1,0.819,1,1.0
51,4,v20-scene-d04,5.88436,1.745357,1.058878,0.0814,1,0.9425,1,1.0
52,4,v20-scene-d04,5.903167,1.756222,1.058878,0.0836,1,0.918,1,1.0
53,4,v20-scene-d04,5.923168,1.766525,1.058878,0.11,1,0.967,1,1.0
54,4,v20-scene-d04,5.944117,1.776163,1.058878,0.066,1,0.904,1,1.0
55,4,v20-scene-d04,5.965755,1.78504,1.058878,0.1188,1,0.995,1,1.0
56,5,v20-scene-d05,5.987815,1.793068,1.059816,0.099,1,0.9425,1,1.0
57,5,v20-scene-d05,6.010025,1.800166,1.039816,0.0792,1,0.868,1,1.0
58,5,v20-scene-d05,6.032112,1.806262,1.059816,0.1056,1,0.967,1,1.0
59,5,v20-scene-d05,6.053803,1.811297,1.059816,0.0616,1,0.904,1,1.0
60,5,v20-scene-d05,6.07483,1.81522,1.039816,0.1144,1,0.945,1,1.0
61,5,v20-scene-d05,6.094935,1.817992,1.059816,0.0528,1,0.869,1,1.0
62,5,v20-scene-d05,6.113868,1.819585,1.039816,0.0946,1,0.8925,1,1.0
63,5,v20-scene-d05,6.131397,1.819983,1.059816,0.0748,1,0.918,1,1.0
64,5,v20-scene-d05,6.147306,1.819182,1.039816,0.1012,1,0.917,1,1.0
65,5,v20-scene-d05,6.161398,1.817191,1.059816,0.0572,1,0.904,1,1.0
66,5,v20-scene-d05,6.173499,1.814028,1.059816,0.132,1,0.995,1,1.0
67,5,v20-scene-d05,6.183461,1.809726,1.059816,0.0484,1,0.869,1,1.0
68,5,v20-scene-d05,6.19116,1.804328,1.059816,0.0902,1,0.9425,1,1.0
69,5,v20-scene-d05,6.196502,1.797887,1.059816,0.0704,1,0.918,1,1.0
70,6,v20-scene-d06,6.19942,1.790468,1.056372,0.0748,1,0.904,1,1.0
71,6,v20-scene-d06,6.199878,1.782146,1.036372,0.1276,1,0.945,1,1.0
72,6,v20-scene-d06,6.197872,1.773002,1.056372,0.044,1,0.869,1,1.0
73,6,v20-scene-d06,6.193425,1.763129,1.056372,0.0858,1,0.9425,1,1.0
74,6,v20-scene-d06,6.186592,1.752626,1.056372,0.066,1,0.918,1,1.0
75,6,v20-scene-d06,6.177459,1.741596,1.056372,0.1144,1,0.967,1,1.0
76,6,v20-scene-d06,6.166137,1.730151,1.056372,0.0704,1,0.904,1,1.0
77,6,v20-scene-d06,6.152765,1.718405,1.036372,0.1232,1,0.945,1,1.0
78,6,v20-scene-d06,6.13751,1.706475,1.036372,0.0396,1,0.819,1,1.0
79,6,v20-scene-d06,6.120559,1.69448,1.056372,0.0814,1,0.9425,1,1.0
80,6,v20-scene-d06,6.102121,1.68254,1.056372,0.0836,1,0.918,1,1.0
81,6,v20-scene-d06,6.082424,1.670775,1.056372,0.11,0,0.967,0,0.5
82,6,v20-scene-d06,6.06171,1.659301,1.056372,0.066,1,0.904,1,1.0
83,6,v20-scene-d06,6.040235,1.648235,1.056372,0.1188,1,0.995,1,1.0
84,7,v20-scene-d07,6.018263,1.637685,1.048923,0.099,1,0.9425,1,1.0
85,7,v20-scene-d07,5.996067,1.627759,1.028923,0.0792,1,0.868,1,1.0
86,7,v20-scene-d07,5.973919,1.618554,1.048923,0.1056,1,0.967,1,1.0
87,7,v20-scene-d07,5.952093,1.610162,1.048923,0.0616,1,0.904,1,1.0
88,7,v20-scene-d07,5.930857,1.602669,1.048923,0.1144,1,0.995,1,1.0
89,7,v20-scene-d07,5.910474,1.596148,1.028923,0.0528,1,0.819,1,1.0
90,7,v20-scene-d07,5.891196,1.590664,1.048923,0.0946,1,0.9425,1,1.0
91,7,v20-scene-d07,5.873259,1.586273,1.048923,0.0748,1,0.918,1,1.0
92,7,v20-scene-d07,5.856885,1.583019,1.028923,0.1012,1,0.917,1,1.0
93,7,v20-scene-d07,5.842277,1.580933,1.028923,0.0572,1,0.854,1,1.0
