diagnostic_bias,tune_total_score,tune_maturation_score,tune_crisis_score,tune_resolved_rate,tune_env_response,tune_social_response,tune_coupled_response,tune_damage,selection_objective,selected
0.0,0.5174540799999999,0.9951039999999999,0.0,0.08333333333333333,0.1858974358974359,0.35363247863247865,0.03311965811965812,1.3530370803354093,-0.06797164334822725,True
0.75,0.51872704,0.9975519999999999,0.0,0.0,0.4166666666666667,0.0,0.0,1.7460216121889662,-0.2564747721442485,False
1.25,0.51872704,0.9975519999999999,0.0,0.0,0.4166666666666667,0.0,0.0,1.7463321590393435,-0.25658035807337676,False
1.75,0.51872704,0.9975519999999999,0.0,0.0,0.4166666666666667,0.0,0.0,1.7463321590393435,-0.25658035807337676,False
2.5,0.51872704,0.9975519999999999,0.0,0.0,0.4166666666666667,0.0,0.0,1.7338922456049763,-0.25235078750569195,False
3.5,0.51872704,0.9975519999999999,0.0,0.0,0.5,0.0,0.0,1.8580707249278612,-0.29457147047547283,False
5.0,0.51872704,0.9975519999999999,0.0,0.0,0.5,0.0,0.0,1.859793722958016,-0.2951572898057254,False
8.0,0.51872704,0.9975519999999999,0.0,0.0,0.5,0.0,0.0,1.859793722958016,-0.2951572898057254,False
12.0,0.51872704,0.9975519999999999,0.0,0.0,0.5,0.0,0.0,1.859793722958016,-0.2951572898057254,False
20.0,0.51872704,0.9975519999999999,0.0,0.0,0.5,0.0,0.0,1.859793722958016,-0.2951572898057254,False
