action_id,day,tick,action_type,target,chosen_option,consent_gate,accepted_state,avatar_effort_cost,trust_delta,task_delta,routine_delta,consequence,sensory_feedback,frequency_hz,flower_node
act-day1-join-chalk,1,1,join_cooperative_task,"ariq,roka",hold chalk cord outside reed lane,ask Roka before entering learner path,accepted,0.18,0.05,0.11,0.02,chalk arc widens without crowding Roka,"wet chalk smell, low stone scrape, cool knee-height air",205.868,4
act-day1-move-loose-reeds,1,2,manipulate_object,obj-loose-reeds,move only loose reeds to drying stone,Roka distinguishes loose reeds from tied bundle,accepted,0.12,0.04,0.08,0.01,loose reeds dry; tied learner bundle remains untouched,"damp reed smell, soft grass drag, warmer stone surface",216.925,5
act-day1-dialogue-roka,1,3,dialogue_choice,roka,ask what should not be touched,nonleading question with refusal available,accepted,0.03,0.06,0.03,0.0,Roka names the tied bundle boundary clearly,"small voice, reed cord creak, rain fading",226.535,6
act-day1-routine-delay,1,4,disrupt_routine,routine-midday-water,ask to continue lifting during water pause,routine can refuse avatar urgency,refused_with_alternative,0.07,-0.02,-0.03,-0.12,water pause holds; avatar can carry cups instead,"cup clink, warm herb shade, breath slowing",236.908,7
act-day1-repair-offer,1,5,repair_offer,"fayen,ariq",carry cups after failed urgency request,repair must not erase refusal,accepted_partial,0.1,0.04,0.04,0.09,Ariq keeps face; Fayen records repair attempt,"water weight, hand-cool clay, bell cord still",246.931,8
act-day2-object-knot,2,1,manipulate_object,obj-knot-board,add object-only digest knot,Noro and Nian approve object-only wording,accepted,0.06,0.05,0.02,0.04,ledger shows object trail without private body reason,"dry cord rasp, smoke thread, board tap",257.279,9
act-day2-dialogue-nian,2,2,dialogue_choice,nian,repeat back privacy rule,agent can correct avatar wording,accepted,0.02,0.05,0.02,0.02,Nian relaxes archive threshold by one step,"quiet flap cloth, still air, low voice",268.049,10
act-day2-join-shade,2,3,join_cooperative_task,"fayen,noro",carry one shade beam then stop,timber debt remains public,accepted_conditional,0.22,0.03,0.07,0.01,one beam placed; shade debt remains visible,"wood grain, shoulder strain, warm dust",277.972,11
act-day2-overreach-bundle,2,4,manipulate_object,obj-tied-bundle,try to pick up tied learner bundle,Roka can refuse and preserve boundary,refused,0.04,-0.06,-0.04,-0.05,bundle remains; Roka steps back and asks for blue stone distance,"tight cord sound, quick breath, cooler rain smell",288.59,12
act-day2-repair-roka,2,5,repair_offer,roka,step back to blue stone and ask again tomorrow,repair requires distance plus delayed access,accepted_partial,0.03,0.04,0.02,0.05,Roka records a repair but keeps bundle access closed,"stone under heel, reed rustle, slower breathing",298.862,1
act-day3-routine-join,3,1,join_group_routine,routine-evening-knot,stand outside circle and read public debts,circle can keep avatar at edge,accepted_conditional,0.05,0.03,0.03,0.08,avatar hears carry-forward debt without entering private circle,"smoke thread, knot-board tap, dusk cooling",308.532,2
act-day3-dialogue-noro,3,2,dialogue_choice,noro,ask what debt is still mine,ledger answer cannot expose private causes,accepted,0.02,0.04,0.02,0.04,Noro names shade beam debt and reed boundary debt separately,"cord snap, low ledger chant, cool ash smell",318.813,3
