tick,day,snapshot_id,scene_id,storage_key,stores_open_obligations,stores_due_days,stores_trust_access,stores_followup_queue,stores_residual_debt,stores_replay_cursor,snapshot_integrity
0,1,v24-snapshot-0000,v24-scene-d01,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
1,1,v24-snapshot-0001,v24-scene-d01,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,0,1,1,0.833333
2,1,v24-snapshot-0002,v24-scene-d01,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
3,1,v24-snapshot-0003,v24-scene-d01,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
4,1,v24-snapshot-0004,v24-scene-d01,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
5,1,v24-snapshot-0005,v24-scene-d01,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
6,1,v24-snapshot-0006,v24-scene-d01,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,0,1,1,0.833333
7,1,v24-snapshot-0007,v24-scene-d01,ssrm_browser_world_v24_owned_task_obligation_state,0,1,1,1,1,1,0.833333
8,1,v24-snapshot-0008,v24-scene-d01,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
9,1,v24-snapshot-0009,v24-scene-d01,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
10,1,v24-snapshot-0010,v24-scene-d01,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
11,1,v24-snapshot-0011,v24-scene-d01,ssrm_browser_world_v24_owned_task_obligation_state,1,0,1,0,1,1,0.666667
12,1,v24-snapshot-0012,v24-scene-d01,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
13,1,v24-snapshot-0013,v24-scene-d01,ssrm_browser_world_v24_owned_task_obligation_state,1,1,0,1,1,1,0.833333
14,1,v24-snapshot-0014,v24-scene-d01,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
15,1,v24-snapshot-0015,v24-scene-d01,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
16,1,v24-snapshot-0016,v24-scene-d01,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
17,1,v24-snapshot-0017,v24-scene-d01,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,0,0.833333
18,2,v24-snapshot-0018,v24-scene-d02,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
19,2,v24-snapshot-0019,v24-scene-d02,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
20,2,v24-snapshot-0020,v24-scene-d02,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
21,2,v24-snapshot-0021,v24-scene-d02,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,0,1,1,0.833333
22,2,v24-snapshot-0022,v24-scene-d02,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
23,2,v24-snapshot-0023,v24-scene-d02,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
24,2,v24-snapshot-0024,v24-scene-d02,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
25,2,v24-snapshot-0025,v24-scene-d02,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
26,2,v24-snapshot-0026,v24-scene-d02,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,0,1,1,0.833333
27,2,v24-snapshot-0027,v24-scene-d02,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
28,2,v24-snapshot-0028,v24-scene-d02,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
29,2,v24-snapshot-0029,v24-scene-d02,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
30,2,v24-snapshot-0030,v24-scene-d02,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
31,2,v24-snapshot-0031,v24-scene-d02,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,0,1,1,0.833333
32,2,v24-snapshot-0032,v24-scene-d02,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
33,2,v24-snapshot-0033,v24-scene-d02,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
34,2,v24-snapshot-0034,v24-scene-d02,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
35,2,v24-snapshot-0035,v24-scene-d02,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
36,3,v24-snapshot-0036,v24-scene-d03,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,0,1,1,0.833333
37,3,v24-snapshot-0037,v24-scene-d03,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
38,3,v24-snapshot-0038,v24-scene-d03,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
39,3,v24-snapshot-0039,v24-scene-d03,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
40,3,v24-snapshot-0040,v24-scene-d03,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
41,3,v24-snapshot-0041,v24-scene-d03,ssrm_browser_world_v24_owned_task_obligation_state,1,1,1,1,1,1,1.0
