tick_id,day,tick,project_id,owner,reserved_slot,reserved,conflict_kind,conflict_handled,deferred_to_tick,rest_protected
0,1,0,west_bridge_repair,Ari,morning dry window,false,none,true,0,true
1,1,1,herb_roof_garden,Fay,midday light window,false,none,true,1,true
2,1,2,north_lantern_relay,Milo,dusk safety window,false,none,true,2,false
3,1,3,archive_weather_log,Nia,quiet evening window,false,none,true,3,false
4,1,4,west_bridge_repair,Ari,morning dry window,false,none,true,4,false
5,1,5,herb_roof_garden,Fay,midday light window,true,none,true,5,false
6,1,6,north_lantern_relay,Milo,dusk safety window,false,none,true,6,false
7,1,7,archive_weather_log,Nia,quiet evening window,true,none,true,7,false
8,1,8,west_bridge_repair,Ari,morning dry window,false,none,true,8,false
9,1,9,herb_roof_garden,Fay,midday light window,true,obligation_time_conflict,true,11,false
10,1,10,north_lantern_relay,Milo,dusk safety window,true,none,true,10,false
11,1,11,archive_weather_log,Nia,quiet evening window,false,none,true,11,false
12,1,12,west_bridge_repair,Ari,morning dry window,false,none,true,12,false
13,1,13,herb_roof_garden,Fay,midday light window,false,none,true,13,false
14,1,14,north_lantern_relay,Milo,dusk safety window,false,none,true,14,false
15,1,15,archive_weather_log,Nia,quiet evening window,true,none,true,15,false
16,1,16,west_bridge_repair,Ari,morning dry window,false,none,true,16,true
17,1,17,herb_roof_garden,Fay,midday light window,false,none,true,17,true
18,2,0,north_lantern_relay,Milo,dusk safety window,false,none,true,0,true
19,2,1,archive_weather_log,Nia,quiet evening window,false,none,true,1,true
20,2,2,west_bridge_repair,Ari,morning dry window,true,none,true,2,false
21,2,3,herb_roof_garden,Fay,midday light window,false,none,true,3,false
22,2,4,north_lantern_relay,Milo,dusk safety window,false,none,true,4,false
23,2,5,archive_weather_log,Nia,quiet evening window,false,none,true,5,false
24,2,6,west_bridge_repair,Ari,morning dry window,false,none,true,6,false
25,2,7,herb_roof_garden,Fay,midday light window,true,none,true,7,false
26,2,8,north_lantern_relay,Milo,dusk safety window,false,none,true,8,false
27,2,9,archive_weather_log,Nia,quiet evening window,false,none,true,9,false
28,2,10,west_bridge_repair,Ari,morning dry window,false,none,true,10,false
29,2,11,herb_roof_garden,Fay,midday light window,false,none,true,11,false
30,2,12,north_lantern_relay,Milo,dusk safety window,false,none,true,12,false
31,2,13,archive_weather_log,Nia,quiet evening window,true,obligation_time_conflict,true,15,false
32,2,14,west_bridge_repair,Ari,morning dry window,false,none,true,14,false
33,2,15,herb_roof_garden,Fay,midday light window,false,none,true,15,false
34,2,16,north_lantern_relay,Milo,dusk safety window,false,none,true,16,true
35,2,17,archive_weather_log,Nia,quiet evening window,true,none,true,17,true
36,3,0,herb_roof_garden,Fay,midday light window,false,none,true,0,true
37,3,1,north_lantern_relay,Milo,dusk safety window,false,none,true,1,true
38,3,2,archive_weather_log,Nia,quiet evening window,false,none,true,2,false
39,3,3,west_bridge_repair,Ari,morning dry window,true,none,true,3,false
40,3,4,herb_roof_garden,Fay,midday light window,false,none,true,4,false
41,3,5,north_lantern_relay,Milo,dusk safety window,false,none,true,5,false
42,3,6,archive_weather_log,Nia,quiet evening window,false,none,true,6,false
43,3,7,west_bridge_repair,Ari,morning dry window,false,none,true,7,false
44,3,8,herb_roof_garden,Fay,midday light window,false,none,true,8,false
45,3,9,north_lantern_relay,Milo,dusk safety window,true,none,true,9,false
46,3,10,archive_weather_log,Nia,quiet evening window,false,none,true,10,false
47,3,11,west_bridge_repair,Ari,morning dry window,false,none,true,11,false
48,3,12,herb_roof_garden,Fay,midday light window,false,none,true,12,false
49,3,13,north_lantern_relay,Milo,dusk safety window,false,none,true,13,false
50,3,14,archive_weather_log,Nia,quiet evening window,true,none,true,14,false
51,3,15,west_bridge_repair,Ari,morning dry window,false,none,true,15,false
52,3,16,herb_roof_garden,Fay,midday light window,false,none,true,16,true
