tick_id,day,settlement_id,speaker_id,listener_id,observer_id,turn_index,avatar_action,dialogue_act,consent_or_boundary_state,speaker_line,listener_reaction,observer_reaction,relationship_delta,turn_visible,private_workspace_sealed,multi_resident_coherent
0,1,riverbend,Ari,Lio,Cee,0,offer_help,cooperative task,conditional,"Ari: Help with one step, not all of it.",Lio: Keep the owner badge visible.,Cee: I keep watching the room.,0.0,True,True,True
1,1,roofward,Sera,Orr,Fay,0,inspect_inventory,local presence,observed,Sera: I see the avatar in the scene.,Orr: Keep the path clear.,Fay: I keep watching the room.,0.0,True,True,True
2,1,archive,Vell,Nia,Toma,0,turn_left,local presence,observed,Vell: I see the avatar in the scene.,Nia: Keep the path clear.,Toma: I keep watching the room.,0.0,True,True,True
3,1,signal,Milo,Ren,Kesh,0,approach_group,local presence,observed,Milo: I see the avatar in the scene.,Ren: Keep the path clear.,Kesh: I keep watching the room.,0.0,True,True,True
4,1,orchard,Mara,Pim,Ivo,0,request_permission,permission negotiation,granted,"Mara: Ask first, then carry it near us.",Pim: I can watch the handoff.,Ivo: I track the owner badge.,0.0,True,True,True
5,1,repair_ring,Vale,Juno,Pax,0,pickup_shared_object,local presence,observed,Vale: I see the avatar in the scene.,Juno: Keep the path clear.,Pax: I keep watching the room.,0.0,True,True,True
6,1,riverbend,Ari,Lio,Cee,1,approach_group,local presence,observed,Ari: I see the avatar in the scene.,Lio: Keep the path clear.,Cee: I keep watching the room.,0.0,True,True,True
7,1,roofward,Sera,Orr,Fay,1,request_permission,permission negotiation,granted,"Sera: Ask first, then carry it near us.",Orr: I can watch the handoff.,Fay: I track the owner badge.,0.0,True,True,True
8,1,archive,Vell,Nia,Toma,1,pickup_shared_object,local presence,observed,Vell: I see the avatar in the scene.,Nia: Keep the path clear.,Toma: I keep watching the room.,0.0,True,True,True
9,1,signal,Milo,Ren,Kesh,1,return_object,trust repair,repairing,Milo: I notice the repair attempt.,Ren: Give the tool back and wait.,Kesh: I track the owner badge.,0.0,True,True,True
10,1,orchard,Mara,Pim,Ivo,1,wait_respectfully,local presence,observed,Mara: I see the avatar in the scene.,Pim: Keep the path clear.,Ivo: I keep watching the room.,0.0,True,True,True
11,1,repair_ring,Vale,Juno,Pax,1,listen_memory,sensory memory,shared,Vale: That sound marks where the object belongs.,Juno: I remember the room cue too.,Pax: I keep watching the room.,0.0,True,True,True
