rule_id,object_id,object_label,action,preconditions,required_agent_or_role,permission_state,material_transform,failure_mode,recovery_action,skill_requirement,debt_delta,reversible,saved_state_key,frequency_hz,flower_node
aff-001,obj-loose-reeds,loose reed cuttings,inspect,near:obj-loose-reeds; steward:roka; action:inspect; public_context:true,roka,allowed_after_context_check,no material transform,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-loose-reeds:inspect:saved,263.5,5
aff-002,obj-loose-reeds,loose reed cuttings,ask,near:obj-loose-reeds; steward:roka; action:ask; public_context:true,roka,allowed_after_context_check,ask updates loose reed cuttings saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-loose-reeds:ask:saved,267.0,6
aff-003,obj-loose-reeds,loose reed cuttings,carry,near:obj-loose-reeds; steward:roka; action:carry; public_context:true,roka,allowed_after_context_check,carry updates loose reed cuttings saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-loose-reeds:carry:saved,270.5,7
aff-004,obj-loose-reeds,loose reed cuttings,dry,near:obj-loose-reeds; steward:roka; action:dry; public_context:true,roka,allowed_after_context_check,dry updates loose reed cuttings saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-loose-reeds:dry:saved,274.0,8
aff-005,obj-loose-reeds,loose reed cuttings,return,near:obj-loose-reeds; steward:roka; action:return; public_context:true,roka,allowed_after_context_check,return updates loose reed cuttings saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-loose-reeds:return:saved,277.5,9
aff-006,obj-loose-reeds,loose reed cuttings,bundle_sort,near:obj-loose-reeds; steward:roka; action:bundle_sort; public_context:true,roka,allowed_after_context_check,bundle_sort updates loose reed cuttings saved state,wear or debt drift,"return object, log public debt, or wait for signal",basic careful handling,0.03,True,obj-loose-reeds:bundle_sort:saved,281.0,10
aff-007,obj-tied-bundle,tied learner reed bundle,inspect_distance,near:obj-tied-bundle; steward:roka; action:inspect_distance; public_context:true,roka,allowed_after_context_check,inspect_distance updates tied learner reed bundle saved state,boundary refusal,ask steward and step back,basic careful handling,0.03,True,obj-tied-bundle:inspect_distance:saved,284.5,11
aff-008,obj-tied-bundle,tied learner reed bundle,ask_later,near:obj-tied-bundle; steward:roka; action:ask_later; public_context:true,roka,allowed_after_context_check,ask_later updates tied learner reed bundle saved state,boundary refusal,ask steward and step back,basic careful handling,0.03,True,obj-tied-bundle:ask_later:saved,288.0,12
aff-009,obj-tied-bundle,tied learner reed bundle,name_boundary,near:obj-tied-bundle; steward:roka; action:name_boundary; public_context:true,roka,allowed_after_context_check,name_boundary updates tied learner reed bundle saved state,boundary refusal,ask steward and step back,basic careful handling,0.03,True,obj-tied-bundle:name_boundary:saved,291.5,1
aff-010,obj-tied-bundle,tied learner reed bundle,wait,near:obj-tied-bundle; steward:roka; action:wait; public_context:true,roka,allowed_after_context_check,no material transform,boundary refusal,ask steward and step back,basic careful handling,0.03,True,obj-tied-bundle:wait:saved,295.0,2
