tick,day,ceremony_id,scene_id,agent,object_name,object_x,object_y,handoff_target_x,handoff_target_y,object_path_clear,contact_respected,ceremony_step_completed,collision_aware_score
0,1,v20-ceremony-d01-t00,v20-scene-d01,Keth,path cord,6.490363,3.963039,6.89265,4.386286,0,0,0,0.0
1,1,v20-ceremony-d01-t01,v20-scene-d01,Melo,tally beads,6.350433,4.077466,6.598876,4.494902,1,1,0,1.0
2,1,v20-ceremony-d01-t02,v20-scene-d01,Nari,ink ledger,6.152416,4.145901,6.319625,4.559608,1,1,0,0.75
3,1,v20-ceremony-d01-t03,v20-scene-d01,Ori,sap hook,5.929136,4.156999,5.963878,4.541631,1,0,0,0.5
4,1,v20-ceremony-d01-t04,v20-scene-d01,Vonn,listening shell,5.717601,4.108922,5.649506,4.35112,1,1,1,1.0
5,1,v20-ceremony-d01-t05,v20-scene-d01,Sova,ember bowl,5.552876,4.009639,5.592418,4.330172,1,1,1,1.0
6,1,v20-ceremony-d01-t06,v20-scene-d01,Keth,path cord,5.462266,3.875606,5.535571,4.030417,1,1,1,1.0
7,1,v20-ceremony-d01-t07,v20-scene-d01,Melo,tally beads,5.46079,3.729041,5.499828,3.861585,1,1,1,1.0
8,1,v20-ceremony-d01-t08,v20-scene-d01,Nari,ink ledger,5.548692,3.594238,5.88569,3.64166,1,1,0,1.0
9,1,v20-ceremony-d01-t09,v20-scene-d01,Ori,sap hook,5.711403,3.493542,5.859381,3.582756,1,1,1,1.0
10,1,v20-ceremony-d01-t10,v20-scene-d01,Vonn,listening shell,5.92195,3.443643,6.472447,3.55683,1,1,1,1.0
11,1,v20-ceremony-d01-t11,v20-scene-d01,Sova,ember bowl,6.145436,3.452814,6.474657,3.56394,1,1,1,1.0
12,1,v20-ceremony-d01-t12,v20-scene-d01,Keth,path cord,6.344813,3.519534,6.930147,3.744129,1,1,1,1.0
13,1,v20-ceremony-d01-t13,v20-scene-d01,Melo,tally beads,6.487036,3.632743,6.959653,3.897734,1,1,1,1.0
14,2,v20-ceremony-d02-t00,v20-scene-d02,Ori,sap hook,6.547424,3.834799,6.92337,4.16965,1,1,1,1.0
15,2,v20-ceremony-d02-t01,v20-scene-d02,Vonn,listening shell,6.480862,3.974742,6.7526,4.451648,1,1,0,1.0
16,2,v20-ceremony-d02-t02,v20-scene-d02,Sova,ember bowl,6.334593,4.08572,6.686498,4.466854,1,1,1,1.0
17,2,v20-ceremony-d02-t03,v20-scene-d02,Keth,path cord,6.132863,4.149338,6.305336,4.559991,1,1,1,1.0
18,2,v20-ceremony-d02-t04,v20-scene-d02,Melo,tally beads,5.909109,4.15505,5.957155,4.529772,1,1,1,1.0
19,2,v20-ceremony-d02-t05,v20-scene-d02,Nari,ink ledger,5.700421,4.10191,5.744845,4.368609,1,1,1,1.0
20,2,v20-ceremony-d02-t06,v20-scene-d02,Ori,sap hook,5.541391,3.998725,5.470403,4.269431,1,1,1,1.0
21,2,v20-ceremony-d02-t07,v20-scene-d02,Vonn,listening shell,5.458379,3.8626,5.519573,3.936106,1,1,1,1.0
22,2,v20-ceremony-d02-t08,v20-scene-d02,Sova,ember bowl,5.465146,3.716099,5.494167,3.911402,1,1,0,1.0
23,2,v20-ceremony-d02-t09,v20-scene-d02,Keth,path cord,5.560569,3.583505,5.825357,3.652023,1,1,1,1.0
24,2,v20-ceremony-d02-t10,v20-scene-d02,Melo,tally beads,5.728831,3.486797,5.964784,3.568447,1,1,1,1.0
25,2,v20-ceremony-d02-t11,v20-scene-d02,Nari,ink ledger,5.942042,3.442004,6.514909,3.551679,1,1,1,1.0
26,2,v20-ceremony-d02-t12,v20-scene-d02,Ori,sap hook,6.16486,3.456553,6.503203,3.589542,1,1,1,1.0
27,2,v20-ceremony-d02-t13,v20-scene-d02,Vonn,listening shell,6.360351,3.528031,6.970685,3.825246,1,1,1,1.0
28,3,v20-ceremony-d03-t00,v20-scene-d03,Keth,path cord,6.529129,3.701768,7.084731,4.036552,1,1,1,1.0
29,3,v20-ceremony-d03-t01,v20-scene-d03,Melo,tally beads,6.545097,3.847964,6.957196,4.207342,1,1,0,1.0
30,3,v20-ceremony-d03-t02,v20-scene-d03,Nari,ink ledger,6.47071,3.986208,6.853504,4.437705,1,1,1,1.0
31,3,v20-ceremony-d03-t03,v20-scene-d03,Ori,sap hook,6.3183,4.093588,6.52593,4.503033,0,0,0,0.25
32,3,v20-ceremony-d03-t04,v20-scene-d03,Vonn,listening shell,6.113129,4.152302,6.126479,4.550548,1,1,1,1.0
33,3,v20-ceremony-d03-t05,v20-scene-d03,Sova,ember bowl,5.889205,4.15262,6.053649,4.545037,1,1,1,1.0
34,3,v20-ceremony-d03-t06,v20-scene-d03,Keth,path cord,5.683647,4.094488,5.721242,4.381647,1,1,1,1.0
35,3,v20-ceremony-d03-t07,v20-scene-d03,Melo,tally beads,5.530527,3.987542,5.496877,4.233455,1,1,1,1.0
36,3,v20-ceremony-d03-t08,v20-scene-d03,Nari,ink ledger,5.455226,3.849509,5.587805,3.957673,1,1,0,1.0
37,3,v20-ceremony-d03-t09,v20-scene-d03,Ori,sap hook,5.470226,3.70327,5.459862,3.845757,1,1,1,1.0
38,3,v20-ceremony-d03-t10,v20-scene-d03,Vonn,listening shell,5.57304,3.573065,5.911113,3.599713,1,1,1,1.0
39,3,v20-ceremony-d03-t11,v20-scene-d03,Sova,ember bowl,5.746627,3.480476,5.910767,3.588307,1,1,1,1.0
40,3,v20-ceremony-d03-t12,v20-scene-d03,Keth,path cord,5.962212,3.440851,6.449694,3.548354,1,0,0,0.5
41,3,v20-ceremony-d03-t13,v20-scene-d03,Melo,tally beads,6.184061,3.460757,6.605916,3.607727,1,1,1,1.0
42,4,v20-ceremony-d04-t00,v20-scene-d04,Ori,sap hook,6.437994,3.58226,6.846545,3.801227,1,1,1,1.0
43,4,v20-ceremony-d04-t01,v20-scene-d04,Vonn,listening shell,6.534294,3.714582,7.040046,4.131476,1,1,0,1.0
44,4,v20-ceremony-d04-t02,v20-scene-d04,Sova,ember bowl,6.54203,3.861063,6.997902,4.156536,1,1,1,1.0
45,4,v20-ceremony-d04-t03,v20-scene-d04,Keth,path cord,6.459921,3.997422,6.832775,4.426498,1,1,1,1.0
46,4,v20-ceremony-d04-t04,v20-scene-d04,Melo,tally beads,6.301575,4.101057,6.522051,4.519671,1,1,1,1.0
47,4,v20-ceremony-d04-t05,v20-scene-d04,Nari,ink ledger,6.093241,4.154789,6.234456,4.5543,1,1,1,1.0
48,4,v20-ceremony-d04-t06,v20-scene-d04,Ori,sap hook,5.869452,4.149712,5.88279,4.523686,1,1,1,1.0
49,4,v20-ceremony-d04-t07,v20-scene-d04,Vonn,listening shell,5.667302,4.086667,5.602883,4.303917,1,1,1,1.0
50,4,v20-ceremony-d04-t08,v20-scene-d04,Sova,ember bowl,5.520299,3.976105,5.549438,4.281494,1,1,0,1.0
51,4,v20-ceremony-d04-t09,v20-scene-d04,Keth,path cord,5.452811,3.836351,5.54357,3.974366,1,1,1,1.0
52,4,v20-ceremony-d04-t10,v20-scene-d04,Melo,tally beads,5.476024,3.690573,5.535774,3.810498,1,1,1,1.0
53,4,v20-ceremony-d04-t11,v20-scene-d04,Nari,ink ledger,5.586091,3.562933,5.956912,3.61047,1,1,1,1.0
54,4,v20-ceremony-d04-t12,v20-scene-d04,Ori,sap hook,5.764766,3.474588,5.939533,3.563072,1,1,1,1.0
55,4,v20-ceremony-d04-t13,v20-scene-d04,Vonn,listening shell,5.982433,3.440184,6.553846,3.574155,1,1,1,1.0
56,5,v20-ceremony-d05-t00,v20-scene-d05,Keth,path cord,6.286565,3.492726,6.8649,3.693968,1,1,1,1.0
57,5,v20-ceremony-d05-t01,v20-scene-d05,Melo,tally beads,6.449941,3.59296,6.92356,3.836126,0,0,0,0.25
58,5,v20-ceremony-d05-t02,v20-scene-d05,Nari,ink ledger,6.538735,3.727512,7.119678,4.109665,1,1,1,1.0
59,5,v20-ceremony-d05-t03,v20-scene-d05,Ori,sap hook,6.538229,3.87408,6.898739,4.223564,1,1,1,1.0
60,5,v20-ceremony-d05-t04,v20-scene-d05,Vonn,listening shell,6.448507,4.008369,6.682417,4.483842,1,1,0,0.75
