tick,day,repair_id,scene_id,agent,obligation_id,repair_kind,deferral_requested,deferral_accepted,partial_repair,full_repair,residual_debt_visible,repair_deferral_score
0,1,v24-repair-0000,v24-scene-d01,Ori,v24-obligation-ori-0000,full,0,0,0,1,0,1.0
1,1,v24-repair-0001,v24-scene-d01,Nari,v24-no-open-nari-0001,none,0,0,0,0,0,1.0
2,1,v24-repair-0002,v24-scene-d01,Ori,v24-obligation-ori-0002,none,0,0,0,0,1,1.0
3,1,v24-repair-0003,v24-scene-d01,Nari,v24-obligation-nari-0003,full,0,0,0,1,0,1.0
4,1,v24-repair-0004,v24-scene-d01,Ori,v24-obligation-ori-0002,full,0,0,0,1,0,1.0
5,1,v24-repair-0005,v24-scene-d01,Ori,v24-no-open-ori-0005,none,0,0,0,0,0,1.0
6,1,v24-repair-0006,v24-scene-d01,Sova,v24-obligation-sova-0006,full,0,0,0,1,0,1.0
7,1,v24-repair-0007,v24-scene-d01,Nari,v24-obligation-nari-0007,none,0,0,0,0,1,1.0
8,1,v24-repair-0008,v24-scene-d01,Melo,v24-obligation-melo-0008,full,0,0,0,1,0,1.0
9,1,v24-repair-0009,v24-scene-d01,Keth,v24-no-open-keth-0009,none,0,0,0,0,0,1.0
10,1,v24-repair-0010,v24-scene-d01,Melo,v24-obligation-melo-0010,full,0,0,0,1,0,1.0
11,1,v24-repair-0011,v24-scene-d01,Ori,v24-obligation-ori-0011,full,0,0,0,1,0,1.0
12,1,v24-repair-0012,v24-scene-d01,Vonn,v24-obligation-vonn-0012,deferral,1,0,0,0,0,0.8
13,1,v24-repair-0013,v24-scene-d01,Ori,v24-no-open-ori-0013,none,0,0,0,0,0,1.0
14,1,v24-repair-0014,v24-scene-d01,Ori,v24-obligation-ori-0014,full,0,0,0,1,0,1.0
15,1,v24-repair-0015,v24-scene-d01,Keth,v24-obligation-keth-0015,full,0,0,0,1,0,1.0
16,1,v24-repair-0016,v24-scene-d01,Sova,v24-obligation-sova-0016,deferral,1,1,0,0,1,1.0
17,1,v24-repair-0017,v24-scene-d01,Melo,v24-no-open-melo-0017,none,0,0,0,0,0,1.0
18,2,v24-repair-0018,v24-scene-d02,Sova,v24-obligation-sova-0016,full,0,0,0,1,0,1.0
19,2,v24-repair-0019,v24-scene-d02,Nari,v24-obligation-nari-0007,none,0,0,0,0,1,1.0
20,2,v24-repair-0020,v24-scene-d02,Sova,v24-obligation-sova-0020,deferral,1,1,0,0,1,1.0
21,2,v24-repair-0021,v24-scene-d02,Ori,v24-no-open-ori-0021,none,0,0,0,0,0,1.0
22,2,v24-repair-0022,v24-scene-d02,Vonn,v24-obligation-vonn-0012,none,0,0,0,0,1,1.0
23,2,v24-repair-0023,v24-scene-d02,Keth,v24-obligation-keth-0023,deferral,1,1,0,0,1,1.0
24,2,v24-repair-0024,v24-scene-d02,Melo,v24-obligation-melo-0024,none,0,0,0,0,1,1.0
25,2,v24-repair-0025,v24-scene-d02,Melo,v24-obligation-melo-0024,full,0,0,0,1,0,1.0
26,2,v24-repair-0026,v24-scene-d02,Nari,v24-obligation-nari-0007,full,0,0,0,1,0,1.0
27,2,v24-repair-0027,v24-scene-d02,Sova,v24-obligation-sova-0020,deferral,1,0,0,0,1,0.8
28,2,v24-repair-0028,v24-scene-d02,Melo,v24-obligation-melo-0028,full,0,0,0,1,0,1.0
29,2,v24-repair-0029,v24-scene-d02,Sova,v24-obligation-sova-0020,full,0,0,0,1,0,1.0
30,2,v24-repair-0030,v24-scene-d02,Sova,v24-obligation-sova-0030,full,0,0,0,1,0,1.0
31,2,v24-repair-0031,v24-scene-d02,Ori,v24-obligation-ori-0031,none,0,0,0,0,1,1.0
32,2,v24-repair-0032,v24-scene-d02,Sova,v24-obligation-sova-0032,full,0,0,0,1,0,1.0
33,2,v24-repair-0033,v24-scene-d02,Sova,v24-no-open-sova-0033,none,0,0,0,0,0,1.0
34,2,v24-repair-0034,v24-scene-d02,Nari,v24-obligation-nari-0034,deferral,1,1,0,0,1,1.0
35,2,v24-repair-0035,v24-scene-d02,Keth,v24-obligation-keth-0023,full,0,0,0,1,0,1.0
36,3,v24-repair-0036,v24-scene-d03,Melo,v24-obligation-melo-0036,none,0,0,0,0,1,1.0
37,3,v24-repair-0037,v24-scene-d03,Melo,v24-obligation-melo-0036,full,0,0,0,1,0,1.0
38,3,v24-repair-0038,v24-scene-d03,Vonn,v24-obligation-vonn-0012,none,0,0,0,0,1,1.0
39,3,v24-repair-0039,v24-scene-d03,Nari,v24-obligation-nari-0034,full,0,0,0,1,0,1.0
40,3,v24-repair-0040,v24-scene-d03,Ori,v24-obligation-ori-0031,full,0,0,0,1,0,1.0
41,3,v24-repair-0041,v24-scene-d03,Vonn,v24-obligation-vonn-0012,none,0,0,0,0,1,1.0
42,3,v24-repair-0042,v24-scene-d03,Vonn,v24-obligation-vonn-0012,none,0,0,0,0,1,1.0
43,3,v24-repair-0043,v24-scene-d03,Vonn,v24-obligation-vonn-0012,none,0,0,0,0,1,1.0
44,3,v24-repair-0044,v24-scene-d03,Keth,v24-obligation-keth-0044,full,0,0,0,1,0,1.0
