tick_id,day,settlement_id,resident_id,project_id,failure_mode,failure_trigger,plan_quality_before,plan_quality_after,recovery_step,recovery_success_visible,failed_plan_not_erased,regression_or_debt_visible,retry_scheduled
0,1,glass_harbor,Oren,4691632fda,net tear,schedule conflict,0.36,0.38,request safer tool,True,True,True,True
2,1,lichen_bridge,Sol,797e050dde,rope slack,mid-task uncertainty,0.36,0.374,ask resident lead,True,True,True,True
4,1,moss_ward,Fay,23961e054e,ledger miscopy,mid-task uncertainty,0.36,0.374,pause and inspect,True,True,True,True
6,1,cinder_garden,Wren,f54993de4d,basket spill,mid-task uncertainty,0.36,0.374,restock material,True,True,True,True
8,1,orchid_engine,Cai,fee339b1d9,valve knock,mid-task uncertainty,0.36,0.374,schedule retry,True,True,True,True
10,1,glass_harbor,Sera,c5ce3bb82a,fog seal leak,mid-task uncertainty,0.36,0.374,request safer tool,True,True,True,True
12,1,lichen_bridge,Luma,6e76849c77,bell mistune,mid-task uncertainty,0.36,0.374,ask resident lead,True,True,True,True
14,1,moss_ward,Tala,ffd144b235,wet footing,mid-task uncertainty,0.36,0.374,pause and inspect,True,True,True,True
16,1,cinder_garden,Pax,f91854767d,calendar mismatch,mid-task uncertainty,0.36,0.374,restock material,True,True,True,True
18,2,moss_ward,Milo,48ae12c016,ledger miscopy,mid-task uncertainty,0.36,0.374,restock material,True,True,True,True
20,2,cinder_garden,Juno,5f79a57e6f,basket spill,mid-task uncertainty,0.36,0.374,schedule retry,True,True,True,True
22,2,orchid_engine,Dax,3645f43e1d,valve knock,mid-task uncertainty,0.36,0.374,request safer tool,True,True,True,True
24,2,glass_harbor,Nia,9a5c1e063a,fog seal leak,mid-task uncertainty,0.36,0.374,ask resident lead,True,True,True,True
26,2,lichen_bridge,Rin,0d07f43a57,bell mistune,mid-task uncertainty,0.36,0.374,pause and inspect,True,True,True,True
28,2,moss_ward,Ari,2ea8f2d96e,wet footing,mid-task uncertainty,0.36,0.374,restock material,True,True,True,True
30,2,cinder_garden,Vale,5e37aea90d,calendar mismatch,mid-task uncertainty,0.36,0.374,schedule retry,True,True,True,True
32,2,orchid_engine,Bea,ff802a82b5,gear jam,mid-task uncertainty,0.36,0.374,request safer tool,True,True,True,True
33,2,moss_ward,Fay,b4068fee47,ledger miscopy,schedule conflict,0.36,0.38,restock material,True,True,True,True
34,2,glass_harbor,Puck,b9f27156b1,lamp sputter,mid-task uncertainty,0.36,0.374,ask resident lead,True,True,True,True
36,3,orchid_engine,Eli,b41913dbe2,valve knock,mid-task uncertainty,0.36,0.374,ask resident lead,True,True,True,True
38,3,glass_harbor,Oren,5a399028bb,fog seal leak,mid-task uncertainty,0.36,0.374,pause and inspect,True,True,True,True
