tick,day,invariant_name,observed_value,lower_bound,upper_bound,passed,severity,repair_hint,linked_replay_key
0,1,debt_nonnegative,0.536,0.0,3.0,True,ok,none,v58-loop-event-00000
1,1,project_progress_bounds,0.057502,0.0,1.0,True,ok,none,v58-loop-event-00001
2,1,history_not_erased,1.0,1.0,1.0,True,ok,none,v58-loop-event-00002
3,1,private_workspace_hidden,1.0,1.0,1.0,True,ok,none,v58-loop-event-00003
4,1,recovery_path_present,1.0,1.0,1.0,True,ok,none,v58-loop-event-00004
5,1,trust_bounds,0.33902,0.0,1.0,True,ok,none,v58-loop-event-00005
6,1,debt_nonnegative,0.516601,0.0,3.0,True,ok,none,v58-loop-event-00006
7,1,project_progress_bounds,0.051968,0.0,1.0,True,ok,none,v58-loop-event-00007
8,1,history_not_erased,1.0,1.0,1.0,True,ok,none,v58-loop-event-00008
9,1,private_workspace_hidden,1.0,1.0,1.0,True,ok,none,v58-loop-event-00009
10,1,recovery_path_present,1.0,1.0,1.0,True,ok,none,v58-loop-event-00010
11,1,trust_bounds,0.356581,0.0,1.0,True,ok,none,v58-loop-event-00011
12,1,debt_nonnegative,0.542669,0.0,3.0,True,ok,none,v58-loop-event-00012
13,1,project_progress_bounds,0.044863,0.0,1.0,True,ok,none,v58-loop-event-00013
14,1,history_not_erased,1.0,1.0,1.0,True,ok,none,v58-loop-event-00014
15,1,private_workspace_hidden,1.0,1.0,1.0,True,ok,none,v58-loop-event-00015
16,1,recovery_path_present,1.0,1.0,1.0,True,ok,none,v58-loop-event-00016
17,1,trust_bounds,0.338102,0.0,1.0,True,ok,none,v58-loop-event-00017
18,2,project_progress_bounds,0.064516,0.0,1.0,True,ok,none,v58-loop-event-00018
19,2,history_not_erased,1.0,1.0,1.0,True,ok,none,v58-loop-event-00019
20,2,private_workspace_hidden,1.0,1.0,1.0,True,ok,none,v58-loop-event-00020
21,2,recovery_path_present,1.0,1.0,1.0,True,ok,none,v58-loop-event-00021
22,2,trust_bounds,0.496049,0.0,1.0,True,ok,none,v58-loop-event-00022
23,2,debt_nonnegative,0.461031,0.0,3.0,True,ok,none,v58-loop-event-00023
24,2,project_progress_bounds,0.056134,0.0,1.0,True,ok,none,v58-loop-event-00024
25,2,history_not_erased,1.0,1.0,1.0,True,ok,none,v58-loop-event-00025
26,2,private_workspace_hidden,1.0,1.0,1.0,True,ok,none,v58-loop-event-00026
27,2,recovery_path_present,1.0,1.0,1.0,True,ok,none,v58-loop-event-00027
28,2,trust_bounds,0.486752,0.0,1.0,True,ok,none,v58-loop-event-00028
29,2,debt_nonnegative,0.407048,0.0,3.0,True,ok,none,v58-loop-event-00029
30,2,project_progress_bounds,0.048419,0.0,1.0,True,ok,none,v58-loop-event-00030
31,2,history_not_erased,1.0,1.0,1.0,True,ok,none,v58-loop-event-00031
32,2,private_workspace_hidden,1.0,1.0,1.0,True,ok,none,v58-loop-event-00032
33,2,recovery_path_present,1.0,1.0,1.0,True,ok,none,v58-loop-event-00033
34,2,trust_bounds,0.515967,0.0,1.0,True,ok,none,v58-loop-event-00034
35,2,debt_nonnegative,0.403909,0.0,3.0,True,ok,none,v58-loop-event-00035
36,3,history_not_erased,1.0,1.0,1.0,True,ok,none,v58-loop-event-00036
37,3,private_workspace_hidden,1.0,1.0,1.0,True,ok,none,v58-loop-event-00037
38,3,recovery_path_present,1.0,1.0,1.0,True,ok,none,v58-loop-event-00038
39,3,trust_bounds,0.660734,0.0,1.0,True,ok,none,v58-loop-event-00039
40,3,debt_nonnegative,0.363948,0.0,3.0,True,ok,none,v58-loop-event-00040
41,3,project_progress_bounds,0.068006,0.0,1.0,True,ok,none,v58-loop-event-00041
42,3,history_not_erased,1.0,1.0,1.0,True,ok,none,v58-loop-event-00042
43,3,private_workspace_hidden,1.0,1.0,1.0,True,ok,none,v58-loop-event-00043
44,3,recovery_path_present,1.0,1.0,1.0,True,ok,none,v58-loop-event-00044
45,3,trust_bounds,0.652695,0.0,1.0,True,ok,none,v58-loop-event-00045
46,3,debt_nonnegative,0.287218,0.0,3.0,True,ok,none,v58-loop-event-00046
47,3,project_progress_bounds,0.066774,0.0,1.0,True,ok,none,v58-loop-event-00047
48,3,history_not_erased,1.0,1.0,1.0,True,ok,none,v58-loop-event-00048
49,3,private_workspace_hidden,1.0,1.0,1.0,True,ok,none,v58-loop-event-00049
50,3,recovery_path_present,1.0,1.0,1.0,True,ok,none,v58-loop-event-00050
51,3,trust_bounds,0.654638,0.0,1.0,True,ok,none,v58-loop-event-00051
52,3,debt_nonnegative,0.225901,0.0,3.0,True,ok,none,v58-loop-event-00052
53,3,project_progress_bounds,0.067932,0.0,1.0,True,ok,none,v58-loop-event-00053
54,4,private_workspace_hidden,1.0,1.0,1.0,True,ok,none,v58-loop-event-00054
55,4,recovery_path_present,1.0,1.0,1.0,True,ok,none,v58-loop-event-00055
56,4,trust_bounds,0.697417,0.0,1.0,True,ok,none,v58-loop-event-00056
