seed,pulse_id,actor,event,actor_entropy,event_entropy,intensity_entropy,intensity,resources_before,resources_after,resource_delta,need_before,need_after,schedule_coupling
36217,36217-SP-01,Milo,neighbor_help,197,124,105,0.912,"{""care"": 2, ""fiber"": 5, ""water"": 6, ""wood"": 6}","{""care"": 3, ""fiber"": 5, ""water"": 6, ""wood"": 6}","{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Milo made 36217-AIS-03 easier to attempt after neighbor_help
36217,36217-SP-02,Sera,neighbor_help,53,126,254,1.496,"{""care"": 3, ""fiber"": 5, ""water"": 6, ""wood"": 6}","{""care"": 4, ""fiber"": 5, ""water"": 6, ""wood"": 6}","{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",explore,explore,Sera made 36217-AIS-01 easier to attempt after neighbor_help
36217,36217-SP-03,Milo,neighbor_help,97,123,192,1.253,"{""care"": 4, ""fiber"": 5, ""water"": 6, ""wood"": 6}","{""care"": 5, ""fiber"": 5, ""water"": 6, ""wood"": 6}","{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Milo made 36217-AIS-01 easier to attempt after neighbor_help
36217,36217-SP-04,Tovan,neighbor_help,54,131,27,0.606,"{""care"": 5, ""fiber"": 5, ""water"": 6, ""wood"": 6}","{""care"": 6, ""fiber"": 5, ""water"": 6, ""wood"": 6}","{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Tovan made 36217-AIS-05 easier to attempt after neighbor_help
36217,36217-SP-05,Ari,found_material,240,219,11,0.543,"{""care"": 6, ""fiber"": 5, ""water"": 6, ""wood"": 6}","{""care"": 6, ""fiber"": 6, ""water"": 6, ""wood"": 7}","{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",finish-work,finish-work,Ari made 36217-AIS-01 easier to attempt after found_material
36217,36217-SP-06,Ari,roof_leak,105,42,62,0.743,"{""care"": 6, ""fiber"": 6, ""water"": 6, ""wood"": 7}","{""care"": 6, ""fiber"": 6, ""water"": 5, ""wood"": 6}","{""care"": 0, ""fiber"": 0, ""water"": -1, ""wood"": -1}",finish-work,finish-work,Ari stochastically delayed 36217-AIS-01 while repair awning competed with roof_leak
36217,36217-SP-07,Fay,argument_echo,236,165,29,0.614,"{""care"": 6, ""fiber"": 6, ""water"": 5, ""wood"": 6}","{""care"": 6, ""fiber"": 6, ""water"": 5, ""wood"": 6}","{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Fay stochastically disputed 36217-AIS-02 while sort herbs competed with argument_echo
36217,36217-SP-08,Milo,neighbor_help,157,119,23,0.59,"{""care"": 6, ""fiber"": 6, ""water"": 5, ""wood"": 6}","{""care"": 7, ""fiber"": 6, ""water"": 5, ""wood"": 6}","{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Milo made 36217-AIS-03 easier to attempt after neighbor_help
36231,36231-SP-01,Tovan,quiet_recovery,214,239,16,0.563,"{""care"": 2, ""fiber"": 5, ""water"": 5, ""wood"": 8}","{""care"": 2, ""fiber"": 5, ""water"": 5, ""wood"": 8}","{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",explore,explore,
36231,36231-SP-02,Fay,found_material,176,221,49,0.692,"{""care"": 2, ""fiber"": 5, ""water"": 5, ""wood"": 8}","{""care"": 2, ""fiber"": 6, ""water"": 5, ""wood"": 9}","{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",finish-work,finish-work,Fay made 36231-AIS-02 easier to attempt after found_material
36231,36231-SP-03,Milo,neighbor_help,152,131,134,1.025,"{""care"": 2, ""fiber"": 6, ""water"": 5, ""wood"": 9}","{""care"": 3, ""fiber"": 6, ""water"": 5, ""wood"": 9}","{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Milo made 36231-AIS-03 easier to attempt after neighbor_help
36231,36231-SP-04,Milo,tool_snag,32,80,124,0.986,"{""care"": 3, ""fiber"": 6, ""water"": 5, ""wood"": 9}","{""care"": 3, ""fiber"": 5, ""water"": 5, ""wood"": 9}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Milo stochastically delayed 36231-AIS-03 while carry water competed with tool_snag
36231,36231-SP-05,Ari,tool_snag,110,79,80,0.814,"{""care"": 3, ""fiber"": 5, ""water"": 5, ""wood"": 9}","{""care"": 3, ""fiber"": 4, ""water"": 5, ""wood"": 9}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Ari stochastically delayed 36231-AIS-01 while repair awning competed with tool_snag
36231,36231-SP-06,Tovan,tool_snag,39,90,133,1.022,"{""care"": 3, ""fiber"": 4, ""water"": 5, ""wood"": 9}","{""care"": 3, ""fiber"": 3, ""water"": 5, ""wood"": 9}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Tovan stochastically delayed 36231-AIS-02 while sort herbs competed with tool_snag
36231,36231-SP-07,Sera,tool_snag,58,55,205,1.304,"{""care"": 3, ""fiber"": 3, ""water"": 5, ""wood"": 9}","{""care"": 3, ""fiber"": 1, ""water"": 5, ""wood"": 9}","{""care"": 0, ""fiber"": -2, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Sera stochastically delayed 36231-AIS-04 while dry cloaks competed with tool_snag
36231,36231-SP-08,Fay,tool_snag,156,37,60,0.735,"{""care"": 3, ""fiber"": 1, ""water"": 5, ""wood"": 9}","{""care"": 3, ""fiber"": 0, ""water"": 5, ""wood"": 9}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,
36247,36247-SP-01,Milo,argument_echo,87,173,254,1.496,"{""care"": 2, ""fiber"": 5, ""water"": 6, ""wood"": 8}","{""care"": 2, ""fiber"": 5, ""water"": 6, ""wood"": 8}","{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",explore,finish-work,Milo stochastically disputed 36247-AIS-03 while carry water competed with argument_echo
36247,36247-SP-02,Fay,neighbor_help,6,153,157,1.116,"{""care"": 2, ""fiber"": 5, ""water"": 6, ""wood"": 8}","{""care"": 3, ""fiber"": 5, ""water"": 6, ""wood"": 8}","{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Fay made 36247-AIS-01 easier to attempt after neighbor_help
36247,36247-SP-03,Fay,tool_snag,101,47,8,0.531,"{""care"": 3, ""fiber"": 5, ""water"": 6, ""wood"": 8}","{""care"": 3, ""fiber"": 4, ""water"": 6, ""wood"": 8}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Fay stochastically delayed 36247-AIS-02 while sort herbs competed with tool_snag
36247,36247-SP-04,Ari,roof_leak,195,19,167,1.155,"{""care"": 3, ""fiber"": 4, ""water"": 6, ""wood"": 8}","{""care"": 3, ""fiber"": 4, ""water"": 4, ""wood"": 6}","{""care"": 0, ""fiber"": 0, ""water"": -2, ""wood"": -2}",finish-work,finish-work,Ari stochastically delayed 36247-AIS-01 while repair awning competed with roof_leak
36247,36247-SP-05,Fay,roof_leak,81,13,220,1.363,"{""care"": 3, ""fiber"": 4, ""water"": 4, ""wood"": 6}","{""care"": 3, ""fiber"": 4, ""water"": 2, ""wood"": 4}","{""care"": 0, ""fiber"": 0, ""water"": -2, ""wood"": -2}",finish-work,finish-work,
36247,36247-SP-06,Ari,tool_snag,225,76,110,0.931,"{""care"": 3, ""fiber"": 4, ""water"": 2, ""wood"": 4}","{""care"": 3, ""fiber"": 3, ""water"": 2, ""wood"": 4}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,
36247,36247-SP-07,Tovan,argument_echo,174,182,221,1.367,"{""care"": 3, ""fiber"": 3, ""water"": 2, ""wood"": 4}","{""care"": 3, ""fiber"": 3, ""water"": 2, ""wood"": 4}","{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Tovan stochastically disputed 36247-AIS-05 while map safe route competed with argument_echo
36247,36247-SP-08,Tovan,neighbor_help,19,97,172,1.175,"{""care"": 3, ""fiber"": 3, ""water"": 2, ""wood"": 4}","{""care"": 4, ""fiber"": 3, ""water"": 2, ""wood"": 4}","{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,
36263,36263-SP-01,Fay,roof_leak,116,39,62,0.743,"{""care"": 2, ""fiber"": 5, ""water"": 7, ""wood"": 8}","{""care"": 2, ""fiber"": 5, ""water"": 6, ""wood"": 7}","{""care"": 0, ""fiber"": 0, ""water"": -1, ""wood"": -1}",finish-work,finish-work,Fay stochastically delayed 36263-AIS-01 while repair awning competed with roof_leak
36263,36263-SP-02,Milo,quiet_recovery,32,232,88,0.845,"{""care"": 2, ""fiber"": 5, ""water"": 6, ""wood"": 7}","{""care"": 2, ""fiber"": 5, ""water"": 6, ""wood"": 7}","{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,
36263,36263-SP-03,Fay,tool_snag,201,76,65,0.755,"{""care"": 2, ""fiber"": 5, ""water"": 6, ""wood"": 7}","{""care"": 2, ""fiber"": 4, ""water"": 6, ""wood"": 7}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Fay stochastically delayed 36263-AIS-02 while sort herbs competed with tool_snag
