tick,day,resident,schedule_before,schedule_after,changed_by_avatar,changed_offscreen,diff_summary,agency_flag,visible_after_return
0,1,Nia,rest,negotiate debt,False,False,rest -> negotiate debt by talk,agency preserved,True
1,1,Ari,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by offer_help,agency preserved,True
2,1,Fay,seek tool,private task,True,False,seek tool -> private task by borrow_tool,agency preserved,True
3,1,Milo,care duty,private task,True,False,care duty -> private task by return_tool,agency preserved,True
4,1,Sera,private task,work,True,False,private task -> work by interrupt_work,resident boundary respected,True
5,1,Tovan,recover focus,work,False,True,recover focus -> work by wait_offscreen,agency preserved,True
6,1,Nia,work,rest,True,False,work -> rest by repair_trust,agency preserved,True
7,1,Ari,rest,negotiate debt,False,False,rest -> negotiate debt by move,agency preserved,True
8,1,Fay,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by talk,agency preserved,True
9,1,Milo,seek tool,care duty,True,False,seek tool -> care duty by offer_help,agency preserved,True
10,1,Sera,care duty,recover focus,True,False,care duty -> recover focus by borrow_tool,agency preserved,True
11,1,Tovan,private task,recover focus,True,False,private task -> recover focus by return_tool,agency preserved,True
12,1,Nia,recover focus,rest,True,False,recover focus -> rest by interrupt_work,resident boundary respected,True
13,1,Ari,work,rest,False,True,work -> rest by wait_offscreen,agency preserved,True
14,1,Fay,rest,negotiate debt,True,False,rest -> negotiate debt by repair_trust,agency preserved,True
15,1,Milo,negotiate debt,seek tool,False,False,negotiate debt -> seek tool by move,agency preserved,True
16,1,Sera,seek tool,care duty,False,False,seek tool -> care duty by talk,agency preserved,True
17,1,Tovan,care duty,private task,True,False,care duty -> private task by offer_help,agency preserved,True
18,2,Nia,recover focus,work,True,False,recover focus -> work by return_tool,agency preserved,True
19,2,Ari,work,negotiate debt,True,False,work -> negotiate debt by interrupt_work,agency preserved,True
20,2,Fay,rest,negotiate debt,False,True,rest -> negotiate debt by wait_offscreen,agency preserved,True
21,2,Milo,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by repair_trust,agency preserved,True
22,2,Sera,seek tool,care duty,False,False,seek tool -> care duty by move,agency preserved,True
23,2,Tovan,care duty,private task,False,False,care duty -> private task by talk,agency preserved,True
24,2,Nia,private task,recover focus,True,False,private task -> recover focus by offer_help,agency preserved,True
25,2,Ari,recover focus,rest,True,False,recover focus -> rest by borrow_tool,agency preserved,True
26,2,Fay,work,rest,True,False,work -> rest by return_tool,agency preserved,True
27,2,Milo,rest,seek tool,True,False,rest -> seek tool by interrupt_work,agency preserved,True
28,2,Sera,negotiate debt,seek tool,False,True,negotiate debt -> seek tool by wait_offscreen,agency preserved,True
29,2,Tovan,seek tool,care duty,True,False,seek tool -> care duty by repair_trust,agency preserved,True
30,2,Nia,care duty,private task,False,False,care duty -> private task by move,agency preserved,True
31,2,Ari,private task,recover focus,False,False,private task -> recover focus by talk,agency preserved,True
32,2,Fay,recover focus,work,True,False,recover focus -> work by offer_help,agency preserved,True
33,2,Milo,work,negotiate debt,True,False,work -> negotiate debt by borrow_tool,agency preserved,True
34,2,Sera,rest,negotiate debt,True,False,rest -> negotiate debt by return_tool,agency preserved,True
35,2,Tovan,negotiate debt,care duty,True,False,negotiate debt -> care duty by interrupt_work,agency preserved,True
36,3,Nia,care duty,private task,True,False,care duty -> private task by repair_trust,agency preserved,True
37,3,Ari,private task,recover focus,False,False,private task -> recover focus by move,agency preserved,True
38,3,Fay,recover focus,work,False,False,recover focus -> work by talk,agency preserved,True
39,3,Milo,work,rest,True,False,work -> rest by offer_help,agency preserved,True
40,3,Sera,rest,seek tool,True,False,rest -> seek tool by borrow_tool,resident boundary respected,True
41,3,Tovan,negotiate debt,seek tool,True,False,negotiate debt -> seek tool by return_tool,agency preserved,True
42,3,Nia,seek tool,private task,True,False,seek tool -> private task by interrupt_work,agency preserved,True
43,3,Ari,care duty,private task,False,True,care duty -> private task by wait_offscreen,agency preserved,True
44,3,Fay,private task,recover focus,True,False,private task -> recover focus by repair_trust,agency preserved,True
45,3,Milo,recover focus,work,False,False,recover focus -> work by move,agency preserved,True
46,3,Sera,work,rest,False,False,work -> rest by talk,agency preserved,True
47,3,Tovan,rest,negotiate debt,True,False,rest -> negotiate debt by offer_help,agency preserved,True
48,3,Nia,negotiate debt,care duty,True,False,negotiate debt -> care duty by borrow_tool,resident boundary respected,True
49,3,Ari,seek tool,care duty,True,False,seek tool -> care duty by return_tool,agency preserved,True
50,3,Fay,care duty,recover focus,True,False,care duty -> recover focus by interrupt_work,agency preserved,True
51,3,Milo,private task,recover focus,False,True,private task -> recover focus by wait_offscreen,agency preserved,True
52,3,Sera,recover focus,work,True,False,recover focus -> work by repair_trust,agency preserved,True
53,3,Tovan,work,rest,False,False,work -> rest by move,agency preserved,True
54,4,Nia,negotiate debt,seek tool,True,True,negotiate debt -> seek tool by offer_help,agency preserved,True
