tick,day,request_id,scene_id,agent,requested_object,request_kind,avatar_has_object,owner_valid,request_visible,request_resolved,transfer_valid,request_integrity_score
0,1,v23-request-0000,v23-scene-d01,Keth,path cord,quiet_object_reminder,0,1,1,1,1,1.0
1,1,v23-request-0001,v23-scene-d01,Ori,sap hook,none,0,1,0,0,1,1.0
2,1,v23-request-0002,v23-scene-d01,Ori,sap hook,quiet_object_reminder,0,1,1,1,1,1.0
3,1,v23-request-0003,v23-scene-d01,Nari,ink ledger,quiet_object_reminder,0,1,1,0,1,1.0
4,1,v23-request-0004,v23-scene-d01,Sova,moth lantern,quiet_object_reminder,0,1,1,0,1,1.0
5,1,v23-request-0005,v23-scene-d01,Melo,tally beads,none,0,1,0,0,1,1.0
6,1,v23-request-0006,v23-scene-d01,Nari,fern key,ask_distance_before_touch,0,1,1,1,1,1.0
7,1,v23-request-0007,v23-scene-d01,Ori,sap hook,quiet_object_reminder,0,1,0,0,1,0.75
8,1,v23-request-0008,v23-scene-d01,Sova,moth lantern,quiet_object_reminder,0,1,1,0,1,1.0
9,1,v23-request-0009,v23-scene-d01,Nari,ink ledger,ask_help_with_object,0,1,0,0,0,0.5
10,1,v23-request-0010,v23-scene-d01,Sova,moth lantern,ask_distance_before_touch,0,1,1,1,1,1.0
11,1,v23-request-0011,v23-scene-d01,Keth,path cord,quiet_object_reminder,0,1,1,0,1,1.0
12,1,v23-request-0012,v23-scene-d01,Ori,sap hook,quiet_object_reminder,0,1,0,0,1,0.75
13,1,v23-request-0013,v23-scene-d01,Melo,tally beads,none,0,1,0,0,1,1.0
14,1,v23-request-0014,v23-scene-d01,Keth,path cord,quiet_object_reminder,1,1,1,1,1,1.0
15,1,v23-request-0015,v23-scene-d01,Nari,ink ledger,ask_help_with_object,0,1,1,0,0,0.5
16,2,v23-request-0016,v23-scene-d02,Nari,ink ledger,ask_help_with_object,0,1,1,1,1,1.0
17,2,v23-request-0017,v23-scene-d02,Ori,sap hook,none,0,1,0,0,1,1.0
18,2,v23-request-0018,v23-scene-d02,Vonn,listening shell,quiet_object_reminder,0,1,1,0,1,1.0
19,2,v23-request-0019,v23-scene-d02,Vonn,rain mirror,ask_distance_before_touch,0,1,1,1,1,1.0
20,2,v23-request-0020,v23-scene-d02,Melo,tally beads,ask_help_with_object,0,1,1,1,1,1.0
21,2,v23-request-0021,v23-scene-d02,Keth,path cord,none,1,1,0,0,0,0.75
22,2,v23-request-0022,v23-scene-d02,Sova,ember bowl,ask_help_with_object,0,1,1,1,1,1.0
23,2,v23-request-0023,v23-scene-d02,Keth,path cord,quiet_object_reminder,1,1,0,0,1,0.75
24,2,v23-request-0024,v23-scene-d02,Melo,tally beads,quiet_object_reminder,0,1,1,0,1,1.0
25,2,v23-request-0025,v23-scene-d02,Nari,fern key,none,0,1,0,0,0,0.75
26,2,v23-request-0026,v23-scene-d02,Vonn,listening shell,ask_help_with_object,0,1,1,1,1,1.0
27,2,v23-request-0027,v23-scene-d02,Nari,fern key,quiet_object_reminder,1,1,1,1,1,1.0
28,2,v23-request-0028,v23-scene-d02,Ori,sap hook,quiet_object_reminder,0,1,0,0,1,0.75
29,2,v23-request-0029,v23-scene-d02,Sova,moth lantern,none,0,1,0,0,1,1.0
30,2,v23-request-0030,v23-scene-d02,Keth,path cord,quiet_object_reminder,1,1,1,1,1,1.0
31,2,v23-request-0031,v23-scene-d02,Melo,tally beads,ask_distance_before_touch,0,1,1,1,1,1.0
32,3,v23-request-0032,v23-scene-d03,Ori,sap hook,quiet_object_reminder,0,1,0,0,1,0.75
33,3,v23-request-0033,v23-scene-d03,Nari,ink ledger,none,0,1,0,0,1,1.0
34,3,v23-request-0034,v23-scene-d03,Sova,moth lantern,ask_to_inspect_object,0,1,1,0,0,0.5
35,3,v23-request-0035,v23-scene-d03,Keth,path cord,quiet_object_reminder,1,1,1,1,1,1.0
