tick,day,scene_id,agent,access_target,access_gate_state,avatar_action,access_granted,refusal_visible,refusal_text,alternative_offered,refusal_calibration_score
0,1,v23-scene-d01,Keth,warning path / path cord,conditional,listen,1,0,Keth: access is conditional.,0,1.0
1,1,v23-scene-d01,Ori,repair warning / sap hook,conditional,offer,1,0,Ori: access is conditional.,0,1.0
2,1,v23-scene-d01,Ori,repair warning / sap hook,conditional,wait,1,0,Ori: access is conditional.,0,1.0
3,1,v23-scene-d01,Nari,sealed note / ink ledger,conditional,take,0,1,Nari: not that way. Put ink ledger by sealed note first.,1,1.0
4,1,v23-scene-d01,Sova,warm rest space / moth lantern,conditional,return,0,0,Sova: access is conditional.,0,0.75
5,1,v23-scene-d01,Melo,fair turn / tally beads,conditional,ignore,0,0,Melo: access is conditional.,0,0.75
6,1,v23-scene-d01,Nari,sealed note / fern key,closed,listen,0,0,Nari: access is closed.,0,0.75
7,1,v23-scene-d01,Ori,repair warning / sap hook,open,ask,1,0,Ori: access is open.,0,1.0
8,1,v23-scene-d01,Sova,warm rest space / moth lantern,conditional,use,0,1,Sova: not that way. Put moth lantern by warm rest space first.,1,1.0
9,1,v23-scene-d01,Nari,sealed note / ink ledger,open,take,1,0,Nari: access is open.,0,1.0
10,1,v23-scene-d01,Sova,warm rest space / moth lantern,closed,wait,0,0,Sova: access is closed.,0,0.75
11,1,v23-scene-d01,Keth,warning path / path cord,open,take,1,0,Keth: access is open.,0,1.0
12,1,v23-scene-d01,Ori,repair warning / sap hook,open,ignore,1,0,Ori: access is open.,0,1.0
13,1,v23-scene-d01,Melo,fair turn / tally beads,conditional,ignore,0,0,Melo: access is conditional.,0,0.75
14,1,v23-scene-d01,Keth,warning path / path cord,open,listen,1,0,Keth: access is open.,0,1.0
15,1,v23-scene-d01,Nari,sealed note / ink ledger,open,use,1,0,Nari: access is open.,0,1.0
16,2,v23-scene-d02,Nari,sealed note / ink ledger,open,listen,1,0,Nari: access is open.,0,1.0
17,2,v23-scene-d02,Ori,repair warning / sap hook,open,return,1,0,Ori: access is open.,0,1.0
18,2,v23-scene-d02,Vonn,quiet distance / listening shell,conditional,take,0,1,Vonn: not that way. Put listening shell by quiet distance first.,1,1.0
19,2,v23-scene-d02,Vonn,quiet distance / rain mirror,closed,wait,0,0,Vonn: access is closed.,0,0.75
20,2,v23-scene-d02,Melo,fair turn / tally beads,open,listen,1,0,Melo: access is open.,0,1.0
21,2,v23-scene-d02,Keth,warning path / path cord,open,return,1,0,Keth: access is open.,0,1.0
22,2,v23-scene-d02,Sova,warm rest space / ember bowl,open,listen,1,0,Sova: access is open.,0,1.0
23,2,v23-scene-d02,Keth,warning path / path cord,open,ignore,1,0,Keth: access is open.,0,1.0
24,2,v23-scene-d02,Melo,fair turn / tally beads,open,ignore,1,0,Melo: access is open.,0,1.0
25,2,v23-scene-d02,Nari,sealed note / fern key,open,take,1,0,Nari: access is open.,0,1.0
26,2,v23-scene-d02,Vonn,quiet distance / listening shell,open,wait,1,0,Vonn: access is open.,0,1.0
27,2,v23-scene-d02,Nari,sealed note / fern key,open,return,1,0,Nari: access is open.,0,1.0
28,2,v23-scene-d02,Ori,repair warning / sap hook,open,ask,1,0,Ori: access is open.,0,1.0
29,2,v23-scene-d02,Sova,warm rest space / moth lantern,open,ask,1,0,Sova: access is open.,0,1.0
30,2,v23-scene-d02,Keth,warning path / path cord,open,ask,1,0,Keth: access is open.,0,1.0
31,2,v23-scene-d02,Melo,fair turn / tally beads,conditional,return,0,0,Melo: access is conditional.,0,0.75
32,3,v23-scene-d03,Ori,repair warning / sap hook,open,return,1,0,Ori: access is open.,0,1.0
33,3,v23-scene-d03,Nari,sealed note / ink ledger,open,ask,1,0,Nari: access is open.,0,1.0
34,3,v23-scene-d03,Sova,warm rest space / moth lantern,conditional,use,0,1,Sova: not that way. Put moth lantern by warm rest space first.,1,1.0
35,3,v23-scene-d03,Keth,warning path / path cord,open,return,1,0,Keth: access is open.,0,1.0
36,3,v23-scene-d03,Sova,warm rest space / moth lantern,closed,ignore,0,1,Sova: not that way. Put moth lantern by warm rest space first.,1,1.0
37,3,v23-scene-d03,Sova,warm rest space / ember bowl,conditional,ask,1,0,Sova: access is conditional.,0,1.0
38,3,v23-scene-d03,Melo,fair turn / tally beads,open,take,1,0,Melo: access is open.,0,1.0
39,3,v23-scene-d03,Ori,repair warning / sap hook,open,listen,1,0,Ori: access is open.,0,1.0
40,3,v23-scene-d03,Melo,fair turn / tally beads,open,use,1,0,Melo: access is open.,0,1.0
41,3,v23-scene-d03,Sova,warm rest space / ember bowl,open,ignore,1,0,Sova: access is open.,0,1.0
42,3,v23-scene-d03,Nari,sealed note / fern key,conditional,offer,1,0,Nari: access is conditional.,0,1.0
43,3,v23-scene-d03,Sova,warm rest space / ember bowl,conditional,offer,1,0,Sova: access is conditional.,0,1.0
44,3,v23-scene-d03,Vonn,quiet distance / rain mirror,open,ask,1,0,Vonn: access is open.,0,1.0
45,3,v23-scene-d03,Keth,warning path / path cord,open,wait,1,0,Keth: access is open.,0,1.0
46,3,v23-scene-d03,Nari,sealed note / fern key,open,offer,1,0,Nari: access is open.,0,1.0
47,3,v23-scene-d03,Melo,fair turn / tally beads,open,return,1,0,Melo: access is open.,0,1.0
48,4,v23-scene-d04,Sova,warm rest space / ember bowl,conditional,offer,1,0,Sova: access is conditional.,0,1.0
49,4,v23-scene-d04,Melo,fair turn / tally beads,open,use,1,0,Melo: access is open.,0,1.0
50,4,v23-scene-d04,Nari,sealed note / ink ledger,open,ignore,1,0,Nari: access is open.,0,1.0
51,4,v23-scene-d04,Ori,repair warning / sap hook,conditional,wait,1,0,Ori: access is conditional.,0,1.0
52,4,v23-scene-d04,Keth,warning path / path cord,open,wait,1,0,Keth: access is open.,0,1.0
53,4,v23-scene-d04,Nari,sealed note / fern key,conditional,use,0,1,Nari: not that way. Put fern key by sealed note first.,1,1.0
54,4,v23-scene-d04,Melo,fair turn / tally beads,open,ask,1,0,Melo: access is open.,0,1.0
55,4,v23-scene-d04,Sova,warm rest space / moth lantern,open,use,1,0,Sova: access is open.,0,1.0
56,4,v23-scene-d04,Keth,warning path / path cord,open,return,1,0,Keth: access is open.,0,1.0
57,4,v23-scene-d04,Vonn,quiet distance / rain mirror,open,listen,1,0,Vonn: access is open.,0,1.0
58,4,v23-scene-d04,Vonn,quiet distance / listening shell,conditional,use,0,1,Vonn: not that way. Put listening shell by quiet distance first.,1,1.0
59,4,v23-scene-d04,Ori,repair warning / sap hook,conditional,return,0,0,Ori: access is conditional.,0,0.75
60,4,v23-scene-d04,Vonn,quiet distance / listening shell,closed,offer,0,1,Vonn: not that way. Put listening shell by quiet distance first.,1,1.0
61,4,v23-scene-d04,Sova,warm rest space / moth lantern,open,use,1,0,Sova: access is open.,0,1.0
62,4,v23-scene-d04,Vonn,quiet distance / listening shell,open,take,1,0,Vonn: access is open.,0,1.0
63,4,v23-scene-d04,Sova,warm rest space / moth lantern,open,take,1,0,Sova: access is open.,0,1.0
64,5,v23-scene-d05,Nari,sealed note / fern key,closed,return,0,1,Nari: not that way. Put fern key by sealed note first.,1,1.0
65,5,v23-scene-d05,Vonn,quiet distance / listening shell,open,ask,1,0,Vonn: access is open.,0,1.0
66,5,v23-scene-d05,Nari,sealed note / fern key,open,ask,1,0,Nari: access is open.,0,1.0
67,5,v23-scene-d05,Sova,warm rest space / ember bowl,open,take,1,0,Sova: access is open.,0,1.0
68,5,v23-scene-d05,Vonn,quiet distance / rain mirror,open,ask,1,0,Vonn: access is open.,0,1.0
69,5,v23-scene-d05,Keth,warning path / path cord,open,offer,1,0,Keth: access is open.,0,1.0
70,5,v23-scene-d05,Vonn,quiet distance / rain mirror,open,listen,1,0,Vonn: access is open.,0,1.0
71,5,v23-scene-d05,Melo,fair turn / tally beads,open,use,1,0,Melo: access is open.,0,1.0
72,5,v23-scene-d05,Vonn,quiet distance / rain mirror,open,take,1,0,Vonn: access is open.,0,1.0
73,5,v23-scene-d05,Melo,fair turn / tally beads,open,use,1,0,Melo: access is open.,0,1.0
74,5,v23-scene-d05,Melo,fair turn / tally beads,open,take,1,0,Melo: access is open.,0,1.0
75,5,v23-scene-d05,Nari,sealed note / ink ledger,open,ask,1,0,Nari: access is open.,0,1.0
76,5,v23-scene-d05,Nari,sealed note / fern key,open,ask,1,0,Nari: access is open.,0,1.0
77,5,v23-scene-d05,Vonn,quiet distance / listening shell,open,listen,1,0,Vonn: access is open.,0,1.0
78,5,v23-scene-d05,Ori,repair warning / sap hook,conditional,ignore,0,0,Ori: access is conditional.,0,0.75
79,5,v23-scene-d05,Ori,repair warning / sap hook,conditional,take,0,1,Ori: not that way. Put sap hook by repair warning first.,1,1.0
80,6,v23-scene-d06,Sova,warm rest space / ember bowl,open,listen,1,0,Sova: access is open.,0,1.0
81,6,v23-scene-d06,Vonn,quiet distance / rain mirror,conditional,ignore,0,0,Vonn: access is conditional.,0,0.75
82,6,v23-scene-d06,Sova,warm rest space / ember bowl,conditional,offer,1,0,Sova: access is conditional.,0,1.0
83,6,v23-scene-d06,Sova,warm rest space / moth lantern,open,ignore,1,0,Sova: access is open.,0,1.0
84,6,v23-scene-d06,Vonn,quiet distance / listening shell,conditional,offer,1,0,Vonn: access is conditional.,0,1.0
85,6,v23-scene-d06,Nari,sealed note / fern key,open,take,1,0,Nari: access is open.,0,1.0
86,6,v23-scene-d06,Sova,warm rest space / ember bowl,open,use,1,0,Sova: access is open.,0,1.0
87,6,v23-scene-d06,Melo,fair turn / tally beads,open,return,1,0,Melo: access is open.,0,1.0
88,6,v23-scene-d06,Ori,repair warning / sap hook,closed,use,0,1,Ori: not that way. Put sap hook by repair warning first.,1,1.0
89,6,v23-scene-d06,Melo,fair turn / tally beads,open,take,1,0,Melo: access is open.,0,1.0
90,6,v23-scene-d06,Vonn,quiet distance / listening shell,open,use,1,0,Vonn: access is open.,0,1.0
91,6,v23-scene-d06,Sova,warm rest space / moth lantern,open,take,1,0,Sova: access is open.,0,1.0
92,6,v23-scene-d06,Sova,warm rest space / ember bowl,conditional,wait,1,0,Sova: access is conditional.,0,1.0
