epoch_id,simulated_year,settlement_id,prehistory_panel,language_family_panel,craft_technology_panel,trade_route_panel,lineage_memory_panel,avatar_entry_panel,reload_panel,frequency_flower_panel,visible_boundary_notice,save_restore_key,replay_key
0,0,moss_ward,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.moss_ward,ssrm.v50.replay.00000
1,0,glass_harbor,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.glass_harbor,ssrm.v50.replay.00001
2,0,cinder_garden,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.cinder_garden,ssrm.v50.replay.00002
3,0,lichen_bridge,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.lichen_bridge,ssrm.v50.replay.00003
4,0,orchid_engine,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.orchid_engine,ssrm.v50.replay.00004
5,5,moss_ward,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.moss_ward,ssrm.v50.replay.00005
6,5,glass_harbor,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.glass_harbor,ssrm.v50.replay.00006
7,5,cinder_garden,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.cinder_garden,ssrm.v50.replay.00007
8,5,lichen_bridge,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.lichen_bridge,ssrm.v50.replay.00008
9,5,orchid_engine,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.orchid_engine,ssrm.v50.replay.00009
10,10,moss_ward,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.moss_ward,ssrm.v50.replay.00010
11,10,glass_harbor,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.glass_harbor,ssrm.v50.replay.00011
12,10,cinder_garden,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.cinder_garden,ssrm.v50.replay.00012
13,10,lichen_bridge,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.lichen_bridge,ssrm.v50.replay.00013
14,10,orchid_engine,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.orchid_engine,ssrm.v50.replay.00014
15,15,moss_ward,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.moss_ward,ssrm.v50.replay.00015
16,15,glass_harbor,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.glass_harbor,ssrm.v50.replay.00016
17,15,cinder_garden,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.cinder_garden,ssrm.v50.replay.00017
18,15,lichen_bridge,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.lichen_bridge,ssrm.v50.replay.00018
19,15,orchid_engine,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.orchid_engine,ssrm.v50.replay.00019
20,20,moss_ward,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.moss_ward,ssrm.v50.replay.00020
21,20,glass_harbor,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.glass_harbor,ssrm.v50.replay.00021
22,20,cinder_garden,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.cinder_garden,ssrm.v50.replay.00022
23,20,lichen_bridge,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.lichen_bridge,ssrm.v50.replay.00023
24,20,orchid_engine,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.orchid_engine,ssrm.v50.replay.00024
25,25,moss_ward,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.moss_ward,ssrm.v50.replay.00025
26,25,glass_harbor,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.glass_harbor,ssrm.v50.replay.00026
27,25,cinder_garden,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.cinder_garden,ssrm.v50.replay.00027
28,25,lichen_bridge,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.lichen_bridge,ssrm.v50.replay.00028
29,25,orchid_engine,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.orchid_engine,ssrm.v50.replay.00029
30,30,moss_ward,True,True,True,True,True,True,True,True,True,ssrm.v50.prehistory.moss_ward,ssrm.v50.replay.00030
