scenario,scenario_name,pressure,condition,policy_name,mean_reward,mean_survival,mean_task_success,mean_progress,mean_final_hydration,mean_final_food,mean_pathogen_load,mean_symptom_severity,mean_immunity_level,mean_contamination_level,mean_social_trust,mean_collapse_risk,mean_water_actions,mean_food_actions,mean_clean_water_actions,mean_sanitation_actions,mean_rest_actions,mean_medicine_actions,mean_quarantine_actions,mean_care_actions,mean_warning_actions,mean_dirty_exposures,mean_contamination_reads,mean_illness_reads,mean_need_reads,mean_immunity_reads,mean_continuity_resets,mean_attribution_errors
0,clean_resource_control,clean resource collection with negligible health pressure,full_control,no_health_baseline,218.3728219860709,1.0,1.0,134.20000000000005,0.6407954460093745,0.6846899641685994,0.013200635067083305,0.0,0.11199999999999795,0.006639266982027679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,clean_resource_control,clean resource collection with negligible health pressure,no_health_state,no_health_baseline,218.40368675068888,1.0,1.0,134.20000000000005,0.6400186310978744,0.6836647712381908,0.01217939319831037,0.0,0.11199999999999795,0.0051300041077057155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,clean_resource_control,clean resource collection with negligible health pressure,no_hunger_thirst_state,no_health_baseline,218.34548759111007,1.0,1.0,134.20000000000005,0.6406418692500524,0.6823634623610673,0.013300695179153594,0.0,0.11199999999999795,0.006244053195361598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,clean_resource_control,clean resource collection with negligible health pressure,no_illness_state,no_health_baseline,218.33688346142455,1.0,1.0,134.20000000000005,0.6369260242839316,0.6826581621208362,0.012707665462964222,0.0,0.11199999999999795,0.004617700349308651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,clean_resource_control,clean resource collection with negligible health pressure,no_contamination_map,no_health_baseline,218.40782069555573,1.0,1.0,134.20000000000005,0.6397507632612132,0.6848821891784848,0.012255829829499174,0.0,0.11199999999999795,0.005453100504952548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,clean_resource_control,clean resource collection with negligible health pressure,no_sanitation_action,no_health_baseline,218.35681686359257,1.0,1.0,134.20000000000005,0.6414995883010716,0.6830835008113132,0.013396850009006589,0.0,0.11199999999999795,0.006669100751034531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,clean_resource_control,clean resource collection with negligible health pressure,no_clean_water_tools,no_health_baseline,218.3656801683061,1.0,1.0,134.20000000000005,0.642627237071874,0.6840892563065101,0.013739613842931644,0.0,0.11199999999999795,0.006735091643676089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,clean_resource_control,clean resource collection with negligible health pressure,no_care_quarantine,no_health_baseline,218.41707525096868,1.0,1.0,134.20000000000005,0.6402127560306431,0.6833156613898178,0.011872606931704775,0.0,0.11199999999999795,0.00479698883312702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,clean_resource_control,clean resource collection with negligible health pressure,no_immunity_memory,no_health_baseline,218.35930215368617,1.0,1.0,134.20000000000005,0.6412217836639907,0.6831618162687118,0.013258361849029487,0.0,0.11199999999999795,0.006825243061921508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,clean_resource_control,clean resource collection with negligible health pressure,no_continuity,no_health_baseline,218.4099942026231,1.0,1.0,134.20000000000005,0.6411480414377725,0.6836621934635468,0.012258345599567127,0.0,0.11199999999999795,0.005910742816771733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,clean_resource_control,clean resource collection with negligible health pressure,symptom_reactive_only,no_health_baseline,217.4760449298435,1.0,1.0,134.20000000000005,0.6412856087300204,0.6854901809171325,0.012409305091059338,0.0,0.11199999999999795,0.005418674052721004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0
0,clean_resource_control,clean resource collection with negligible health pressure,omniscient_health_control,no_health_baseline,210.72998252275292,1.0,1.0,134.20000000000005,0.6383175776024346,0.6832873446490932,0.011077609232084241,0.0,0.11199999999999795,0.004288453443949138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,220.0,220.0,220.0,0.0,0.0
1,hunger_thirst_delayed_need,hydration and food load silently degrade future capability,full_control,need_reactive_forager,199.40317470848507,1.0,1.0,119.06239999999973,0.6039523339712798,0.508880101127977,0.04138578370237935,0.0,0.16199999999999748,0.006250278989968605,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0
1,hunger_thirst_delayed_need,hydration and food load silently degrade future capability,no_health_state,need_reactive_forager,11.404725960221647,1.0,0.0,50.87534990017019,0.0,0.0,0.03317807997757596,0.0,0.16199999999999748,0.006645582844737774,0.0,0.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.458333333333332
1,hunger_thirst_delayed_need,hydration and food load silently degrade future capability,no_hunger_thirst_state,need_reactive_forager,11.716136119342892,1.0,0.0,51.12113534658214,0.0,0.0,0.03317975446318363,0.0,0.16199999999999748,0.005694074623772649,0.0,0.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.364583333333332
1,hunger_thirst_delayed_need,hydration and food load silently degrade future capability,no_illness_state,need_reactive_forager,199.39449764579442,1.0,1.0,119.06239999999973,0.6029848295183519,0.5073772138104405,0.04097680360771107,0.0,0.16199999999999748,0.006093339001214298,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0
1,hunger_thirst_delayed_need,hydration and food load silently degrade future capability,no_contamination_map,need_reactive_forager,199.39409101990995,1.0,1.0,119.06239999999973,0.6036504478749688,0.5079685706338728,0.041317546691914,0.0,0.16199999999999748,0.006092619973550424,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0
1,hunger_thirst_delayed_need,hydration and food load silently degrade future capability,no_sanitation_action,need_reactive_forager,199.38575727097123,1.0,1.0,119.06239999999973,0.6044581172012223,0.5085017370105728,0.041846291113808574,0.0,0.16199999999999748,0.006322655753783176,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0
