tick_id,day,owner,project_id,energy,fatigue_before,fatigue_delta,fatigue_after,movement_effort,comfort,pain,rest_action,recovery_visible
0,1,Ari,west_bridge_repair,0.87925,0.24,-0.055,0.185,0.2207,0.7565,0.06,routine rest,true
1,1,Fay,herb_roof_garden,0.84925,0.28,-0.055,0.225,0.2295,0.7413,0.06,routine rest,true
2,1,Milo,north_lantern_relay,0.8049,0.32,-0.014,0.306,0.24732,0.71052,0.06,ambient recovery,true
3,1,Nia,archive_weather_log,0.7749,0.36,-0.014,0.346,0.25612,0.69532,0.06,ambient recovery,true
4,1,Ari,west_bridge_repair,0.88415,0.185,-0.014,0.171,0.21762,0.76182,0.06,ambient recovery,true
5,1,Fay,herb_roof_garden,0.82494,0.225,0.0442,0.2692,0.599224,0.664504,0.06,none,false
6,1,Milo,north_lantern_relay,0.8098,0.306,-0.014,0.292,0.24424,0.71584,0.06,ambient recovery,true
7,1,Nia,archive_weather_log,0.74861,0.346,0.0478,0.3938,0.706636,0.617156,0.06,none,false
8,1,Ari,west_bridge_repair,0.88905,0.171,-0.014,0.157,0.21454,0.76714,0.06,ambient recovery,true
9,1,Fay,herb_roof_garden,0.79403,0.2692,0.0562,0.3254,0.691588,0.635448,0.095,none,false
10,1,Milo,north_lantern_relay,0.78549,0.292,0.0442,0.3362,0.613964,0.639044,0.06,none,false
11,1,Nia,archive_weather_log,0.75351,0.3938,-0.014,0.3798,0.263556,0.682476,0.06,ambient recovery,true
12,1,Ari,west_bridge_repair,0.89395,0.157,-0.014,0.143,0.21146,0.77246,0.06,ambient recovery,true
13,1,Fay,herb_roof_garden,0.79893,0.3254,-0.014,0.3114,0.248508,0.708468,0.06,ambient recovery,true
14,1,Milo,north_lantern_relay,0.79039,0.3362,-0.014,0.3222,0.250884,0.704364,0.06,ambient recovery,true
15,1,Nia,archive_weather_log,0.7292,0.3798,0.0442,0.424,0.63328,0.60568,0.06,none,false
16,1,Ari,west_bridge_repair,0.9132,0.143,-0.055,0.088,0.19936,0.79336,0.06,routine rest,true
17,1,Fay,herb_roof_garden,0.81818,0.3114,-0.055,0.2564,0.236408,0.729368,0.06,routine rest,true
18,2,Milo,north_lantern_relay,0.80964,0.3222,-0.055,0.2672,0.238784,0.725264,0.06,routine rest,true
19,2,Nia,archive_weather_log,0.74845,0.424,-0.055,0.369,0.26118,0.68658,0.06,routine rest,true
20,2,Ari,west_bridge_repair,0.88889,0.088,0.0442,0.1322,0.569084,0.716564,0.06,none,false
21,2,Fay,herb_roof_garden,0.82308,0.2564,-0.014,0.2424,0.233328,0.734688,0.06,ambient recovery,true
22,2,Milo,north_lantern_relay,0.81454,0.2672,-0.014,0.2532,0.235704,0.730584,0.06,ambient recovery,true
23,2,Nia,archive_weather_log,0.75335,0.369,-0.014,0.355,0.2581,0.6919,0.06,ambient recovery,true
24,2,Ari,west_bridge_repair,0.89379,0.1322,-0.014,0.1182,0.206004,0.781884,0.06,ambient recovery,true
25,2,Fay,herb_roof_garden,0.79679,0.2424,0.0478,0.2902,0.683844,0.656524,0.06,none,false
26,2,Milo,north_lantern_relay,0.81944,0.2532,-0.014,0.2392,0.232624,0.735904,0.06,ambient recovery,true
27,2,Nia,archive_weather_log,0.75825,0.355,-0.014,0.341,0.25502,0.69722,0.06,ambient recovery,true
28,2,Ari,west_bridge_repair,0.89869,0.1182,-0.014,0.1042,0.202924,0.787204,0.06,ambient recovery,true
29,2,Fay,herb_roof_garden,0.80169,0.2902,-0.014,0.2762,0.240764,0.721844,0.06,ambient recovery,true
30,2,Milo,north_lantern_relay,0.82434,0.2392,-0.014,0.2252,0.229544,0.741224,0.06,ambient recovery,true
31,2,Nia,archive_weather_log,0.72536,0.341,0.0598,0.4008,0.788176,0.606796,0.095,none,false
32,2,Ari,west_bridge_repair,0.90359,0.1042,-0.014,0.0902,0.199844,0.792524,0.06,ambient recovery,true
33,2,Fay,herb_roof_garden,0.80659,0.2762,-0.014,0.2622,0.237684,0.727164,0.06,ambient recovery,true
34,2,Milo,north_lantern_relay,0.84359,0.2252,-0.055,0.1702,0.217444,0.762124,0.06,routine rest,true
35,2,Nia,archive_weather_log,0.74461,0.4008,-0.055,0.3458,0.256076,0.695396,0.06,routine rest,true
36,3,Fay,herb_roof_garden,0.82584,0.2622,-0.055,0.2072,0.225584,0.748064,0.06,routine rest,true
37,3,Milo,north_lantern_relay,0.86284,0.1702,-0.055,0.1152,0.205344,0.783024,0.06,routine rest,true
38,3,Nia,archive_weather_log,0.74951,0.3458,-0.014,0.3318,0.252996,0.700716,0.06,ambient recovery,true
39,3,Ari,west_bridge_repair,0.87928,0.0902,0.0442,0.1344,0.569568,0.715728,0.06,none,false
40,3,Fay,herb_roof_garden,0.83074,0.2072,-0.014,0.1932,0.222504,0.753384,0.06,ambient recovery,true
41,3,Milo,north_lantern_relay,0.86774,0.1152,-0.014,0.1012,0.202264,0.788344,0.06,ambient recovery,true
42,3,Nia,archive_weather_log,0.75441,0.3318,-0.014,0.3178,0.249916,0.706036,0.06,ambient recovery,true
43,3,Ari,west_bridge_repair,0.88418,0.1344,-0.014,0.1204,0.206488,0.781048,0.06,ambient recovery,true
44,3,Fay,herb_roof_garden,0.83564,0.1932,-0.014,0.1792,0.219424,0.758704,0.06,ambient recovery,true
45,3,Milo,north_lantern_relay,0.84343,0.1012,0.0442,0.1454,0.571988,0.711548,0.06,none,false
46,3,Nia,archive_weather_log,0.75931,0.3178,-0.014,0.3038,0.246836,0.711356,0.06,ambient recovery,true
47,3,Ari,west_bridge_repair,0.88908,0.1204,-0.014,0.1064,0.203408,0.786368,0.06,ambient recovery,true
48,3,Fay,herb_roof_garden,0.84054,0.1792,-0.014,0.1652,0.216344,0.764024,0.06,ambient recovery,true
49,3,Milo,north_lantern_relay,0.84833,0.1454,-0.014,0.1314,0.208908,0.776868,0.06,ambient recovery,true
50,3,Nia,archive_weather_log,0.735,0.3038,0.0442,0.348,0.61656,0.63456,0.06,none,false
51,3,Ari,west_bridge_repair,0.89398,0.1064,-0.014,0.0924,0.200328,0.791688,0.06,ambient recovery,true
52,3,Fay,herb_roof_garden,0.85979,0.1652,-0.055,0.1102,0.204244,0.784924,0.06,routine rest,true
53,3,Milo,north_lantern_relay,0.86758,0.1314,-0.055,0.0764,0.196808,0.797768,0.06,routine rest,true
54,4,Nia,archive_weather_log,0.75425,0.348,-0.055,0.293,0.24446,0.71546,0.06,routine rest,true
55,4,Ari,west_bridge_repair,0.91323,0.0924,-0.0424,0.05,0.191,0.8078,0.06,routine rest,true
56,4,Fay,herb_roof_garden,0.86469,0.1102,-0.014,0.0962,0.201164,0.790244,0.06,ambient recovery,true
57,4,Milo,north_lantern_relay,0.87248,0.0764,-0.014,0.0624,0.193728,0.803088,0.06,ambient recovery,true
58,4,Nia,archive_weather_log,0.72796,0.293,0.0478,0.3408,0.694976,0.637296,0.06,none,false
59,4,Ari,west_bridge_repair,0.91813,0.05,0.0,0.05,0.191,0.8078,0.06,ambient recovery,true
