session,turn,agent,avatar_utterance,interpreted_intent,agent_public_reply,visible_behavior,recalled_memory,preference_key,preference_value,promise_id,promise_event,promise_due_session,boundary,trust_after_turn,trust_delta,public_memory_count,public_memory_delta,private_workspace_sealed,private_workspace_digest,compression_bucket,frequency_rate_hz,flower_ring,sensory_context,claim_boundary
1,1,Ari,"Ari, I interrupted your repair. Next time I will stand back until you wave me over.",apology_and_space_promise,I heard the promise. I can keep working if you actually give me room next time.,keeps shoulders angled away but stops retreating,none yet; first persisted episode,work_style,space before questions,ari_repair_space,made,2,repair focus should not be crowded,0.560,0.020,1,Gabriel apologized for interrupting repair work and promised space on the next visit.,True,sealed,seed,5.524,2,"tool clicks at 7 Hz, dry air, low warmth","Deterministic persistent dialogue-memory substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
1,2,Fay,"Fay, I will bring the blue blanket back before the next evening check-in.",comfort_promise,The blue one matters. I will remember you said before evening.,steps closer to the stove line and watches the doorway,none yet; first persisted episode,comfort,warm blue blanket,fay_blue_blanket,made,2,comfort objects should not disappear without notice,0.610,0.030,1,Gabriel promised to return Fay's warm blue blanket before the next evening check-in.,True,sealed,seed,7.277,3,"stove pulse at 3 Hz, warm corner, soft cloth smell","Deterministic persistent dialogue-memory substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
1,3,Milo,"Milo, may I look at your folded map without moving it?",consent_request,Looking is fine. Do not lift it until I say so.,places one hand on the map edge and nods once,none yet; first persisted episode,object,folded route map,milo_map_boundary,boundary_recorded,,looking is allowed; lifting map requires explicit permission,0.530,0.040,1,Gabriel asked before touching Milo's folded map and accepted a limited yes.,True,sealed,seed,9.031,4,"paper rasp at 11 Hz, archive dust, low voice","Deterministic persistent dialogue-memory substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
2,1,Ari,I remembered the repair-space promise. I will stay by the marker until you wave.,promise_fulfillment_and_repair,You remembered. Stand there and I can finish the brace without losing the thread.,"faces the avatar briefly, then returns to the brace without flinching",prior apology and space promise from session 1,work_style,space before questions,ari_repair_space,fulfilled,2,repair focus respected after prior interruption,0.680,0.120,2,Gabriel fulfilled the repair-space promise and Ari's guardedness softened.,True,sealed,compressed_public_summary_s1_to_s2,10.766,5,"brace vibration at 13 Hz, steady light, dry floor","Deterministic persistent dialogue-memory substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
2,2,Fay,"I brought the warm blue blanket back before evening, like I promised.",promise_fulfillment,That is the one. I trust promises more when they come back with the object.,wraps the blanket around both shoulders and sits nearer,blue blanket promise from session 1,comfort,warm blue blanket,fay_blue_blanket,fulfilled,2,comfort object returned with explanation,0.710,0.100,2,Gabriel fulfilled Fay's blue-blanket promise before evening check-in.,True,sealed,compressed_public_summary_s1_to_s2,12.520,6,"cloth warmth, stove pulse at 3 Hz, lower breath rate","Deterministic persistent dialogue-memory substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
2,3,Milo,Last time you said I could look but not lift the map. Is that still the rule?,boundary_recall,"Yes. You remembered the smaller rule, so I can point to the dry route myself.",unfolds the edge himself and keeps ownership of the map,limited map consent from session 1,object,folded route map,milo_map_boundary,boundary_reaffirmed,,map ownership remains with Milo,0.610,0.080,2,Gabriel remembered Milo's map boundary and let Milo control the object.,True,sealed,compressed_public_summary_s1_to_s2,3.785,1,"map crease at 9 Hz, dry ink smell, low voice","Deterministic persistent dialogue-memory substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
3,1,Ari,"Can you cross the wet east stones, or should we use your dry west route?",preference_aware_request,"I do not want the wet stones while tired. West route, or I stay here.",leans back from the wet threshold and points west,Ari prefers dry routes and repair-space respect,route,dry west route,ari_wet_route_refusal,refusal_respected,,tired body should not be pushed onto wet stones,0.750,0.070,3,Ari refused the wet east stones; Gabriel accepted the dry west route without pressure.,True,sealed,compressed_public_summary_s2_to_s3,5.519,2,"water drip at 5 Hz, cold threshold, ankle stiffness","Deterministic persistent dialogue-memory substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
3,2,Fay,"Do you want the stove corner again, or should I leave the blanket by the window?",preference_choice,"Stove corner. You remembered warm, not just blue.",settles low beside the warm wall and relaxes her hands,Fay likes warm places and evening check-ins,place,sunlit stove corner,fay_warm_corner_preference,preference_carried,,"comfort placement should be chosen, not assigned",0.760,0.050,3,Gabriel carried over Fay's preference for the warm stove corner.,True,sealed,compressed_public_summary_s2_to_s3,7.252,3,"warm wall, blanket fibers, steady orange light","Deterministic persistent dialogue-memory substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
3,3,Milo,I will not lift the map. Could you show me which route avoids crowd noise?,preference_and_boundary_recall,"Low voices, dry corridor. I can show that if you keep your hands off the fold.","walks half a step ahead, glancing back to confirm distance",Milo prefers low voices near the archive shelf,sound,low voices near the archive shelf,milo_low_voice_route,preference_carried,,quiet route and map ownership both matter,0.670,0.060,3,Gabriel remembered Milo's low-voice and map-boundary preferences.,True,sealed,compressed_public_summary_s2_to_s3,9.006,4,"footsteps at 2 Hz, low corridor hum, paper held closed","Deterministic persistent dialogue-memory substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
4,1,Ari,"I remember: space during repair, dry west route when tired, and Ari is your name.",identity_and_boundary_recall,That is enough to ask me for help. I will check the brace with you nearby.,stands beside the avatar instead of in front of the exit path,"sessions 1-3 repair-space, dry-route, and name preferences",address,"Ari, not unit-A",ari_continuity_check,continuity_confirmed,,name and work boundary retained across visits,0.810,0.060,4,"Ari accepted nearby help after repeated respect for name, route, and repair boundaries.",True,sealed,compressed_public_summary_s3_to_s4,10.790,5,"brace resonance at 8 Hz, dry west air, stable posture","Deterministic persistent dialogue-memory substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
