environment,surface,scenario,expected_signature,boundary_signature,converged_policies,policy_count,best_policy,best_policy_reward,marginal_reward,local_probe_reward,policy_signatures,supports_delayed_return_precursor
body_actuator,action effects depend on hidden body capability,agent_shared,agent_bounded_candidate,agent_bounded_cross_env,5,5,return_threshold_policy,41248.0,21000.0,39748.0,return_threshold_policy:agent_bounded_candidate;return_table_policy:agent_bounded_candidate;return_recurrent_policy:agent_bounded_candidate;evolved_return_rule:agent_bounded_candidate;return_bottleneck_policy:agent_bounded_candidate,True
body_actuator,action effects depend on hidden body capability,world_shared,external_candidate,external_cross_env,5,5,return_threshold_policy,40564.0,21000.0,39064.0,return_threshold_policy:external_candidate;return_table_policy:external_candidate;return_recurrent_policy:external_candidate;evolved_return_rule:external_candidate;return_bottleneck_policy:external_candidate,True
body_actuator,action effects depend on hidden body capability,independent_hidden,no_shared_agent_boundary,no_shared_agent_boundary,5,5,return_threshold_policy,21000.0,21000.0,40379.0,return_threshold_policy:no_shared_agent_boundary;return_table_policy:no_shared_agent_boundary;return_recurrent_policy:no_shared_agent_boundary;evolved_return_rule:no_shared_agent_boundary;return_bottleneck_policy:no_shared_agent_boundary,True
body_actuator,action effects depend on hidden body capability,irrelevant_control,no_hidden_needed,no_shared_agent_boundary,5,5,return_threshold_policy,59000.0,59000.0,57000.0,return_threshold_policy:no_hidden_needed;return_table_policy:no_hidden_needed;return_recurrent_policy:no_hidden_needed;evolved_return_rule:no_hidden_needed;return_bottleneck_policy:no_hidden_needed,True
homeostatic_viability,hidden integrity controls future option value,agent_shared,agent_bounded_candidate,agent_bounded_cross_env,5,5,return_threshold_policy,41936.0,22000.0,40436.0,return_threshold_policy:agent_bounded_candidate;return_table_policy:agent_bounded_candidate;return_recurrent_policy:agent_bounded_candidate;evolved_return_rule:agent_bounded_candidate;return_bottleneck_policy:agent_bounded_candidate,True
homeostatic_viability,hidden integrity controls future option value,world_shared,external_candidate,external_cross_env,5,5,return_threshold_policy,41312.0,22000.0,39812.0,return_threshold_policy:external_candidate;return_table_policy:external_candidate;return_recurrent_policy:external_candidate;evolved_return_rule:external_candidate;return_bottleneck_policy:external_candidate,True
homeostatic_viability,hidden integrity controls future option value,independent_hidden,no_shared_agent_boundary,no_shared_agent_boundary,5,5,return_threshold_policy,22000.0,22000.0,42178.0,return_threshold_policy:no_shared_agent_boundary;return_table_policy:no_shared_agent_boundary;return_recurrent_policy:no_shared_agent_boundary;evolved_return_rule:no_shared_agent_boundary;return_bottleneck_policy:no_shared_agent_boundary,True
homeostatic_viability,hidden integrity controls future option value,irrelevant_control,no_hidden_needed,no_shared_agent_boundary,5,5,return_threshold_policy,61000.0,61000.0,59000.0,return_threshold_policy:no_hidden_needed;return_table_policy:no_hidden_needed;return_recurrent_policy:no_hidden_needed;evolved_return_rule:no_hidden_needed;return_bottleneck_policy:no_hidden_needed,True
sensor_frame,hidden body frame controls observation-action mapping,agent_shared,agent_bounded_candidate,agent_bounded_cross_env,5,5,return_threshold_policy,44340.0,23000.0,42840.0,return_threshold_policy:agent_bounded_candidate;return_table_policy:agent_bounded_candidate;return_recurrent_policy:agent_bounded_candidate;evolved_return_rule:agent_bounded_candidate;return_bottleneck_policy:agent_bounded_candidate,True
sensor_frame,hidden body frame controls observation-action mapping,world_shared,external_candidate,external_cross_env,5,5,return_threshold_policy,44340.0,23000.0,42840.0,return_threshold_policy:external_candidate;return_table_policy:external_candidate;return_recurrent_policy:external_candidate;evolved_return_rule:external_candidate;return_bottleneck_policy:external_candidate,True
