tick_id,day,season,region_id,sight_cue,sound_cue,smell_cue,temperature_cue,wetness_cue,body_cue,rhythm_marker,sensory_bound_to_region
0,1,spring_rain,riverbend,moving trade tokens,quiet exchange,wet river mud,mild air,soaked path,seasonal travel pace,flower-node,True
1,1,spring_rain,roofward,moving trade tokens,quiet exchange,wet river mud,mild air,soaked path,seasonal travel pace,season-pulse,True
2,1,spring_rain,archive_quarter,moving trade tokens,guild hammers,wet river mud,mild air,soaked path,shared guild work,season-pulse,True
3,1,spring_rain,signal_ridge,moving trade tokens,quiet exchange,wet river mud,mild air,soaked path,seasonal travel pace,season-pulse,True
4,1,spring_rain,orchard_fen,moving trade tokens,quiet exchange,wet river mud,mild air,soaked path,seasonal travel pace,flower-node,True
5,1,spring_rain,riverbend,moving trade tokens,quiet exchange,wet river mud,mild air,soaked path,seasonal travel pace,season-pulse,True
6,1,spring_rain,roofward,moving trade tokens,quiet exchange,wet river mud,mild air,soaked path,seasonal travel pace,season-pulse,True
7,1,spring_rain,archive_quarter,moving trade tokens,guild hammers,wet river mud,mild air,soaked path,shared guild work,season-pulse,True
8,1,spring_rain,signal_ridge,moving trade tokens,quiet exchange,wet river mud,mild air,soaked path,seasonal travel pace,flower-node,True
9,1,spring_rain,orchard_fen,moving trade tokens,quiet exchange,wet river mud,mild air,soaked path,seasonal travel pace,season-pulse,True
10,1,spring_rain,riverbend,moving trade tokens,quiet exchange,wet river mud,mild air,soaked path,seasonal travel pace,season-pulse,True
11,1,spring_rain,roofward,moving trade tokens,quiet exchange,wet river mud,mild air,soaked path,seasonal travel pace,season-pulse,True
12,1,spring_rain,archive_quarter,moving trade tokens,quiet exchange,wet river mud,mild air,soaked path,seasonal travel pace,flower-node,True
13,1,spring_rain,signal_ridge,moving trade tokens,quiet exchange,wet river mud,mild air,soaked path,seasonal travel pace,season-pulse,True
14,1,spring_rain,orchard_fen,moving trade tokens,quiet exchange,wet river mud,mild air,soaked path,seasonal travel pace,season-pulse,True
15,1,spring_rain,riverbend,moving trade tokens,guild hammers,wet river mud,mild air,soaked path,shared guild work,ambient-rate,True
16,2,spring_rain,roofward,moving trade tokens,quiet exchange,wet river mud,mild air,soaked path,seasonal travel pace,flower-node,True
17,2,spring_rain,archive_quarter,moving trade tokens,quiet exchange,wet river mud,mild air,soaked path,seasonal travel pace,season-pulse,True
18,2,spring_rain,signal_ridge,moving trade tokens,guild hammers,wet river mud,mild air,soaked path,shared guild work,season-pulse,True
19,2,spring_rain,orchard_fen,moving trade tokens,quiet exchange,wet river mud,mild air,soaked path,seasonal travel pace,season-pulse,True
20,2,spring_rain,riverbend,moving trade tokens,quiet exchange,wet river mud,mild air,soaked path,seasonal travel pace,flower-node,True
21,2,spring_rain,roofward,moving trade tokens,quiet exchange,wet river mud,mild air,soaked path,seasonal travel pace,season-pulse,True
