channel,passed,score,evidence,failure_if_false
report_335_cross_tab_gate_passed,True,1.0,Report 335 verdict=pass weakest=1.0,closed-origin-tab continuity would not be grounded in a passing cross-tab handoff gate
closed_origin_source_still_present,True,1.0,"generator, emitted JS, and emitted HTML retain prepared handoff continue/download machinery",regeneration would remove the visible prepared handoff path
original_tab_prepared_fresh_resume_before_close,True,1.0,"kind=resume fresh=True status=Outside-review handoff ready: fresh resume handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 0 manual record(s) / export missing; next action: click Continue from prepared resume handoff, or download Prepared outside-review handoff JSON.",the preparing tab did not create a visible fresh resume handoff before close
original_preparing_tab_closed,True,1.0,originalTabId=6 closed=True,the proof did not actually close the preparing tab before fresh-tab entry
fresh_tab_after_close_shows_prepared_handoff,True,1.0,"kind=resume status=Outside-review handoff ready: fresh resume handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 0 manual record(s) / export missing; next action: click Continue from prepared resume handoff, or download Prepared outside-review handoff JSON.",a fresh launcher tab does not render the prepared handoff after the preparing tab is closed
fresh_tab_after_close_status_fresh_resume,True,1.0,"Outside-review handoff ready: fresh resume handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 0 manual record(s) / export missing; next action: click Continue from prepared resume handoff, or download Prepared outside-review handoff JSON.",fresh tab status does not classify the closed-origin handoff as fresh resume
fresh_tab_after_close_controls_available,True,1.0,Continue from prepared resume handoffDownload prepared outside-review handoff JSON,fresh tab lacks continue/download controls after preparing-tab closure
fresh_tab_after_close_visible_handoff_timestamp_matches_original,True,1.0,original=2026-06-18T09:46:18.251Z fresh=2026-06-18T09:46:18.251Z,fresh tab shows a different visible handoff timestamp after preparing-tab closure
fresh_tab_after_close_payload_timestamp_matches_original,True,1.0,original=2026-06-18T09:46:18.251Z fresh=2026-06-18T09:46:18.251Z,fresh tab preview freshness points at a different current handoff timestamp after preparing-tab closure
fresh_tab_after_close_continue_reaches_shell,True,1.0,url=http://127.0.0.1:8798/visualizations/ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html?source=primary-demo-v63 reviewer=True runPass=True,fresh tab continue action does not reach the maintained reviewer shell after preparing-tab closure
fresh_tab_after_close_return_to_launcher_visible,True,1.0,http://127.0.0.1:8798/visualizations/ssrm_3d_browser_world_primary_demo/index.html#outsideReviewChecklist,fresh tab continued session cannot return visibly to the launcher after preparing-tab closure
fresh_tab_after_close_refresh_keeps_handoff_fresh,True,1.0,"Outside-review handoff ready: fresh resume handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 0 manual record(s) / export missing; next action: click Continue from prepared resume handoff, or download Prepared outside-review handoff JSON.",refreshing shell evidence after closed-origin-tab continue-return makes the handoff stale
fresh_tab_after_close_after_return_timestamp_unchanged,True,1.0,original=2026-06-18T09:46:18.251Z after=2026-06-18T09:46:18.251Z,closed-origin-tab continue-return changes the visible prepared handoff timestamp
browser_evidence_uses_visible_or_preview_state,True,1.0,"browser evidence compares visible status/actions and visible handoff preview JSON, not raw storage keys",closed-origin-tab proof relies on privileged storage inspection
browser_console_clean,True,1.0,consoleErrors=0 messages=[],closed-origin-tab browser flow produced console errors
boundary_preserved,True,1.0,"Deterministic browser-local closed-origin-tab handoff continuity bridge only; no LLM calls, no subjective consciousness, no autonomous natural language, no moral patienthood, no production persistence, no complete 3D engine, and no finished gameplay claim. This is local tab-lifecycle handoff hygiene and visible review continuity, not external validation or evidence of inner experience.",report boundary implies more than browser-local tab-lifecycle handoff continuity
