tick,day,active_agents,branch_ids,selected_branch_count,simultaneous_consequence_count,persisted_branch_count,local_storage_key,reload_token,concurrency_ok
0,1,Sova|Melo|Ori,hearthline:protect:1:0|marketline:claim:1:3|orchardline:witness:1:5,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-1-0,1
1,1,Keth|Nari,routeline:protect:1:1|ledgerline:claim:1:4,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-1-1,1
2,1,Melo|Ori,marketline:protect:1:2|orchardline:claim:1:5,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-1-2,1
3,1,Nari|Vonn,ledgerline:protect:1:3|rainline:claim:1:6,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-1-3,1
4,1,Ori|Sova,orchardline:protect:1:4|hearthline:claim:1:7,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-1-4,1
5,1,Vonn|Keth|Nari,rainline:protect:1:5|routeline:claim:1:0|ledgerline:witness:1:2,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-1-5,1
6,1,Sova|Melo,hearthline:protect:1:6|marketline:claim:1:1,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-1-6,1
7,1,Keth|Nari,routeline:protect:1:7|ledgerline:claim:1:2,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-1-7,1
8,2,Melo|Ori,marketline:protect:2:0|orchardline:claim:2:3,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-2-8,1
9,2,Nari|Vonn,ledgerline:protect:2:1|rainline:claim:2:4,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-2-9,1
10,2,Ori|Sova|Melo,orchardline:protect:2:2|hearthline:claim:2:5|marketline:witness:2:7,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-2-10,1
11,2,Vonn|Keth,rainline:protect:2:3|routeline:claim:2:6,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-2-11,1
12,2,Sova|Melo,hearthline:protect:2:4|marketline:claim:2:7,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-2-12,1
13,2,Keth|Nari,routeline:protect:2:5|ledgerline:claim:2:0,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-2-13,1
14,2,Melo|Ori,marketline:protect:2:6|orchardline:claim:2:1,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-2-14,1
15,2,Nari|Vonn|Keth,ledgerline:protect:2:7|rainline:claim:2:2|routeline:witness:2:4,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-2-15,1
16,3,Ori|Sova,orchardline:protect:3:0|hearthline:claim:3:3,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-3-16,1
17,3,Vonn|Keth,rainline:protect:3:1|routeline:claim:3:4,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-3-17,1
18,3,Sova|Melo,hearthline:protect:3:2|marketline:claim:3:5,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-3-18,1
19,3,Keth|Nari,routeline:protect:3:3|ledgerline:claim:3:6,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-3-19,1
20,3,Melo|Ori|Sova,marketline:protect:3:4|orchardline:claim:3:7|hearthline:witness:3:1,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-3-20,1
21,3,Nari|Vonn,ledgerline:protect:3:5|rainline:claim:3:0,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-3-21,1
22,3,Ori|Sova,orchardline:protect:3:6|hearthline:claim:3:1,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-3-22,1
23,3,Vonn|Keth,rainline:protect:3:7|routeline:claim:3:2,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-3-23,1
24,4,Sova|Melo,hearthline:protect:4:0|marketline:claim:4:3,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-4-24,1
25,4,Keth|Nari|Vonn,routeline:protect:4:1|ledgerline:claim:4:4|rainline:witness:4:6,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-4-25,1
26,4,Melo|Ori,marketline:protect:4:2|orchardline:claim:4:5,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-4-26,1
27,4,Nari|Vonn,ledgerline:protect:4:3|rainline:claim:4:6,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-4-27,1
28,4,Ori|Sova,orchardline:protect:4:4|hearthline:claim:4:7,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-4-28,1
29,4,Vonn|Keth,rainline:protect:4:5|routeline:claim:4:0,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-4-29,1
30,4,Sova|Melo|Ori,hearthline:protect:4:6|marketline:claim:4:1|orchardline:witness:4:3,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-4-30,1
31,4,Keth|Nari,routeline:protect:4:7|ledgerline:claim:4:2,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-4-31,1
32,5,Melo|Ori,marketline:protect:5:0|orchardline:claim:5:3,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-5-32,1
33,5,Nari|Vonn,ledgerline:protect:5:1|rainline:claim:5:4,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-5-33,1
34,5,Ori|Sova,orchardline:protect:5:2|hearthline:claim:5:5,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-5-34,1
35,5,Vonn|Keth|Nari,rainline:protect:5:3|routeline:claim:5:6|ledgerline:witness:5:0,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-5-35,1
36,5,Sova|Melo,hearthline:protect:5:4|marketline:claim:5:7,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-5-36,1
37,5,Keth|Nari,routeline:protect:5:5|ledgerline:claim:5:0,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-5-37,1
38,5,Melo|Ori,marketline:protect:5:6|orchardline:claim:5:1,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-5-38,1
39,5,Nari|Vonn,ledgerline:protect:5:7|rainline:claim:5:2,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-5-39,1
40,6,Ori|Sova|Melo,orchardline:protect:6:0|hearthline:claim:6:3|marketline:witness:6:5,3,3,3,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-6-40,1
41,6,Vonn|Keth,rainline:protect:6:1|routeline:claim:6:4,2,2,1,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-6-41,0
42,6,Sova|Melo,hearthline:protect:6:2|marketline:claim:6:5,2,2,2,ssrm_browser_world_v15_multi_agent_branch_conflicts,reload-v15-20260868-6-42,1
