tick,day,loop_id,focus_agent,animation_state_visible,gesture_visible,proximity_choreography_visible,object_ceremony_visible,sensory_frequency_hz,flower_phase,public_behavior_marker,private_workspace_sealed
0,1,v19-loop-001,Keth,0,0,1,0,1.132,56.968,repairs misread gesture slowly,1
1,1,v19-loop-001,Melo,1,1,1,0,1.132,194.645764,holds space and listens,1
2,1,v19-loop-001,Nari,1,1,1,0,1.212,336.173528,steps into turn with gesture,1
3,1,v19-loop-001,Ori,1,1,1,0,1.1224,110.402892,holds space and listens,1
4,1,v19-loop-001,Vonn,1,1,1,0,1.212,250.169056,repairs misread gesture slowly,1
5,1,v19-loop-001,Sova,1,1,1,1,1.262,30.48682,handles ceremony object between agents,1
6,1,v19-loop-001,Keth,1,1,1,1,1.1996,166.694984,handles ceremony object between agents,1
7,1,v19-loop-001,Melo,1,1,1,0,1.1224,302.473948,holds space and listens,1
8,1,v19-loop-002,Nari,1,1,1,0,1.132,80.770112,holds space and listens,1
9,1,v19-loop-002,Ori,1,1,1,1,1.1996,220.748276,handles ceremony object between agents,1
10,1,v19-loop-002,Vonn,1,1,1,0,1.132,356.80564,holds space and listens,1
11,1,v19-loop-002,Sova,1,1,1,0,1.1224,134.545004,holds space and listens,1
12,2,v19-loop-002,Melo,1,1,1,0,1.212,270.231168,steps into turn with gesture,1
13,2,v19-loop-002,Nari,1,1,1,0,1.212,47.058932,steps into turn with gesture,1
14,2,v19-loop-002,Ori,1,1,1,1,1.1996,184.717096,handles ceremony object between agents,1
15,2,v19-loop-002,Vonn,1,1,1,1,1.1996,322.73486,handles ceremony object between agents,1
16,2,v19-loop-003,Sova,1,1,1,0,1.132,98.792224,holds space and listens,1
17,2,v19-loop-003,Keth,1,1,1,1,1.1996,238.770388,handles ceremony object between agents,1
18,2,v19-loop-003,Melo,1,1,1,0,1.212,18.337752,steps into turn with gesture,1
19,2,v19-loop-003,Nari,1,1,1,0,1.2296,155.675916,steps into turn with gesture,1
20,2,v19-loop-003,Ori,1,1,1,0,1.182,292.31328,holds space and listens,1
21,2,v19-loop-003,Vonn,1,1,1,0,1.212,71.201044,steps into turn with gesture,1
22,2,v19-loop-003,Sova,1,1,1,0,1.1224,206.620408,repairs misread gesture slowly,1
23,2,v19-loop-003,Keth,1,1,1,0,1.212,347.236572,steps into turn with gesture,1
24,3,v19-loop-004,Nari,1,1,1,0,1.212,120.324336,steps into turn with gesture,1
25,3,v19-loop-004,Ori,1,1,1,0,1.132,254.8321,holds space and listens,1
26,3,v19-loop-004,Vonn,1,1,1,0,1.212,36.359864,steps into turn with gesture,1
27,3,v19-loop-004,Sova,1,1,1,0,1.132,170.867628,holds space and listens,1
28,3,v19-loop-004,Keth,1,1,1,0,1.132,308.885392,holds space and listens,1
29,3,v19-loop-004,Melo,1,0,1,0,1.132,87.243156,holds space and listens,1
30,3,v19-loop-004,Nari,1,1,1,1,1.1996,226.88132,handles ceremony object between agents,1
31,3,v19-loop-004,Ori,0,1,1,0,1.2296,5.769084,steps into turn with gesture,1
32,3,v19-loop-005,Vonn,1,1,1,0,1.212,144.466448,steps into turn with gesture,1
33,3,v19-loop-005,Sova,1,0,1,1,1.1996,280.084612,handles ceremony object between agents,1
34,3,v19-loop-005,Keth,1,1,1,0,1.132,56.991976,holds space and listens,1
35,3,v19-loop-005,Melo,1,1,1,0,1.212,198.51974,steps into turn with gesture,1
36,4,v19-loop-005,Ori,1,1,1,0,1.1224,326.629104,holds space and listens,1
37,4,v19-loop-005,Vonn,1,1,1,0,1.1224,104.646868,holds space and listens,1
38,4,v19-loop-005,Sova,1,1,1,0,1.2296,245.773432,steps into turn with gesture,1
39,4,v19-loop-005,Keth,1,1,1,0,1.212,24.470796,steps into turn with gesture,1
40,4,v19-loop-006,Melo,1,1,1,0,1.212,162.48856,steps into turn with gesture,1
41,4,v19-loop-006,Nari,1,1,1,0,1.2296,299.826724,steps into turn with gesture,1
42,4,v19-loop-006,Ori,1,1,1,0,1.212,78.524088,steps into turn with gesture,1
43,4,v19-loop-006,Vonn,1,1,1,0,1.2296,215.862252,steps into turn with gesture,1
44,4,v19-loop-006,Sova,1,1,1,0,1.212,354.559616,repairs misread gesture slowly,1
45,4,v19-loop-006,Keth,1,1,1,0,1.132,129.06738,holds space and listens,1
46,4,v19-loop-006,Melo,1,1,1,0,1.212,270.595144,steps into turn with gesture,1
47,4,v19-loop-006,Nari,1,1,1,0,1.132,45.102908,holds space and listens,1
48,5,v19-loop-007,Vonn,1,1,1,1,1.1996,178.961072,handles ceremony object between agents,1
49,5,v19-loop-007,Sova,1,1,1,0,1.212,318.528436,steps into turn with gesture,1
50,5,v19-loop-007,Keth,1,1,1,0,1.212,96.5462,steps into turn with gesture,1
51,5,v19-loop-007,Melo,1,1,1,0,1.132,231.053964,holds space and listens,1
52,5,v19-loop-007,Nari,1,1,1,0,1.212,12.581728,steps into turn with gesture,1
53,5,v19-loop-007,Ori,1,1,1,1,1.1996,149.049892,handles ceremony object between agents,1
54,5,v19-loop-007,Vonn,1,1,1,0,1.212,288.617256,steps into turn with gesture,1
55,5,v19-loop-007,Sova,1,1,1,1,1.2796,67.40542,handles ceremony object between agents,1
56,5,v19-loop-008,Keth,1,1,1,0,1.132,201.142784,holds space and listens,1
57,5,v19-loop-008,Melo,1,1,1,0,1.132,339.160548,holds space and listens,1
58,5,v19-loop-008,Nari,1,0,1,0,1.132,117.518312,holds space and listens,1
59,5,v19-loop-008,Ori,1,1,1,0,1.132,255.196076,holds space and listens,1
60,6,v19-loop-008,Sova,1,1,1,1,1.2796,31.37424,handles ceremony object between agents,1
61,6,v19-loop-008,Keth,1,1,1,0,1.132,165.111604,holds space and listens,1
62,6,v19-loop-008,Melo,0,1,1,0,1.212,305.789368,repairs misread gesture slowly,1
63,6,v19-loop-008,Nari,1,1,1,0,1.212,83.467132,steps into turn with gesture,1
64,6,v19-loop-009,Ori,1,1,1,0,1.132,219.164896,holds space and listens,1
65,6,v19-loop-009,Vonn,1,1,1,1,1.1996,359.14306,handles ceremony object between agents,1
66,6,v19-loop-009,Sova,1,1,1,0,1.2296,138.030824,repairs misread gesture slowly,1
67,6,v19-loop-009,Keth,1,1,1,0,1.2296,276.048588,steps into turn with gesture,1
68,6,v19-loop-009,Melo,1,1,1,0,1.212,53.555952,steps into turn with gesture,1
69,6,v19-loop-009,Nari,1,1,1,0,1.132,189.253716,holds space and listens,1
70,6,v19-loop-009,Ori,1,1,1,1,1.1996,329.23188,handles ceremony object between agents,1
71,6,v19-loop-009,Vonn,1,1,1,0,1.212,107.609244,steps into turn with gesture,1
72,7,v19-loop-010,Keth,1,1,1,0,1.212,239.507008,steps into turn with gesture,1
73,7,v19-loop-010,Melo,1,1,1,0,1.212,18.714772,steps into turn with gesture,1
74,7,v19-loop-010,Nari,1,1,1,0,1.212,155.542536,steps into turn with gesture,1
75,7,v19-loop-010,Ori,1,1,1,1,1.1996,293.2007,handles ceremony object between agents,1
76,7,v19-loop-010,Vonn,1,1,1,0,1.132,69.258064,holds space and listens,1
77,7,v19-loop-010,Sova,1,1,1,0,1.132,207.275828,holds space and listens,1
78,7,v19-loop-010,Keth,1,1,1,0,1.2296,348.123992,steps into turn with gesture,1
79,7,v19-loop-010,Melo,1,1,1,0,1.132,123.311356,holds space and listens,1
80,7,v19-loop-011,Nari,1,1,1,1,1.262,265.09912,handles ceremony object between agents,1
81,7,v19-loop-011,Ori,1,1,1,0,1.212,42.856884,steps into turn with gesture,1
82,7,v19-loop-011,Vonn,1,1,1,0,1.132,177.364648,holds space and listens,1
83,7,v19-loop-011,Sova,1,1,1,0,1.132,315.382412,holds space and listens,1
84,8,v19-loop-011,Melo,1,1,1,0,1.212,90.790176,steps into turn with gesture,1
85,8,v19-loop-011,Nari,1,1,1,1,1.182,226.74794,handles ceremony object between agents,1
86,8,v19-loop-011,Ori,1,1,1,1,1.1996,5.276104,handles ceremony object between agents,1
87,8,v19-loop-011,Vonn,1,0,1,0,1.1496,140.993868,holds space and listens,1
88,8,v19-loop-012,Sova,1,1,1,0,1.212,281.671232,repairs misread gesture slowly,1
89,8,v19-loop-012,Keth,1,1,1,0,1.1224,57.090596,holds space and listens,1
90,8,v19-loop-012,Melo,1,1,1,0,1.1224,195.10836,holds space and listens,1
91,8,v19-loop-012,Nari,1,1,1,0,1.212,336.064524,repairs misread gesture slowly,1
