language_id,year,community,ancestor_language,core_lexemes,grammar_marker,sound_shift,semantic_retention,mutual_intelligibility,drift_pressure,public_phrase,private_meaning_digest
proto-hearth,-1800,founding-cave,none,ha=warm; rin=near; tul=do-not-name,gesture-first order,low breath vowels,1.0,1.0,0.05,ha rin tul,sealed:proto-hearth:private-association-map
reed-route,-1320,river-shelter,proto-hearth,har=warmth; rinu=near-path; tulen=sealed-name,path suffix -u,h becomes softer before a,0.91,0.86,0.18,har rinu tulen,sealed:reed-route:private-association-map
stone-work,-870,bridge-workshop,reed-route,kar=heated stone; ren=route; tula=private body,work duty before need noun,r hardens near tool words,0.86,0.79,0.26,ren kar tula,sealed:stone-work:private-association-map
hearth-archive,-430,archive-hearth,stone-work,hara=care heat; nesh=ledger; tulei=sealed feeling,evidence marker -sh,tool r softens in archive speech,0.82,0.73,0.33,nesh hara tulei,sealed:hearth-archive:private-association-map
flower-council-speech,0,flower-council,hearth-archive,flor=ring; nesh=public ledger; avra=other self,council evidential -la,vowel pairs mark publicness,0.78,0.7,0.41,flor nesh-la avra,sealed:flower-council-speech:private-association-map
cistern-appeal,610,cistern-crisis,flower-council-speech,sola=water witness; neshla=public proof; vey=rumor debt,appeal marker vey-,sibilants spread in water terms,0.75,0.68,0.47,vey-sola neshla,sealed:cistern-appeal:private-association-map
runner-trade,1240,runner-roads,cistern-appeal,miloq=runner due; renoq=road share; veyra=repair debt,motion evidential -oq,q closes route nouns,0.72,0.64,0.54,miloq renoq veyra,sealed:runner-trade:private-association-map
lantern-school,1880,lantern-schools,runner-trade,ariem=repair-care; fayel=comfort duty; niax=sealed story,teaching prefix child-safe ni-,x marks archive boundary,0.69,0.61,0.58,ni-ariem fayel niax,sealed:lantern-school:private-association-map
frequency-archive,2520,frequency-archives,lantern-school,rateh=care rhythm; xenia=sealed archive; solq=water proof,rate classifier ra-,h returns in rate words,0.66,0.58,0.63,ra-rateh xenia solq,sealed:frequency-archive:private-association-map
threshold-common,3180,pre-avatar-threshold,frequency-archive,avra=person-boundary; rateh=care rhythm; flor=public ring,avatar address marker ko-,older roots preserved in formal welcome,0.64,0.56,0.69,ko-avra flor rateh,sealed:threshold-common:private-association-map
