tick_id,day,settlement_id,negotiator_a,negotiator_b,witness_id,object_id,avatar_state,topic,negotiation_round,terms_before,terms_after,outcome,continued_during_avatar_absence,visible_negotiation_trace,private_workspace_sealed
0,1,roofward,Fay,Sera,Orr,herb ledger,offer_return_help,memory loan,0,due:3 holder:Sera,due:3 holder:Sera,terms reviewed without avatar,True,True,True
1,1,archive,Toma,Vell,Rin,memory tag,choose_repay,archive loan,0,due:3 holder:Vell,due:3 holder:Vell,avatar-present negotiation observed,False,True,True
2,1,signal,Kesh,Oda,Milo,wind wrap,choose_ignore,care loan,0,due:3 holder:Oda,due:5 holder:Oda,loan terms accepted without avatar,True,True,True
3,1,orchard,Suf,Ivo,Mara,seed satchel,absent,resource loan,0,due:3 holder:Ivo,due:6 holder:Ivo,loan terms accepted without avatar,True,True,True
4,1,repair_ring,Juno,Pax,Vale,copper wire,listen_later,craft loan,0,due:3 holder:Pax,due:3 holder:Pax,terms reviewed without avatar,True,True,True
5,1,riverbend,Lio,Cee,Nox,binding cord,choose_ignore,repair loan,0,due:3 holder:Cee,due:4 holder:Cee,loan terms accepted without avatar,True,True,True
6,1,roofward,Orr,Bex,Fay,shade cloth,absent,care loan,1,due:3 holder:Bex,due:5 holder:Bex,loan terms accepted without avatar,True,True,True
7,1,archive,Rin,Nia,Toma,signal spool,listen_later,memory loan,1,due:3 holder:Nia,due:6 holder:Nia,loan terms accepted without avatar,True,True,True
8,1,signal,Milo,Ren,Kesh,oil lantern,offer_return_help,signal loan,1,due:3 holder:Ren,due:3 holder:Ren,terms reviewed without avatar,True,True,True
9,1,orchard,Mara,Pim,Suf,dry cord,choose_repay,repair loan,1,due:3 holder:Pim,due:3 holder:Pim,avatar-present negotiation observed,False,True,True
10,1,repair_ring,Vale,Wren,Juno,cool cloth,choose_ignore,care loan,1,due:3 holder:Wren,due:5 holder:Wren,loan terms accepted without avatar,True,True,True
11,1,riverbend,Nox,Ari,Lio,cedar plank,offer_return_help,repair loan,1,due:3 holder:Ari,due:3 holder:Ari,avatar-present negotiation observed,False,True,True
12,1,roofward,Fay,Sera,Orr,herb ledger,choose_repay,memory loan,2,due:3 holder:Sera,due:3 holder:Sera,terms reviewed without avatar,True,True,True
13,1,archive,Toma,Vell,Rin,memory tag,choose_ignore,archive loan,2,due:3 holder:Vell,due:4 holder:Vell,loan terms accepted without avatar,True,True,True
14,1,signal,Kesh,Oda,Milo,wind wrap,absent,care loan,2,due:5 holder:Oda,due:5 holder:Oda,loan terms accepted without avatar,True,True,True
15,1,orchard,Suf,Ivo,Mara,seed satchel,listen_later,resource loan,2,due:6 holder:Ivo,due:6 holder:Ivo,loan terms accepted without avatar,True,True,True
16,1,repair_ring,Juno,Pax,Vale,copper wire,offer_return_help,craft loan,2,due:3 holder:Pax,due:3 holder:Pax,terms reviewed without avatar,True,True,True
17,1,riverbend,Lio,Cee,Nox,binding cord,absent,repair loan,2,due:4 holder:Cee,due:4 holder:Cee,loan terms accepted without avatar,True,True,True
18,2,archive,Nia,Toma,Vell,memory tag,choose_repay,archive loan,3,due:4 holder:Vell,due:4 holder:Toma,loan terms accepted without avatar,True,True,True
19,2,signal,Ren,Kesh,Oda,wind wrap,choose_ignore,care loan,3,due:5 holder:Oda,due:5 holder:Kesh,loan terms accepted without avatar,True,True,True
20,2,orchard,Pim,Suf,Ivo,seed satchel,absent,resource loan,3,due:6 holder:Ivo,due:6 holder:Ivo,terms reviewed without avatar,True,True,True
21,2,repair_ring,Wren,Juno,Pax,copper wire,listen_later,craft loan,3,due:3 holder:Pax,due:7 holder:Juno,loan terms accepted without avatar,True,True,True
22,2,riverbend,Ari,Lio,Cee,binding cord,choose_ignore,repair loan,3,due:4 holder:Cee,due:4 holder:Lio,loan terms accepted without avatar,True,True,True
23,2,roofward,Sera,Orr,Bex,shade cloth,absent,care loan,3,due:5 holder:Bex,due:5 holder:Orr,loan terms accepted without avatar,True,True,True
24,2,archive,Vell,Rin,Nia,signal spool,listen_later,memory loan,4,due:6 holder:Nia,due:6 holder:Nia,terms reviewed without avatar,True,True,True
25,2,signal,Oda,Milo,Ren,oil lantern,offer_return_help,signal loan,4,due:3 holder:Ren,due:3 holder:Ren,avatar-present negotiation observed,False,True,True
26,2,orchard,Ivo,Mara,Pim,dry cord,choose_repay,repair loan,4,due:3 holder:Pim,due:4 holder:Mara,loan terms accepted without avatar,True,True,True
27,2,repair_ring,Pax,Vale,Wren,cool cloth,choose_ignore,care loan,4,due:5 holder:Wren,due:5 holder:Vale,loan terms accepted without avatar,True,True,True
28,2,riverbend,Cee,Nox,Ari,cedar plank,offer_return_help,repair loan,4,due:3 holder:Ari,due:3 holder:Ari,terms reviewed without avatar,True,True,True
29,2,roofward,Bex,Fay,Sera,herb ledger,choose_repay,memory loan,4,due:3 holder:Sera,due:3 holder:Sera,avatar-present negotiation observed,False,True,True
30,2,archive,Nia,Toma,Vell,memory tag,choose_ignore,archive loan,5,due:4 holder:Toma,due:4 holder:Toma,terms reviewed without avatar,True,True,True
31,2,signal,Ren,Kesh,Oda,wind wrap,absent,care loan,5,due:5 holder:Kesh,due:5 holder:Kesh,terms reviewed without avatar,True,True,True
32,2,orchard,Pim,Suf,Ivo,seed satchel,listen_later,resource loan,5,due:6 holder:Ivo,due:6 holder:Ivo,terms reviewed without avatar,True,True,True
33,2,repair_ring,Wren,Juno,Pax,copper wire,offer_return_help,craft loan,5,due:7 holder:Juno,due:7 holder:Juno,avatar-present negotiation observed,False,True,True
34,2,riverbend,Ari,Lio,Cee,binding cord,absent,repair loan,5,due:4 holder:Lio,due:4 holder:Lio,terms reviewed without avatar,True,True,True
