ledger_id,day,creditor,debtor,item_or_service,quantity,value,repayment_state,due_day,fairness_score,privacy_boundary,consequence,frequency_hz,flower_node
ledger-01,1,fayen,avatar,cup carry labor,1,0.12,repaid,3,0.92,public chore only,care trust rises,417.5,4
ledger-02,3,roka,avatar,cloth drying time,1,0.08,open,8,0.78,child-work reason sealed,cloth scarcity noted,423.0,5
ledger-03,5,noro,avatar,shade beam debt,1,0.42,partial,21,0.74,no body reason,timber access conditional,428.5,6
ledger-04,5,ariq,avatar,bridge brace labor,1,0.25,credited,13,0.82,work pride protected,bridge help allowed,434.0,7
ledger-05,8,fayen,roka,cloth wash support,1,0.1,repaid,13,0.88,care reason public only,reed lesson resumes,439.5,8
ledger-06,8,nian,noro,privacy grammar teaching,1,0.18,credited,13,0.9,object-place-day only,posting speed improves,445.0,9
ledger-07,13,noro,avatar,partial timber repayment,0.5,0.21,partial,21,0.8,debt public,second beam still locked,450.5,10
ledger-08,13,roka,avatar,loose tray teaching,1,0.16,credited,21,0.84,tied bundle excluded,lesson access improves,456.0,11
ledger-09,21,noro,avatar,review close labor,1,0.22,carried_forward,34,0.76,public debt only,future timber gated,461.5,12
ledger-10,21,nian,avatar,public knot audit,1,0.2,credited,34,0.91,private archive sealed,public trust improves,467.0,1
