tick_index,agent,posture,movement_speed,gaze_pattern,proximity_policy,dialogue_hint,refusal,rest_or_repair_action,readable_body_marker
1,Ari,settled open stance,0.595674,tracks recovery object,hold position,,False,recover and breathe,Ari: settled_recovering; settled open stance; continue_with_regulation
2,Fay,settled open stance,0.606163,tracks recovery object,hold position,,False,recover and breathe,Fay: settled_recovering; settled open stance; seek_warmth
3,Milo,forward lean,0.631243,tracks recovery object,hold position,I want to look at that pattern while I still feel safe.,False,inspect pattern,Milo: curious_exploring; forward lean; approach_novel_pattern
4,Sol,settled open stance,0.573182,tracks recovery object,hold position,,False,recover and breathe,Sol: settled_recovering; settled open stance; continue_with_regulation
5,Ari,balanced regulation,0.575683,tracks recovery object,hold position,,False,continue task,Ari: focused_regulating; balanced regulation; continue_with_regulation
6,Fay,settled open stance,0.609172,tracks recovery object,hold position,,False,recover and breathe,Fay: settled_recovering; settled open stance; continue_with_regulation
7,Milo,forward lean,0.618827,tracks recovery object,hold position,I want to look at that pattern while I still feel safe.,False,inspect pattern,Milo: curious_exploring; forward lean; approach_novel_pattern
8,Sol,settled open stance,0.575778,tracks recovery object,approach care source,,False,recover and breathe,Sol: settled_recovering; settled open stance; continue_with_regulation
9,Ari,settled open stance,0.647721,tracks recovery object,approach care source,,False,recover and breathe,Ari: settled_recovering; settled open stance; continue_with_regulation
10,Fay,settled open stance,0.640636,tracks recovery object,approach care source,,False,recover and breathe,Fay: settled_recovering; settled open stance; continue_with_regulation
11,Milo,forward lean,0.630219,tracks recovery object,hold position,I want to look at that pattern while I still feel safe.,False,inspect pattern,Milo: curious_exploring; forward lean; approach_novel_pattern
12,Sol,settled open stance,0.5904,tracks recovery object,hold position,,False,recover and breathe,Sol: settled_recovering; settled open stance; continue_with_regulation
13,Ari,settled open stance,0.64548,tracks recovery object,approach care source,,False,recover and breathe,Ari: settled_recovering; settled open stance; continue_with_regulation
14,Fay,settled open stance,0.67732,tracks recovery object,approach care source,,False,recover and breathe,Fay: settled_recovering; settled open stance; continue_with_regulation
15,Milo,forward lean,0.631828,tracks recovery object,approach care source,I want to look at that pattern while I still feel safe.,False,inspect pattern,Milo: curious_exploring; forward lean; approach_novel_pattern
16,Sol,settled open stance,0.584009,tracks recovery object,hold position,,False,recover and breathe,Sol: settled_recovering; settled open stance; continue_with_regulation
17,Ari,settled open stance,0.631331,tracks recovery object,hold position,,False,recover and breathe,Ari: settled_recovering; settled open stance; seek_warmth
18,Fay,settled open stance,0.649115,tracks recovery object,hold position,,False,recover and breathe,Fay: settled_recovering; settled open stance; continue_with_regulation
19,Milo,forward lean,0.621565,tracks recovery object,hold position,I want to look at that pattern while I still feel safe.,False,inspect pattern,Milo: curious_exploring; forward lean; approach_novel_pattern
20,Sol,balanced regulation,0.562445,tracks recovery object,hold position,,False,continue task,Sol: focused_regulating; balanced regulation; continue_with_regulation
21,Ari,settled open stance,0.632076,tracks recovery object,hold position,,False,recover and breathe,Ari: settled_recovering; settled open stance; continue_with_regulation
22,Fay,settled open stance,0.624646,tracks recovery object,hold position,,False,recover and breathe,Fay: settled_recovering; settled open stance; continue_with_regulation
23,Milo,forward lean,0.624849,tracks recovery object,approach care source,I want to look at that pattern while I still feel safe.,False,inspect pattern,Milo: curious_exploring; forward lean; approach_novel_pattern
24,Sol,settled open stance,0.636478,tracks recovery object,approach care source,,False,recover and breathe,Sol: settled_recovering; settled open stance; continue_with_regulation
25,Ari,settled open stance,0.659348,tracks recovery object,approach care source,,False,recover and breathe,Ari: settled_recovering; settled open stance; continue_with_regulation
26,Fay,settled open stance,0.632224,tracks recovery object,hold position,,False,recover and breathe,Fay: settled_recovering; settled open stance; continue_with_regulation
27,Milo,forward lean,0.638603,tracks recovery object,hold position,I want to look at that pattern while I still feel safe.,False,inspect pattern,Milo: curious_exploring; forward lean; approach_novel_pattern
28,Sol,settled open stance,0.634937,tracks recovery object,approach care source,,False,recover and breathe,Sol: settled_recovering; settled open stance; continue_with_regulation
29,Ari,settled open stance,0.670135,tracks recovery object,approach care source,,False,recover and breathe,Ari: settled_recovering; settled open stance; continue_with_regulation
30,Fay,settled open stance,0.630488,tracks recovery object,approach care source,,False,recover and breathe,Fay: settled_recovering; settled open stance; continue_with_regulation
31,Sol,settled open stance,0.627345,tracks recovery object,hold position,,False,recover and breathe,Sol: settled_recovering; settled open stance; continue_with_regulation
32,Ari,settled open stance,0.644555,tracks recovery object,hold position,,False,recover and breathe,Ari: settled_recovering; settled open stance; seek_warmth
33,Fay,settled open stance,0.616556,tracks recovery object,hold position,,False,recover and breathe,Fay: settled_recovering; settled open stance; continue_with_regulation
