tick_id,day,settlement_id,resident_id,location,schedule_role,energy,fatigue,hunger,thirst,temperature,wetness,pain,comfort,safety,breath_rate,movement_effort,rest_debt,injury_degradation,dominant_need,visible_body_marker,frequency_hz,flower_phase,private_workspace_sealed,bounded_need_update
0,1,cinder_garden,Juno,seed shelf,ember tender,0.71,0.2016,0.209,0.19,0.56,0.04,0.04052,0.717237,0.74,13.29912,0.031529,0.162419,0.020081,safety,turns toward shelter route,13.433942,0.0889,True,True
1,1,lichen_bridge,Luma,meal room,rope weaver,0.704,0.20592,0.211,0.19,0.44,0.19,0.04252,0.689677,0.67,13.63432,0.040565,0.162471,0.020085,safety,turns toward shelter route,12.397884,0.082444,True,True
2,1,orchid_engine,Dax,meal shelf,orchid keeper,0.698,0.21024,0.213,0.19,0.5,0.18,0.04184,0.691346,0.69,13.59344,0.046353,0.162523,0.020084,safety,turns toward shelter route,14.89772,0.112589,True,True
3,1,moss_ward,Tala,tool nook,water carrier,0.692,0.21456,0.209,0.19,0.51,0.16,0.04158,0.695467,0.71,13.55508,0.051948,0.162575,0.020083,safety,turns toward shelter route,10.418388,0.072933,True,True
4,1,glass_harbor,Nia,lamp pier,net mender,0.71,0.2016,0.211,0.19,0.41,0.26,0.04338,0.676939,0.66,13.63628,0.035981,0.162419,0.026087,safety,turns toward shelter route,11.755204,0.091178,True,True
5,1,cinder_garden,Pax,seed shelf,seed sorter,0.704,0.20592,0.213,0.19,0.56,0.04,0.04052,0.716757,0.74,13.34232,0.037529,0.162471,0.020081,safety,turns toward shelter route,14.401524,0.123622,True,True
6,1,lichen_bridge,Rin,meal room,signal keeper,0.698,0.21024,0.209,0.19,0.41,0.2296,0.043137,0.68269,0.67,13.681221,0.047368,0.162523,0.020086,safety,turns toward shelter route,12.226688,0.117167,True,True
7,1,orchid_engine,Eli,meal shelf,meal runner,0.692,0.21456,0.211,0.19,0.488,0.216,0.042248,0.68504,0.69,13.639088,0.05308,0.162575,0.020084,safety,turns toward shelter route,14.72611,0.147311,True,True
8,1,moss_ward,Ari,tool nook,cook,0.71,0.2016,0.213,0.19,0.4968,0.1888,0.041942,0.689745,0.71,13.427654,0.034531,0.162419,0.020084,safety,turns toward shelter route,10.176358,0.107656,True,True
9,1,glass_harbor,Oren,lamp pier,salt washer,0.704,0.20592,0.209,0.19,0.371,0.3248,0.044288,0.66537,0.66,13.68493,0.043293,0.162471,0.026089,safety,turns toward shelter route,11.584585,0.1259,True,True
10,1,cinder_garden,Vale,seed shelf,ash sweeper,0.698,0.21024,0.211,0.19,0.566,0.04,0.04058,0.716987,0.74,13.38588,0.04353,0.162523,0.020081,safety,turns toward shelter route,14.229225,0.158344,True,True
11,1,lichen_bridge,Sol,meal room,meal marker,0.692,0.21456,0.213,0.19,0.41,0.2296,0.043137,0.68221,0.67,13.724421,0.053368,0.162575,0.020086,safety,turns toward shelter route,13.19427,0.151889,True,True
12,1,orchid_engine,Bea,meal shelf,valve listener,0.71,0.2016,0.209,0.19,0.488,0.18,0.04196,0.691806,0.69,13.50776,0.034355,0.162419,0.020084,safety,turns toward shelter route,14.482793,0.182033,True,True
13,1,moss_ward,Fay,tool nook,path watcher,0.704,0.20592,0.211,0.19,0.501,0.1888,0.0419,0.689992,0.71,13.470602,0.04053,0.162471,0.020084,safety,turns toward shelter route,10.003857,0.142378,True,True
14,1,glass_harbor,Puck,lamp pier,lamp guard,0.698,0.21024,0.213,0.19,0.371,0.3248,0.044288,0.66489,0.66,13.72813,0.049293,0.162523,0.026089,safety,turns toward shelter route,11.412168,0.160622,True,True
15,1,cinder_garden,Wren,seed shelf,shade caller,0.692,0.21456,0.209,0.19,0.56,0.04,0.04052,0.717237,0.74,13.42872,0.049529,0.162575,0.020081,safety,turns toward shelter route,14.056689,0.193067,True,True
16,1,lichen_bridge,Kio,meal room,bridge caller,0.71,0.2016,0.211,0.19,0.396,0.2296,0.043277,0.682428,0.67,13.595661,0.035371,0.162419,0.020087,safety,turns toward shelter route,12.9518,0.186611,True,True
17,1,orchid_engine,Cai,meal shelf,gear washer,0.704,0.20592,0.213,0.19,0.488,0.216,0.042248,0.6848,0.69,13.552688,0.04108,0.162471,0.020084,safety,turns toward shelter route,15.450945,0.216756,True,True
18,2,glass_harbor,Nia,net room,net mender,0.68,0.2232,0.22,0.2,0.43,0.28,0.04672,0.671905,0.64,13.95232,0.036441,0.165098,0.02618,safety,turns toward shelter route,11.11613,0.1884,True,True
