tick,day,loop_id,recalling_agent,remembered_ceremony,days_since_ceremony,recall_weight,ceremony_reused_in_dialogue,remembered_boundary,public_memory_only
0,1,v18-loop-001,Keth,none,0,0.0,0,none,1
1,1,v18-loop-001,Melo,none,0,0.0,0,none,1
2,1,v18-loop-001,Nari,none,0,0.0,0,none,1
3,1,v18-loop-001,Ori,none,0,0.0,0,none,1
4,1,v18-loop-001,Vonn,none,0,0.0,0,none,1
5,1,v18-loop-001,Sova,none,0,0.0,0,none,1
6,1,v18-loop-002,Keth,none,0,0.0,0,none,1
7,1,v18-loop-002,Melo,none,0,0.0,0,none,1
8,1,v18-loop-002,Nari,none,0,0.0,0,none,1
9,1,v18-loop-002,Ori,none,0,0.0,0,none,1
10,1,v18-loop-002,Vonn,none,0,0.0,0,none,1
11,1,v18-loop-002,Sova,none,0,0.0,0,none,1
12,2,v18-loop-003,Melo,v18-ceremony-d01-t07,1,0.936,1,fair turns before tool access,1
13,2,v18-loop-003,Nari,v18-ceremony-d01-t09,1,0.906,1,repair work needs warning,1
14,2,v18-loop-003,Ori,v18-ceremony-d01-t10,1,0.906,1,quiet recovery needs distance,1
15,2,v18-loop-003,Vonn,v18-ceremony-d01-t11,1,0.906,1,no crowding while resting,1
16,2,v18-loop-003,Sova,v18-ceremony-d01-t02,1,0.936,1,sealed notes stay sealed,1
17,2,v18-loop-003,Keth,v18-ceremony-d01-t03,1,0.906,1,repair work needs warning,1
18,2,v18-loop-004,Melo,v18-ceremony-d01-t05,1,0.906,1,no crowding while resting,1
19,2,v18-loop-004,Nari,v18-ceremony-d01-t06,1,0.906,1,do not erase route warnings,1
20,2,v18-loop-004,Ori,v18-ceremony-d01-t07,1,0.936,1,fair turns before tool access,1
21,2,v18-loop-004,Vonn,v18-ceremony-d01-t09,1,0.906,1,repair work needs warning,1
22,2,v18-loop-004,Sova,v18-ceremony-d01-t10,1,0.906,1,quiet recovery needs distance,1
23,2,v18-loop-004,Keth,v18-ceremony-d01-t11,1,0.906,1,no crowding while resting,1
24,3,v18-loop-005,Nari,v18-ceremony-d01-t10,2,0.912,1,quiet recovery needs distance,1
25,3,v18-loop-005,Ori,v18-ceremony-d01-t11,2,0.882,0,no crowding while resting,1
26,3,v18-loop-005,Vonn,v18-ceremony-d02-t01,1,0.906,1,sealed notes stay sealed,1
27,3,v18-loop-005,Sova,v18-ceremony-d02-t02,1,0.906,1,repair work needs warning,1
28,3,v18-loop-005,Keth,v18-ceremony-d02-t03,1,0.936,1,quiet recovery needs distance,1
29,3,v18-loop-005,Melo,v18-ceremony-d02-t04,1,0.906,1,no crowding while resting,1
30,3,v18-loop-006,Nari,v18-ceremony-d02-t05,1,0.906,1,do not erase route warnings,1
31,3,v18-loop-006,Ori,v18-ceremony-d02-t06,1,0.906,1,fair turns before tool access,1
32,3,v18-loop-006,Vonn,v18-ceremony-d02-t07,1,0.936,1,sealed notes stay sealed,1
33,3,v18-loop-006,Sova,v18-ceremony-d02-t09,1,0.906,1,quiet recovery needs distance,1
34,3,v18-loop-006,Keth,v18-ceremony-d02-t10,1,0.906,1,no crowding while resting,1
35,3,v18-loop-006,Melo,v18-ceremony-d02-t11,1,0.906,1,do not erase route warnings,1
36,4,v18-loop-007,Ori,v18-ceremony-d02-t02,2,0.912,1,repair work needs warning,1
37,4,v18-loop-007,Vonn,v18-ceremony-d02-t03,2,0.882,1,quiet recovery needs distance,1
38,4,v18-loop-007,Sova,v18-ceremony-d02-t04,2,0.882,1,no crowding while resting,1
39,4,v18-loop-007,Keth,v18-ceremony-d02-t05,2,0.882,1,do not erase route warnings,1
40,4,v18-loop-007,Melo,v18-ceremony-d02-t06,2,0.912,1,fair turns before tool access,1
41,4,v18-loop-007,Nari,v18-ceremony-d02-t07,2,0.882,1,sealed notes stay sealed,1
42,4,v18-loop-008,Ori,v18-ceremony-d02-t09,2,0.882,1,quiet recovery needs distance,1
43,4,v18-loop-008,Vonn,v18-ceremony-d02-t10,2,0.882,1,no crowding while resting,1
44,4,v18-loop-008,Sova,v18-ceremony-d02-t11,2,0.912,0,do not erase route warnings,1
