resolution_id,source_utterance_id,agent_id,due_day,consequence_kind,resolved_action,schedule_effect_seen,relationship_effect_seen,goal_effect_seen,resolution_strength
res_u_1_ka60,u_1_ka60,ka60,2,goal_schedule_relationship_carryover,"day 2 applies goal, schedule, and relationship result from u_1_ka60",True,True,True,0.82
res_u_1_mu61,u_1_mu61,mu61,2,goal_schedule_relationship_carryover,"day 2 applies goal, schedule, and relationship result from u_1_mu61",True,True,True,0.865
res_u_1_lo62,u_1_lo62,lo62,2,goal_schedule_relationship_carryover,"day 2 applies goal, schedule, and relationship result from u_1_lo62",True,True,True,0.865
res_u_1_sa63,u_1_sa63,sa63,2,goal_schedule_relationship_carryover,"day 2 applies goal, schedule, and relationship result from u_1_sa63",True,True,True,0.865
res_u_1_ni64,u_1_ni64,ni64,2,goal_schedule_relationship_carryover,"day 2 applies goal, schedule, and relationship result from u_1_ni64",True,True,True,0.755
res_u_2_ka60,u_2_ka60,ka60,4,goal_schedule_relationship_carryover,"day 4 applies goal, schedule, and relationship result from u_2_ka60",True,True,True,0.845
res_u_2_mu61,u_2_mu61,mu61,4,goal_schedule_relationship_carryover,"day 4 applies goal, schedule, and relationship result from u_2_mu61",True,True,True,0.845
res_u_2_lo62,u_2_lo62,lo62,3,goal_schedule_relationship_carryover,"day 3 applies goal, schedule, and relationship result from u_2_lo62",True,True,True,0.865
res_u_2_sa63,u_2_sa63,sa63,3,goal_schedule_relationship_carryover,"day 3 applies goal, schedule, and relationship result from u_2_sa63",True,True,True,0.755
res_u_2_ni64,u_2_ni64,ni64,3,goal_schedule_relationship_carryover,"day 3 applies goal, schedule, and relationship result from u_2_ni64",True,True,True,0.82
res_u_3_ka60,u_3_ka60,ka60,4,goal_schedule_relationship_carryover,"day 4 applies goal, schedule, and relationship result from u_3_ka60",True,True,True,0.865
res_u_3_mu61,u_3_mu61,mu61,4,goal_schedule_relationship_carryover,"day 4 applies goal, schedule, and relationship result from u_3_mu61",True,True,True,0.865
res_u_3_lo62,u_3_lo62,lo62,4,goal_schedule_relationship_carryover,"day 4 applies goal, schedule, and relationship result from u_3_lo62",True,True,True,0.755
res_u_3_sa63,u_3_sa63,sa63,4,goal_schedule_relationship_carryover,"day 4 applies goal, schedule, and relationship result from u_3_sa63",True,True,True,0.82
res_u_3_ni64,u_3_ni64,ni64,4,goal_schedule_relationship_carryover,"day 4 applies goal, schedule, and relationship result from u_3_ni64",True,True,True,0.82
res_u_5_ka60,u_5_ka60,ka60,6,goal_schedule_relationship_carryover,"day 6 applies goal, schedule, and relationship result from u_5_ka60",True,True,True,0.755
res_u_5_mu61,u_5_mu61,mu61,6,goal_schedule_relationship_carryover,"day 6 applies goal, schedule, and relationship result from u_5_mu61",True,True,True,0.82
res_u_5_lo62,u_5_lo62,lo62,7,goal_schedule_relationship_carryover,"day 7 applies goal, schedule, and relationship result from u_5_lo62",True,True,True,0.8
res_u_5_sa63,u_5_sa63,sa63,7,goal_schedule_relationship_carryover,"day 7 applies goal, schedule, and relationship result from u_5_sa63",True,True,True,0.845
res_u_5_ni64,u_5_ni64,ni64,7,goal_schedule_relationship_carryover,"day 7 applies goal, schedule, and relationship result from u_5_ni64",True,True,True,0.845
res_u_8_ka60,u_8_ka60,ka60,9,goal_schedule_relationship_carryover,"day 9 applies goal, schedule, and relationship result from u_8_ka60",True,True,True,0.865
res_u_8_mu61,u_8_mu61,mu61,9,goal_schedule_relationship_carryover,"day 9 applies goal, schedule, and relationship result from u_8_mu61",True,True,True,0.865
res_u_8_lo62,u_8_lo62,lo62,9,goal_schedule_relationship_carryover,"day 9 applies goal, schedule, and relationship result from u_8_lo62",True,True,True,0.865
res_u_8_sa63,u_8_sa63,sa63,9,goal_schedule_relationship_carryover,"day 9 applies goal, schedule, and relationship result from u_8_sa63",True,True,True,0.755
res_u_8_ni64,u_8_ni64,ni64,9,goal_schedule_relationship_carryover,"day 9 applies goal, schedule, and relationship result from u_8_ni64",True,True,True,0.82
res_u_13_ka60,u_13_ka60,ka60,13,goal_schedule_relationship_carryover,"day 13 applies goal, schedule, and relationship result from u_13_ka60",True,True,True,0.82
res_u_13_mu61,u_13_mu61,mu61,13,goal_schedule_relationship_carryover,"day 13 applies goal, schedule, and relationship result from u_13_mu61",True,True,True,0.865
res_u_13_lo62,u_13_lo62,lo62,13,goal_schedule_relationship_carryover,"day 13 applies goal, schedule, and relationship result from u_13_lo62",True,True,True,0.865
res_u_13_sa63,u_13_sa63,sa63,13,goal_schedule_relationship_carryover,"day 13 applies goal, schedule, and relationship result from u_13_sa63",True,True,True,0.865
res_u_13_ni64,u_13_ni64,ni64,13,goal_schedule_relationship_carryover,"day 13 applies goal, schedule, and relationship result from u_13_ni64",True,True,True,0.755
