sensory_tick_id,tick_index,place,visual,sound,smell,temperature_c,wetness,pain_risk,comfort,vibration_hz,body_state
sense_001,1,threshold,"threshold marks, avatar path, agent body posture, flower phase vesica","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.212,0.1224,"warm alcove, dry route marker, or step-back consent space",2.24936,energy=0.933; wetness=0.212; pain=0.122
sense_002,2,threshold,"threshold marks, avatar path, agent body posture, flower phase triad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.224,0.1248,"warm alcove, dry route marker, or step-back consent space",2.44272,energy=0.926; wetness=0.224; pain=0.125
sense_003,3,threshold,"threshold marks, avatar path, agent body posture, flower phase square","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.236,0.1272,"warm alcove, dry route marker, or step-back consent space",2.63608,energy=0.918; wetness=0.236; pain=0.127
sense_004,4,threshold,"threshold marks, avatar path, agent body posture, flower phase pentad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.248,0.1296,"warm alcove, dry route marker, or step-back consent space",2.82944,energy=0.921; wetness=0.248; pain=0.130
sense_005,5,threshold,"threshold marks, avatar path, agent body posture, flower phase hexad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.26,0.132,"warm alcove, dry route marker, or step-back consent space",3.0228,energy=0.914; wetness=0.260; pain=0.132
sense_006,6,threshold,"threshold marks, avatar path, agent body posture, flower phase flower","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.272,0.1344,"warm alcove, dry route marker, or step-back consent space",3.21616,energy=0.907; wetness=0.272; pain=0.134
sense_007,7,threshold,"threshold marks, avatar path, agent body posture, flower phase fruit","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.284,0.1368,"warm alcove, dry route marker, or step-back consent space",3.40952,energy=0.907; wetness=0.284; pain=0.137
sense_008,8,threshold,"threshold marks, avatar path, agent body posture, flower phase return","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.296,0.1392,"warm alcove, dry route marker, or step-back consent space",3.60288,energy=0.900; wetness=0.296; pain=0.139
sense_009,9,threshold,"threshold marks, avatar path, agent body posture, flower phase seed","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.308,0.1416,"warm alcove, dry route marker, or step-back consent space",2.08624,energy=0.893; wetness=0.308; pain=0.142
sense_010,10,threshold,"threshold marks, avatar path, agent body posture, flower phase vesica","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.32,0.144,"warm alcove, dry route marker, or step-back consent space",2.2796,energy=0.896; wetness=0.320; pain=0.144
sense_011,11,threshold,"threshold marks, avatar path, agent body posture, flower phase triad","interval tick, market murmur, wheel pulse, typed reply chime","moss, copper, seed oil, wet stone, chalk, shell dust",13.7,0.332,0.1464,"warm alcove, dry route marker, or step-back consent space",2.47296,energy=0.888; wetness=0.332; pain=0.146
