scenario,agent,episodes,pre_success_rate,post_success_rate,mean_recovery_steps_successes,mean_post_distance,mean_final_distance,mean_total_loss,post_gain_mae,post_wind_mae
mixed_hidden,factorized_self_world,500,1.0,1.0,7.424,10.789041666666666,0.0,381.38000000000005,0.17794808150731165,0.6662295039674272
mixed_hidden,history_action_table,500,0.904,0.744,9.86021505376344,13.50675,3.882,466.8885,,
mixed_hidden,oracle_hidden_state,500,1.0,1.0,4.998,4.786625,0.0,143.86439999999996,0.0,0.0
mixed_hidden,reactive_world_only,500,0.71,0.664,6.792168674698795,78.10758333333332,113.464,2249.1795,,
mixed_hidden,self_state_ablation,500,0.354,0.436,6.201834862385321,27.868333333333332,29.065,950.4341,0.2583918203491777,3.492344891049909
mixed_hidden,world_drift_only,500,0.354,0.44,6.65,28.125,29.881,956.6653,0.752,5.356877876984127
self_drift,factorized_self_world,500,1.0,1.0,8.0,12.251333333333333,0.0,407.09040000000005,0.42133333333333334,0.7834166666666667
self_drift,history_action_table,500,1.0,0.672,8.976190476190476,13.9475,2.46,447.15,,
self_drift,oracle_hidden_state,500,1.0,1.0,5.0,4.8975,0.0,137.708,0.0,0.0
self_drift,reactive_world_only,500,1.0,0.66,7.012121212121212,88.51941666666667,143.458,2150.6194,,
self_drift,self_state_ablation,500,1.0,0.0,,56.82,60.0,1482.84,0.3366666666666666,5.05
self_drift,world_drift_only,500,1.0,0.0,,56.82,60.0,1482.84,1.01,7.575
static_goal_switch,factorized_self_world,500,1.0,1.0,4.0,3.75,0.0,201.06,0.0,0.0
static_goal_switch,history_action_table,500,1.0,1.0,4.0,3.75,0.0,201.06,,
static_goal_switch,oracle_hidden_state,500,1.0,1.0,4.0,3.75,0.0,109.5,0.0,0.0
static_goal_switch,reactive_world_only,500,1.0,1.0,4.0,3.75,0.0,109.5,,
static_goal_switch,self_state_ablation,500,1.0,1.0,4.0,3.75,0.0,201.06,0.0,0.0
static_goal_switch,world_drift_only,500,1.0,1.0,4.0,3.75,0.0,201.06,0.0,0.0
world_drift,factorized_self_world,500,1.0,1.0,4.454,4.004166666666667,0.0,207.88600000000005,0.02388601585884862,0.3510886465655637
world_drift,history_action_table,500,1.0,1.0,9.952,7.230083333333333,4.476,285.683,,
world_drift,oracle_hidden_state,500,1.0,1.0,4.454,3.825,0.0,112.77759999999992,0.0,0.0
world_drift,reactive_world_only,500,1.0,1.0,4.454,5.11625,1.508,143.77519999999996,,
world_drift,self_state_ablation,500,1.0,1.0,4.454,4.0135,0.0,208.16460000000006,0.023736099514245896,0.35025981834539827
world_drift,world_drift_only,500,1.0,1.0,4.454,3.93175,0.0,206.17420000000004,0.0,0.21991666666666668
