tick_id,day,settlement_id,pathfinding_panel,affordance_chain_panel,routine_panel,pain_rest_care_panel,dialect_memory_panel,localstorage_panel,visible_boundary_notice,save_restore_key,replay_key
0,1,riverbend,True,True,True,True,True,True,True,ssrm.v40.world.riverbend,ssrm.v40.replay.0000
1,1,roofward,True,True,True,True,True,True,True,ssrm.v40.world.roofward,ssrm.v40.replay.0001
2,1,archive,True,True,True,True,True,True,True,ssrm.v40.world.archive,ssrm.v40.replay.0002
3,1,signal,True,True,True,True,True,True,True,ssrm.v40.world.signal,ssrm.v40.replay.0003
4,1,orchard,True,True,True,True,True,True,True,ssrm.v40.world.orchard,ssrm.v40.replay.0004
5,1,repair_ring,True,True,True,True,True,True,True,ssrm.v40.world.repair_ring,ssrm.v40.replay.0005
6,1,riverbend,True,True,True,True,True,True,True,ssrm.v40.world.riverbend,ssrm.v40.replay.0006
7,1,roofward,True,True,True,True,True,True,True,ssrm.v40.world.roofward,ssrm.v40.replay.0007
8,1,archive,True,True,True,True,True,True,True,ssrm.v40.world.archive,ssrm.v40.replay.0008
9,1,signal,True,True,True,True,True,True,True,ssrm.v40.world.signal,ssrm.v40.replay.0009
10,1,orchard,True,True,True,True,True,True,True,ssrm.v40.world.orchard,ssrm.v40.replay.0010
11,1,repair_ring,True,True,True,True,True,True,True,ssrm.v40.world.repair_ring,ssrm.v40.replay.0011
12,2,riverbend,True,True,True,True,True,True,True,ssrm.v40.world.riverbend,ssrm.v40.replay.0012
13,2,roofward,True,True,True,True,True,True,True,ssrm.v40.world.roofward,ssrm.v40.replay.0013
14,2,archive,True,True,True,True,True,True,True,ssrm.v40.world.archive,ssrm.v40.replay.0014
15,2,signal,True,True,True,True,True,True,True,ssrm.v40.world.signal,ssrm.v40.replay.0015
16,2,orchard,True,True,True,True,True,True,True,ssrm.v40.world.orchard,ssrm.v40.replay.0016
17,2,repair_ring,True,True,True,True,True,True,True,ssrm.v40.world.repair_ring,ssrm.v40.replay.0017
18,2,riverbend,True,True,True,True,True,True,True,ssrm.v40.world.riverbend,ssrm.v40.replay.0018
19,2,roofward,True,True,True,True,True,True,True,ssrm.v40.world.roofward,ssrm.v40.replay.0019
20,2,archive,True,True,True,True,True,True,True,ssrm.v40.world.archive,ssrm.v40.replay.0020
21,2,signal,True,True,True,True,True,True,True,ssrm.v40.world.signal,ssrm.v40.replay.0021
22,2,orchard,True,True,True,True,True,True,True,ssrm.v40.world.orchard,ssrm.v40.replay.0022
23,2,repair_ring,True,True,True,True,True,True,True,ssrm.v40.world.repair_ring,ssrm.v40.replay.0023
24,3,riverbend,True,True,True,True,True,True,True,ssrm.v40.world.riverbend,ssrm.v40.replay.0024
25,3,roofward,True,True,True,True,True,True,True,ssrm.v40.world.roofward,ssrm.v40.replay.0025
26,3,archive,True,True,True,True,True,True,True,ssrm.v40.world.archive,ssrm.v40.replay.0026
27,3,signal,True,True,True,True,True,True,True,ssrm.v40.world.signal,ssrm.v40.replay.0027
28,3,orchard,True,True,True,True,True,True,True,ssrm.v40.world.orchard,ssrm.v40.replay.0028
29,3,repair_ring,True,True,True,True,True,True,True,ssrm.v40.world.repair_ring,ssrm.v40.replay.0029
30,3,riverbend,True,True,True,True,True,True,True,ssrm.v40.world.riverbend,ssrm.v40.replay.0030
31,3,roofward,True,True,True,True,True,True,True,ssrm.v40.world.roofward,ssrm.v40.replay.0031
32,3,archive,True,True,True,True,True,True,True,ssrm.v40.world.archive,ssrm.v40.replay.0032
33,3,signal,True,True,True,True,True,True,True,ssrm.v40.world.signal,ssrm.v40.replay.0033
34,3,orchard,True,True,True,True,True,True,True,ssrm.v40.world.orchard,ssrm.v40.replay.0034
35,3,repair_ring,True,True,True,True,True,True,True,ssrm.v40.world.repair_ring,ssrm.v40.replay.0035
36,4,riverbend,True,True,True,True,True,True,True,ssrm.v40.world.riverbend,ssrm.v40.replay.0036
37,4,roofward,True,True,True,True,True,True,True,ssrm.v40.world.roofward,ssrm.v40.replay.0037
38,4,archive,True,True,True,True,True,True,True,ssrm.v40.world.archive,ssrm.v40.replay.0038
39,4,signal,True,True,True,True,True,True,True,ssrm.v40.world.signal,ssrm.v40.replay.0039
40,4,orchard,True,True,True,True,True,True,True,ssrm.v40.world.orchard,ssrm.v40.replay.0040
41,4,repair_ring,True,True,True,True,True,True,True,ssrm.v40.world.repair_ring,ssrm.v40.replay.0041
42,4,riverbend,True,True,True,True,True,True,True,ssrm.v40.world.riverbend,ssrm.v40.replay.0042
43,4,roofward,True,True,True,True,True,True,True,ssrm.v40.world.roofward,ssrm.v40.replay.0043
44,4,archive,True,True,True,True,True,True,True,ssrm.v40.world.archive,ssrm.v40.replay.0044
45,4,signal,True,True,True,True,True,True,True,ssrm.v40.world.signal,ssrm.v40.replay.0045
46,4,orchard,True,True,True,True,True,True,True,ssrm.v40.world.orchard,ssrm.v40.replay.0046
47,4,repair_ring,True,True,True,True,True,True,True,ssrm.v40.world.repair_ring,ssrm.v40.replay.0047
48,5,riverbend,True,True,True,True,True,True,True,ssrm.v40.world.riverbend,ssrm.v40.replay.0048
49,5,roofward,True,True,True,True,True,True,True,ssrm.v40.world.roofward,ssrm.v40.replay.0049
50,5,archive,True,True,True,True,True,True,True,ssrm.v40.world.archive,ssrm.v40.replay.0050
51,5,signal,True,True,True,True,True,True,True,ssrm.v40.world.signal,ssrm.v40.replay.0051
52,5,orchard,True,True,True,True,True,True,True,ssrm.v40.world.orchard,ssrm.v40.replay.0052
53,5,repair_ring,True,True,True,True,True,True,True,ssrm.v40.world.repair_ring,ssrm.v40.replay.0053
54,5,riverbend,True,True,True,True,True,True,True,ssrm.v40.world.riverbend,ssrm.v40.replay.0054
55,5,roofward,True,True,True,True,True,True,True,ssrm.v40.world.roofward,ssrm.v40.replay.0055
56,5,archive,True,True,True,True,True,True,True,ssrm.v40.world.archive,ssrm.v40.replay.0056
57,5,signal,True,True,True,True,True,True,True,ssrm.v40.world.signal,ssrm.v40.replay.0057
58,5,orchard,True,True,True,True,True,True,True,ssrm.v40.world.orchard,ssrm.v40.replay.0058
59,5,repair_ring,True,True,True,True,True,True,True,ssrm.v40.world.repair_ring,ssrm.v40.replay.0059
60,6,riverbend,True,True,True,True,True,True,True,ssrm.v40.world.riverbend,ssrm.v40.replay.0060
61,6,roofward,True,True,True,True,True,True,True,ssrm.v40.world.roofward,ssrm.v40.replay.0061
62,6,archive,True,True,True,True,True,True,True,ssrm.v40.world.archive,ssrm.v40.replay.0062
63,6,signal,True,True,True,True,True,True,True,ssrm.v40.world.signal,ssrm.v40.replay.0063
64,6,orchard,True,True,True,True,True,True,True,ssrm.v40.world.orchard,ssrm.v40.replay.0064
65,6,repair_ring,True,True,True,True,True,True,True,ssrm.v40.world.repair_ring,ssrm.v40.replay.0065
66,6,riverbend,True,True,True,True,True,True,True,ssrm.v40.world.riverbend,ssrm.v40.replay.0066
67,6,roofward,True,True,True,True,True,True,True,ssrm.v40.world.roofward,ssrm.v40.replay.0067
68,6,archive,True,True,True,True,True,True,True,ssrm.v40.world.archive,ssrm.v40.replay.0068
69,6,signal,True,True,True,True,True,True,True,ssrm.v40.world.signal,ssrm.v40.replay.0069
70,6,orchard,True,True,True,True,True,True,True,ssrm.v40.world.orchard,ssrm.v40.replay.0070
71,6,repair_ring,True,True,True,True,True,True,True,ssrm.v40.world.repair_ring,ssrm.v40.replay.0071
72,7,riverbend,True,True,True,True,True,True,True,ssrm.v40.world.riverbend,ssrm.v40.replay.0072
73,7,roofward,True,True,True,True,True,True,True,ssrm.v40.world.roofward,ssrm.v40.replay.0073
74,7,archive,True,True,True,True,True,True,True,ssrm.v40.world.archive,ssrm.v40.replay.0074
75,7,signal,True,True,True,True,True,True,True,ssrm.v40.world.signal,ssrm.v40.replay.0075
76,7,orchard,True,True,True,True,True,True,True,ssrm.v40.world.orchard,ssrm.v40.replay.0076
77,7,repair_ring,True,True,True,True,True,True,True,ssrm.v40.world.repair_ring,ssrm.v40.replay.0077
78,7,riverbend,True,True,True,True,True,True,True,ssrm.v40.world.riverbend,ssrm.v40.replay.0078
79,7,roofward,True,True,True,True,True,True,True,ssrm.v40.world.roofward,ssrm.v40.replay.0079
80,7,archive,True,True,True,True,True,True,True,ssrm.v40.world.archive,ssrm.v40.replay.0080
81,7,signal,True,True,True,True,True,True,True,ssrm.v40.world.signal,ssrm.v40.replay.0081
82,7,orchard,True,True,True,True,True,True,True,ssrm.v40.world.orchard,ssrm.v40.replay.0082
83,7,repair_ring,True,True,True,True,True,True,True,ssrm.v40.world.repair_ring,ssrm.v40.replay.0083
84,8,roofward,True,True,True,True,True,True,True,ssrm.v40.world.roofward,ssrm.v40.replay.0084
85,8,archive,True,True,True,True,True,True,True,ssrm.v40.world.archive,ssrm.v40.replay.0085
86,8,signal,True,True,True,True,True,True,True,ssrm.v40.world.signal,ssrm.v40.replay.0086
87,8,orchard,True,True,True,True,True,True,True,ssrm.v40.world.orchard,ssrm.v40.replay.0087
88,8,repair_ring,True,True,True,True,True,True,True,ssrm.v40.world.repair_ring,ssrm.v40.replay.0088
89,8,riverbend,True,True,True,True,True,True,True,ssrm.v40.world.riverbend,ssrm.v40.replay.0089
90,8,roofward,True,True,True,True,True,True,True,ssrm.v40.world.roofward,ssrm.v40.replay.0090
91,8,archive,True,True,True,True,True,True,True,ssrm.v40.world.archive,ssrm.v40.replay.0091
92,8,signal,True,True,True,True,True,True,True,ssrm.v40.world.signal,ssrm.v40.replay.0092
93,8,orchard,True,True,True,True,True,True,True,ssrm.v40.world.orchard,ssrm.v40.replay.0093
94,8,repair_ring,True,True,True,True,True,True,True,ssrm.v40.world.repair_ring,ssrm.v40.replay.0094
95,8,riverbend,True,True,True,True,True,True,True,ssrm.v40.world.riverbend,ssrm.v40.replay.0095
96,9,roofward,True,True,True,True,True,True,True,ssrm.v40.world.roofward,ssrm.v40.replay.0096
97,9,archive,True,True,True,True,True,True,True,ssrm.v40.world.archive,ssrm.v40.replay.0097
98,9,signal,True,True,True,True,True,True,True,ssrm.v40.world.signal,ssrm.v40.replay.0098
99,9,orchard,True,True,True,True,True,True,True,ssrm.v40.world.orchard,ssrm.v40.replay.0099
100,9,repair_ring,True,True,True,True,True,True,True,ssrm.v40.world.repair_ring,ssrm.v40.replay.0100
101,9,riverbend,True,True,True,True,True,True,True,ssrm.v40.world.riverbend,ssrm.v40.replay.0101
102,9,roofward,True,True,True,True,True,True,True,ssrm.v40.world.roofward,ssrm.v40.replay.0102
103,9,archive,True,True,True,True,True,True,True,ssrm.v40.world.archive,ssrm.v40.replay.0103
104,9,signal,True,True,True,True,True,True,True,ssrm.v40.world.signal,ssrm.v40.replay.0104
105,9,orchard,True,True,True,True,True,True,True,ssrm.v40.world.orchard,ssrm.v40.replay.0105
106,9,repair_ring,True,True,True,True,True,True,True,ssrm.v40.world.repair_ring,ssrm.v40.replay.0106
107,9,riverbend,True,True,True,True,True,True,True,ssrm.v40.world.riverbend,ssrm.v40.replay.0107
108,10,roofward,True,True,True,True,True,True,True,ssrm.v40.world.roofward,ssrm.v40.replay.0108
109,10,archive,True,True,True,True,True,True,True,ssrm.v40.world.archive,ssrm.v40.replay.0109
110,10,signal,True,True,True,True,True,True,True,ssrm.v40.world.signal,ssrm.v40.replay.0110
