tick_id,day,settlement_id,resident_id,avatar_action,consequence_type,trust_delta,respect_delta,access_delta,memory_written,persistent_key,visible_next_visit_effect,no_endless_distress
0,1,riverbend,Lio,ask_memory,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.riverbend.Lio,resident shares a more specific local word,True
1,1,roofward,Fay,rest_near_resident,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.roofward.Fay,resident approaches sooner on next visit,True
2,1,archive,Toma,enter_world,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.archive.Toma,resident recognizes the avatar,True
3,1,signal,Milo,ask_local_word,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.signal.Milo,resident shares a more specific local word,True
4,1,orchard,Mara,request_tool,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.orchard.Mara,resident keeps more distance on next visit,True
5,1,repair_ring,Juno,give_space,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.repair_ring.Juno,resident approaches sooner on next visit,True
6,1,riverbend,Lio,ask_local_word,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.riverbend.Lio,resident shares a more specific local word,True
7,1,roofward,Fay,request_tool,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.roofward.Fay,resident keeps more distance on next visit,True
8,1,archive,Toma,give_space,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.archive.Toma,resident approaches sooner on next visit,True
9,1,signal,Milo,ask_memory,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.signal.Milo,resident shares a more specific local word,True
10,1,orchard,Mara,rest_near_resident,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.orchard.Mara,resident approaches sooner on next visit,True
11,1,repair_ring,Juno,enter_world,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.repair_ring.Juno,resident recognizes the avatar,True
12,2,riverbend,Ari,mark_map,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.riverbend.Ari,resident shares a more specific local word,True
13,2,roofward,Sera,leave_gift,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.roofward.Sera,resident approaches sooner on next visit,True
14,2,archive,Nia,inspect_ritual,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.archive.Nia,resident shares a more specific local word,True
15,2,signal,Ren,offer_help,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.signal.Ren,resident approaches sooner on next visit,True
16,2,orchard,Ivo,move_near_object,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.orchard.Ivo,resident keeps more distance on next visit,True
17,2,repair_ring,Pax,follow_route,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.repair_ring.Pax,resident recognizes the avatar,True
18,2,riverbend,Ari,offer_help,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.riverbend.Ari,resident approaches sooner on next visit,True
19,2,roofward,Sera,move_near_object,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.roofward.Sera,resident keeps more distance on next visit,True
20,2,archive,Nia,follow_route,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.archive.Nia,resident recognizes the avatar,True
21,2,signal,Ren,mark_map,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.signal.Ren,resident shares a more specific local word,True
22,2,orchard,Ivo,leave_gift,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.orchard.Ivo,resident approaches sooner on next visit,True
23,2,repair_ring,Pax,inspect_ritual,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.repair_ring.Pax,resident shares a more specific local word,True
24,3,riverbend,Lio,rest_near_resident,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.riverbend.Lio,resident approaches sooner on next visit,True
25,3,roofward,Fay,enter_world,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.roofward.Fay,resident recognizes the avatar,True
26,3,archive,Toma,ask_local_word,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.archive.Toma,resident shares a more specific local word,True
27,3,signal,Milo,request_tool,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.signal.Milo,resident keeps more distance on next visit,True
28,3,orchard,Mara,give_space,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.orchard.Mara,resident approaches sooner on next visit,True
29,3,repair_ring,Juno,ask_memory,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.repair_ring.Juno,resident shares a more specific local word,True
30,3,riverbend,Lio,request_tool,boundary_pressure,-0.035,-0.045,-0.025,True,ssrm.v38.memory.riverbend.Lio,resident keeps more distance on next visit,True
31,3,roofward,Fay,give_space,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.roofward.Fay,resident approaches sooner on next visit,True
32,3,archive,Toma,ask_memory,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.archive.Toma,resident shares a more specific local word,True
33,3,signal,Milo,rest_near_resident,repair_or_care,0.04,0.05,0.03,True,ssrm.v38.memory.signal.Milo,resident approaches sooner on next visit,True
34,3,orchard,Mara,enter_world,neutral_entry,0.012,0.016,0.01,True,ssrm.v38.memory.orchard.Mara,resident recognizes the avatar,True
35,3,repair_ring,Juno,ask_local_word,cultural_attention,0.025,0.035,0.02,True,ssrm.v38.memory.repair_ring.Juno,resident shares a more specific local word,True
