tick_id,day,settlement_id,resident_goal_panel,object_task_request_panel,negotiated_plan_panel,refusal_help_panel,phrase_learning_panel,reload_panel,frequency_flower_panel,visible_boundary_notice,save_restore_key,replay_key
0,1,moss_ward,True,True,True,True,True,True,True,True,ssrm.v53.goals.moss_ward,ssrm.v53.replay.00000
1,1,glass_harbor,True,True,True,True,True,True,True,True,ssrm.v53.goals.glass_harbor,ssrm.v53.replay.00001
2,1,cinder_garden,True,True,True,True,True,True,True,True,ssrm.v53.goals.cinder_garden,ssrm.v53.replay.00002
3,1,lichen_bridge,True,True,True,True,True,True,True,True,ssrm.v53.goals.lichen_bridge,ssrm.v53.replay.00003
4,1,orchid_engine,True,True,True,True,True,True,True,True,ssrm.v53.goals.orchid_engine,ssrm.v53.replay.00004
5,1,moss_ward,True,True,True,True,True,True,True,True,ssrm.v53.goals.moss_ward,ssrm.v53.replay.00005
6,1,glass_harbor,True,True,True,True,True,True,True,True,ssrm.v53.goals.glass_harbor,ssrm.v53.replay.00006
7,1,cinder_garden,True,True,True,True,True,True,True,True,ssrm.v53.goals.cinder_garden,ssrm.v53.replay.00007
8,1,lichen_bridge,True,True,True,True,True,True,True,True,ssrm.v53.goals.lichen_bridge,ssrm.v53.replay.00008
9,1,orchid_engine,True,True,True,True,True,True,True,True,ssrm.v53.goals.orchid_engine,ssrm.v53.replay.00009
10,1,moss_ward,True,True,True,True,True,True,True,True,ssrm.v53.goals.moss_ward,ssrm.v53.replay.00010
11,1,glass_harbor,True,True,True,True,True,True,True,True,ssrm.v53.goals.glass_harbor,ssrm.v53.replay.00011
12,1,cinder_garden,True,True,True,True,True,True,True,True,ssrm.v53.goals.cinder_garden,ssrm.v53.replay.00012
13,1,lichen_bridge,True,True,True,True,True,True,True,True,ssrm.v53.goals.lichen_bridge,ssrm.v53.replay.00013
14,1,orchid_engine,True,True,True,True,True,True,True,True,ssrm.v53.goals.orchid_engine,ssrm.v53.replay.00014
15,1,moss_ward,True,True,True,True,True,True,True,True,ssrm.v53.goals.moss_ward,ssrm.v53.replay.00015
16,1,glass_harbor,True,True,True,True,True,True,True,True,ssrm.v53.goals.glass_harbor,ssrm.v53.replay.00016
17,1,cinder_garden,True,True,True,True,True,True,True,True,ssrm.v53.goals.cinder_garden,ssrm.v53.replay.00017
18,2,orchid_engine,True,True,True,True,True,True,True,True,ssrm.v53.goals.orchid_engine,ssrm.v53.replay.00018
19,2,moss_ward,True,True,True,True,True,True,True,True,ssrm.v53.goals.moss_ward,ssrm.v53.replay.00019
20,2,glass_harbor,True,True,True,True,True,True,True,True,ssrm.v53.goals.glass_harbor,ssrm.v53.replay.00020
21,2,cinder_garden,True,True,True,True,True,True,True,True,ssrm.v53.goals.cinder_garden,ssrm.v53.replay.00021
22,2,lichen_bridge,True,True,True,True,True,True,True,True,ssrm.v53.goals.lichen_bridge,ssrm.v53.replay.00022
23,2,orchid_engine,True,True,True,True,True,True,True,True,ssrm.v53.goals.orchid_engine,ssrm.v53.replay.00023
24,2,moss_ward,True,True,True,True,True,True,True,True,ssrm.v53.goals.moss_ward,ssrm.v53.replay.00024
25,2,glass_harbor,True,True,True,True,True,True,True,True,ssrm.v53.goals.glass_harbor,ssrm.v53.replay.00025
26,2,cinder_garden,True,True,True,True,True,True,True,True,ssrm.v53.goals.cinder_garden,ssrm.v53.replay.00026
27,2,lichen_bridge,True,True,True,True,True,True,True,True,ssrm.v53.goals.lichen_bridge,ssrm.v53.replay.00027
28,2,orchid_engine,True,True,True,True,True,True,True,True,ssrm.v53.goals.orchid_engine,ssrm.v53.replay.00028
29,2,moss_ward,True,True,True,True,True,True,True,True,ssrm.v53.goals.moss_ward,ssrm.v53.replay.00029
30,2,glass_harbor,True,True,True,True,True,True,True,True,ssrm.v53.goals.glass_harbor,ssrm.v53.replay.00030
31,2,cinder_garden,True,True,True,True,True,True,True,True,ssrm.v53.goals.cinder_garden,ssrm.v53.replay.00031
32,2,lichen_bridge,True,True,True,True,True,True,True,True,ssrm.v53.goals.lichen_bridge,ssrm.v53.replay.00032
33,2,orchid_engine,True,True,True,True,True,True,True,True,ssrm.v53.goals.orchid_engine,ssrm.v53.replay.00033
34,2,moss_ward,True,True,True,True,True,True,True,True,ssrm.v53.goals.moss_ward,ssrm.v53.replay.00034
35,2,glass_harbor,True,True,True,True,True,True,True,True,ssrm.v53.goals.glass_harbor,ssrm.v53.replay.00035
36,3,lichen_bridge,True,True,True,True,True,True,True,True,ssrm.v53.goals.lichen_bridge,ssrm.v53.replay.00036
37,3,orchid_engine,True,True,True,True,True,True,True,True,ssrm.v53.goals.orchid_engine,ssrm.v53.replay.00037
38,3,moss_ward,True,True,True,True,True,True,True,True,ssrm.v53.goals.moss_ward,ssrm.v53.replay.00038
39,3,glass_harbor,True,True,True,True,True,True,True,True,ssrm.v53.goals.glass_harbor,ssrm.v53.replay.00039
