tick_id,day,project_id,owner,sight_cue,sound_cue,body_cue,material_cue,weather_cue,sensory_bound_to_project
0,1,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,planks ledger,warm light,true
1,1,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,water ledger,dusk chill,true
2,1,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,quiet rain,true
3,1,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,cold floor,true
4,1,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,clear air,true
5,1,herb_roof_garden,Fay,stacked materials,tool scrape,steady posture,compost ledger,dry wind,true
6,1,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,warm light,true
7,1,archive_weather_log,Nia,stacked materials,tool scrape,steady posture,paper ledger,dusk chill,true
8,1,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,quiet rain,true
9,1,herb_roof_garden,Fay,stacked materials,agent call,steady posture,seed ledger,cold floor,true
10,1,north_lantern_relay,Milo,stacked materials,tool scrape,steady posture,glass ledger,clear air,true
11,1,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,dry wind,true
12,1,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,warm light,true
13,1,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,dusk chill,true
14,1,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,quiet rain,true
15,1,archive_weather_log,Nia,stacked materials,tool scrape,steady posture,ink ledger,cold floor,true
16,1,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,resin ledger,clear air,true
17,1,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,compost ledger,dry wind,true
18,2,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,oil ledger,dusk chill,true
19,2,archive_weather_log,Nia,idle project card,quiet rest,resting posture,paper ledger,quiet rain,true
20,2,west_bridge_repair,Ari,stacked materials,tool scrape,steady posture,rope ledger,cold floor,true
21,2,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,clear air,true
22,2,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,dry wind,true
23,2,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,warm light,true
24,2,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,dusk chill,true
25,2,herb_roof_garden,Fay,stacked materials,tool scrape,steady posture,water ledger,quiet rain,true
26,2,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,cold floor,true
27,2,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,clear air,true
28,2,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,dry wind,true
29,2,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,warm light,true
30,2,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,dusk chill,true
31,2,archive_weather_log,Nia,stacked materials,agent call,steady posture,paper ledger,quiet rain,true
32,2,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,cold floor,true
33,2,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,clear air,true
34,2,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,glass ledger,dry wind,true
35,2,archive_weather_log,Nia,idle project card,tool scrape,steady posture,thread ledger,warm light,true
36,3,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,seed ledger,quiet rain,true
37,3,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,glass ledger,cold floor,true
38,3,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,clear air,true
39,3,west_bridge_repair,Ari,stacked materials,tool scrape,steady posture,planks ledger,dry wind,true
40,3,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,warm light,true
41,3,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,dusk chill,true
42,3,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,quiet rain,true
43,3,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,cold floor,true
44,3,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,clear air,true
45,3,north_lantern_relay,Milo,stacked materials,tool scrape,steady posture,oil ledger,dry wind,true
46,3,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,warm light,true
47,3,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,dusk chill,true
48,3,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,quiet rain,true
49,3,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,cold floor,true
50,3,archive_weather_log,Nia,stacked materials,tool scrape,steady posture,thread ledger,clear air,true
51,3,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,dry wind,true
52,3,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,water ledger,warm light,true
53,3,north_lantern_relay,Milo,idle project card,tool scrape,steady posture,wire ledger,dusk chill,true
54,4,archive_weather_log,Nia,idle project card,quiet rest,resting posture,ink ledger,cold floor,true
55,4,west_bridge_repair,Ari,idle project card,tool scrape,steady posture,resin ledger,clear air,true
56,4,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,dry wind,true
57,4,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,warm light,true
58,4,archive_weather_log,Nia,stacked materials,tool scrape,steady posture,paper ledger,dusk chill,true
59,4,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,quiet rain,true
60,4,herb_roof_garden,Fay,stacked materials,tool scrape,steady posture,seed ledger,cold floor,true
61,4,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,clear air,true
62,4,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,dry wind,true
63,4,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,warm light,true
64,4,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,dusk chill,true
65,4,north_lantern_relay,Milo,stacked materials,tool scrape,steady posture,wire ledger,quiet rain,true
66,4,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,cold floor,true
67,4,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,clear air,true
68,4,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,dry wind,true
69,4,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,warm light,true
70,4,archive_weather_log,Nia,idle project card,quiet rest,resting posture,paper ledger,dusk chill,true
71,4,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,rope ledger,quiet rain,true
72,5,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,seed ledger,clear air,true
73,5,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,glass ledger,dry wind,true
74,5,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,warm light,true
75,5,west_bridge_repair,Ari,stacked materials,tool scrape,steady posture,planks ledger,dusk chill,true
76,5,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,quiet rain,true
77,5,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,cold floor,true
78,5,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,clear air,true
79,5,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,dry wind,true
80,5,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,warm light,true
81,5,north_lantern_relay,Milo,stacked materials,tool scrape,steady posture,oil ledger,dusk chill,true
82,5,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,quiet rain,true
83,5,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,cold floor,true
84,5,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,clear air,true
85,5,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,dry wind,true
86,5,archive_weather_log,Nia,stacked materials,tool scrape,steady posture,thread ledger,warm light,true
87,5,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,dusk chill,true
88,5,herb_roof_garden,Fay,idle project card,tool scrape,steady posture,water ledger,quiet rain,true
89,5,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,wire ledger,cold floor,true
90,6,west_bridge_repair,Ari,idle project card,quiet rest,resting posture,planks ledger,dry wind,true
91,6,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,water ledger,warm light,true
92,6,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,dusk chill,true
93,6,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,quiet rain,true
94,6,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,cold floor,true
95,6,herb_roof_garden,Fay,stacked materials,agent call,steady posture,compost ledger,clear air,true
96,6,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,dry wind,true
97,6,archive_weather_log,Nia,idle project card,ambient room,resting posture,paper ledger,warm light,true
98,6,west_bridge_repair,Ari,idle project card,ambient room,resting posture,rope ledger,dusk chill,true
99,6,herb_roof_garden,Fay,idle project card,ambient room,resting posture,seed ledger,quiet rain,true
100,6,north_lantern_relay,Milo,stacked materials,tool scrape,steady posture,glass ledger,cold floor,true
101,6,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,clear air,true
102,6,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,dry wind,true
103,6,herb_roof_garden,Fay,idle project card,ambient room,resting posture,water ledger,warm light,true
104,6,north_lantern_relay,Milo,stacked materials,tool scrape,steady posture,wire ledger,dusk chill,true
105,6,archive_weather_log,Nia,stacked materials,tool scrape,steady posture,ink ledger,quiet rain,true
106,6,west_bridge_repair,Ari,idle project card,tool scrape,steady posture,resin ledger,cold floor,true
107,6,herb_roof_garden,Fay,idle project card,quiet rest,resting posture,compost ledger,clear air,true
108,7,north_lantern_relay,Milo,idle project card,quiet rest,resting posture,oil ledger,warm light,true
109,7,archive_weather_log,Nia,blocked marker,quiet rest,steady posture,paper ledger,dusk chill,true
110,7,west_bridge_repair,Ari,stacked materials,agent call,steady posture,rope ledger,quiet rain,true
111,7,herb_roof_garden,Fay,stacked materials,tool scrape,steady posture,seed ledger,cold floor,true
112,7,north_lantern_relay,Milo,idle project card,ambient room,resting posture,glass ledger,clear air,true
113,7,archive_weather_log,Nia,idle project card,ambient room,resting posture,thread ledger,dry wind,true
114,7,west_bridge_repair,Ari,idle project card,ambient room,resting posture,planks ledger,warm light,true
115,7,herb_roof_garden,Fay,stacked materials,tool scrape,steady posture,water ledger,dusk chill,true
116,7,north_lantern_relay,Milo,idle project card,ambient room,resting posture,wire ledger,quiet rain,true
117,7,archive_weather_log,Nia,idle project card,ambient room,resting posture,ink ledger,cold floor,true
118,7,west_bridge_repair,Ari,idle project card,ambient room,resting posture,resin ledger,clear air,true
119,7,herb_roof_garden,Fay,idle project card,ambient room,resting posture,compost ledger,dry wind,true
120,7,north_lantern_relay,Milo,idle project card,ambient room,resting posture,oil ledger,warm light,true
