chain_id,step_index,day,time_s,actor,project_link,recipe_stage,input_materials,tools,preconditions,output_materials,waste_or_byproduct,quality_score,dependency_state,failure_or_delay,repair_or_rollback,saved_state_key,frequency_hz,flower_node
chain-reed-tray,1,1,721.0,roka,reed lesson tray,sort loose reeds,"loose reeds,rain cloth",reed comb,Roka names loose-only boundary,sorted reed strips,mud flecks,0.82,root,none,ask before next sort,craft:chain-reed-tray:1,228.0,8
chain-reed-tray,2,2,1442.0,roka,reed lesson tray,dry strips,"sorted reed strips,blue stone warmth",rain cloth,sun patch and no tied bundle touch,dry reed strips,wet cloth drip,0.78,sort loose reeds,rain slows drying,turn strips after rain,craft:chain-reed-tray:2,236.5,9
chain-reed-tray,3,3,2163.0,roka,reed lesson tray,tie lesson tray,"dry reed strips,teaching cord",reed comb,Roka permits loose tray,lesson tray,short reed waste,0.74,dry strips,loose tray only,mark tied bundle closed,craft:chain-reed-tray:3,245.0,10
chain-bridge-edge,1,1,721.0,ariq,cart-safe bridge edge,draw chalk arc,"chalk cord,flat stone",care bell,bell rung and Roka line visible,wide chalk arc,chalk dust,0.88,root,none,erase if too narrow,craft:chain-bridge-edge:1,253.5,11
chain-bridge-edge,2,2,1442.0,ariq,cart-safe bridge edge,tap stone edge,"flat stone,wide chalk arc",tap stone,Noro reachable,hollow edge mark,stone grit,0.76,draw chalk arc,hollow sound,stop lift and call Noro,craft:chain-bridge-edge:2,262.0,12
chain-bridge-edge,3,3,2163.0,ariq,cart-safe bridge edge,brace cart edge,"hollow edge mark,brace timber",ledger cord,debt knot visible,cart-safe half edge,wood splinter,0.69,tap stone edge,timber debt delay,review debt before second brace,craft:chain-bridge-edge:3,270.5,1
chain-care-kit,1,1,721.0,fayen,public care kit standard,stage cups,"water cups,shade mat",clean cloth,rest pause accepted,cup station,used water,0.91,root,none,return cups after use,craft:chain-care-kit:1,279.0,2
chain-care-kit,2,2,1442.0,fayen,public care kit standard,add posture bell card,"cup station,care bell",public wording cord,pain words sealed,posture timing card,discarded private phrase,0.86,stage cups,wording drift,rewrite posture only,craft:chain-care-kit:2,287.5,3
chain-care-kit,3,3,2163.0,fayen,public care kit standard,close care kit standard,"posture timing card,clean cloth",shade cord,Fayen approves public language,care kit standard,damp cloth,0.83,add posture bell card,cloth shortage,wash and dry cloth,craft:chain-care-kit:3,296.0,4
chain-ledger-review,1,1,721.0,noro,shade debt review packet,read open debt,"debt knot,shade beam",public board,avatar reads debt first,debt line spoken,frayed cord,0.87,root,none,repeat line if disputed,craft:chain-ledger-review:1,304.5,5
chain-ledger-review,2,2,1442.0,noro,shade debt review packet,add review request,"debt line spoken,review cord",knot board,Nian confirms privacy,review request knot,extra cord tail,0.8,read open debt,privacy question,remove private cause,craft:chain-ledger-review:2,313.0,6
chain-ledger-review,3,3,2163.0,noro,shade debt review packet,schedule evening review,"review request knot,circle edge",bell marker,Noro accepts edge-of-circle participation,evening review slot,open debt remains,0.72,add review request,review delayed,carry review to next day,craft:chain-ledger-review:3,321.5,7
