tick_id,day,settlement_id,chain_id,chain_step_index,affordance_label,prerequisite_met,object_state_before,object_state_after,chain_progress,persisted,visible_affordance_chain
0,1,riverbend,chain:riverbend,0,inspect plank latch,True,step:0,step:0,0.0,True,True
2,1,archive,chain:archive,0,inspect memory tag,True,step:0,step:0,0.0,True,True
5,1,repair_ring,chain:repair_ring,0,inspect bell gauge,True,step:0,step:0,0.0,True,True
10,1,orchard,chain:orchard,0,inspect dry cord,True,step:0,step:0,0.0,True,True
11,1,repair_ring,chain:repair_ring,0,inspect bell gauge,True,step:0,step:0,0.0,True,True
12,2,riverbend,chain:riverbend,0,inspect plank latch,True,step:0,step:1,0.25,True,True
14,2,archive,chain:archive,0,inspect memory tag,True,step:0,step:1,0.25,True,True
15,2,signal,chain:signal,0,inspect mast rope,True,step:0,step:0,0.0,True,True
20,2,archive,chain:archive,1,lift signal spool,True,step:1,step:1,0.25,True,True
21,2,signal,chain:signal,0,inspect mast rope,True,step:0,step:1,0.25,True,True
23,2,repair_ring,chain:repair_ring,0,inspect bell gauge,True,step:0,step:1,0.25,True,True
25,3,roofward,chain:roofward,0,inspect glass latch,True,step:0,step:0,0.0,True,True
30,3,riverbend,chain:riverbend,1,lift cedar kit,True,step:1,step:1,0.25,True,True
34,3,orchard,chain:orchard,0,inspect dry cord,True,step:0,step:0,0.0,True,True
35,3,repair_ring,chain:repair_ring,1,lift insulated tongs,True,step:1,step:1,0.25,True,True
37,4,roofward,chain:roofward,0,inspect glass latch,True,step:0,step:1,0.25,True,True
40,4,orchard,chain:orchard,0,inspect dry cord,True,step:0,step:0,0.0,True,True
41,4,repair_ring,chain:repair_ring,1,lift insulated tongs,True,step:1,step:2,0.5,True,True
44,4,archive,chain:archive,1,lift signal spool,False,step:1,step:1,0.25,True,True
45,4,signal,chain:signal,1,lift oil lantern,True,step:1,step:1,0.25,True,True
46,4,orchard,chain:orchard,0,inspect dry cord,True,step:0,step:1,0.25,True,True
48,5,riverbend,chain:riverbend,1,lift cedar kit,True,step:1,step:1,0.25,True,True
50,5,archive,chain:archive,1,lift signal spool,True,step:1,step:1,0.25,True,True
55,5,roofward,chain:roofward,1,carry herb ledger,False,step:1,step:1,0.25,True,True
57,5,signal,chain:signal,1,lift oil lantern,True,step:1,step:1,0.25,True,True
60,6,riverbend,chain:riverbend,1,lift cedar kit,True,step:1,step:2,0.5,True,True
64,6,orchard,chain:orchard,1,lift seed satchel,True,step:1,step:2,0.5,True,True
65,6,repair_ring,chain:repair_ring,2,place copper wire,True,step:2,step:2,0.5,True,True
67,6,roofward,chain:roofward,1,carry herb ledger,True,step:1,step:2,0.5,True,True
69,6,signal,chain:signal,1,lift oil lantern,True,step:1,step:2,0.5,True,True
70,6,orchard,chain:orchard,2,place market token,True,step:2,step:2,0.5,True,True
75,7,signal,chain:signal,2,align signal lens,True,step:2,step:2,0.5,True,True
77,7,repair_ring,chain:repair_ring,2,place copper wire,False,step:2,step:2,0.5,True,True
80,7,archive,chain:archive,1,lift signal spool,True,step:1,step:1,0.25,True,True
85,8,archive,chain:archive,1,lift signal spool,True,step:1,step:1,0.25,True,True
88,8,repair_ring,chain:repair_ring,2,place copper wire,False,step:2,step:2,0.5,True,True
90,8,roofward,chain:roofward,2,align sun lens,True,step:2,step:2,0.5,True,True
91,8,archive,chain:archive,1,lift signal spool,True,step:1,step:1,0.25,True,True
95,8,riverbend,chain:riverbend,2,place ridge lantern,True,step:2,step:2,0.5,True,True
98,9,signal,chain:signal,2,align signal lens,True,step:2,step:3,0.75,True,True
100,9,repair_ring,chain:repair_ring,2,place copper wire,True,step:2,step:3,0.75,True,True
101,9,riverbend,chain:riverbend,2,place ridge lantern,True,step:2,step:3,0.75,True,True
103,9,archive,chain:archive,1,lift signal spool,True,step:1,step:2,0.5,True,True
105,9,orchard,chain:orchard,2,place market token,True,step:2,step:2,0.5,True,True
110,10,signal,chain:signal,3,light safe path,False,step:3,step:3,0.75,True,True
111,10,orchard,chain:orchard,2,place market token,True,step:2,step:2,0.5,True,True
114,10,roofward,chain:roofward,2,align sun lens,True,step:2,step:2,0.5,True,True
115,10,archive,chain:archive,2,ink route mark,True,step:2,step:2,0.5,True,True
120,11,roofward,chain:roofward,2,align sun lens,True,step:2,step:2,0.5,True,True
121,11,archive,chain:archive,2,ink route mark,False,step:2,step:2,0.5,True,True
123,11,orchard,chain:orchard,2,place market token,True,step:2,step:3,0.75,True,True
125,11,riverbend,chain:riverbend,3,repair crossing,True,step:3,step:3,0.75,True,True
126,11,roofward,chain:roofward,2,align sun lens,True,step:2,step:3,0.75,True,True
130,11,repair_ring,chain:repair_ring,3,stabilize repair,True,step:3,step:4,1.0,True,True
134,12,signal,chain:signal,3,light safe path,True,step:3,step:3,0.75,True,True
135,12,orchard,chain:orchard,3,seal seed shed,True,step:3,step:3,0.75,True,True
137,12,riverbend,chain:riverbend,3,repair crossing,True,step:3,step:3,0.75,True,True
140,12,signal,chain:signal,3,light safe path,True,step:3,step:3,0.75,True,True
144,13,roofward,chain:roofward,3,open warm archive,True,step:3,step:4,1.0,True,True
145,13,archive,chain:archive,2,ink route mark,True,step:2,step:2,0.5,True,True
146,13,signal,chain:signal,3,light safe path,True,step:3,step:4,1.0,True,True
149,13,riverbend,chain:riverbend,3,repair crossing,True,step:3,step:4,1.0,True,True
150,13,roofward,chain:roofward,3,open warm archive,True,step:4,step:4,1.0,True,True
153,13,orchard,chain:orchard,3,seal seed shed,True,step:3,step:4,1.0,True,True
155,13,riverbend,chain:riverbend,3,repair crossing,True,step:4,step:4,1.0,True,True
157,14,archive,chain:archive,2,ink route mark,True,step:2,step:2,0.5,True,True
160,14,repair_ring,chain:repair_ring,3,stabilize repair,True,step:4,step:4,1.0,True,True
165,14,orchard,chain:orchard,3,seal seed shed,False,step:4,step:4,1.0,True,True
166,14,repair_ring,chain:repair_ring,3,stabilize repair,True,step:4,step:4,1.0,True,True
169,15,archive,chain:archive,2,ink route mark,True,step:2,step:3,0.75,True,True
170,15,signal,chain:signal,3,light safe path,True,step:4,step:4,1.0,True,True
