tick,day,resident,room,sound_level,smell_strength,temperature_c,wetness,light_level,pain_signal,fatigue_signal,overlay_intensity,sensory_frequency_hz,flower_phase,overlay_visible
0,1,Sera,glasshouse,0.50919,0.638793,17.767,0.22,0.52,0.04,0.239494,0.361246,2.791,root,True
1,1,Tovan,river gate,0.528455,0.629388,18.033,0.706658,0.582513,0.04076,0.265964,0.458957,3.161,stem,True
2,1,Nia,west hearth,0.547325,0.619283,18.298,0.233308,0.643127,0.04152,0.292435,0.396166,3.531,leaf,True
3,1,Ari,rain court,0.565705,0.608507,18.561,0.719939,0.7,0.042279,0.318905,0.492556,3.901,bud,True
4,1,Fay,tool alcove,0.583501,0.597088,18.823,0.246543,0.751404,0.043037,0.345376,0.427825,4.271,bloom,True
5,1,Milo,fiber loft,0.600625,0.58506,19.082,0.25311,0.795776,0.203794,0.371847,0.468369,4.641,fruit,True
6,1,Sera,glasshouse,0.61699,0.572456,19.338,0.259633,0.831769,0.04455,0.398317,0.453953,5.011,compost,True
7,1,Tovan,river gate,0.632513,0.559312,19.591,0.746101,0.858289,0.045304,0.424788,0.544385,5.381,seed,True
8,1,Nia,west hearth,0.647117,0.545664,19.84,0.272505,0.874531,0.046057,0.451258,0.472855,5.751,root,True
9,1,Ari,rain court,0.660728,0.53155,20.085,0.758838,0.88,0.046807,0.477729,0.559275,2.791,stem,True
10,1,Fay,tool alcove,0.673276,0.517011,20.324,0.285091,0.874531,0.047554,0.5042,0.483611,3.161,leaf,True
11,1,Milo,fiber loft,0.6847,0.502088,20.559,0.291254,0.858289,0.048299,0.53067,0.485883,3.531,bud,True
12,1,Sera,glasshouse,0.694941,0.486821,20.788,0.29732,0.831769,0.209041,0.557141,0.512839,3.901,bloom,True
13,1,Tovan,river gate,0.703948,0.471255,21.011,0.78328,0.795776,0.04978,0.583611,0.564608,4.271,fruit,True
14,1,Nia,west hearth,0.711675,0.455432,21.227,0.309126,0.751404,0.050515,0.610082,0.481372,4.641,compost,True
15,1,Ari,rain court,0.718083,0.439397,21.437,0.79485,0.7,0.051246,0.636553,0.556688,5.011,seed,True
16,1,Fay,tool alcove,0.723141,0.423196,21.639,0.320444,0.643127,0.051974,0.663023,0.470817,5.381,root,True
17,1,Milo,fiber loft,0.726822,0.406873,21.834,0.325901,0.582513,0.052697,0.689494,0.46405,5.751,stem,True
18,2,Sera,river gate,0.729109,0.390475,18.033,0.811212,0.52,0.213415,0.237983,0.483699,2.832,stem,True
