tick,day,snapshot_key,restored_room,restored_resident,restored_memory_key,restored_debt_name,replay_rows,audit_scrub_ready,restored_ok,localstorage_backed
0,1,ssrm:v60:snapshot:d001:t00000,tool alcove,Tovan,v60:tovan:water_carry:d001:s00,water carry,1,True,True,True
1,1,ssrm:v60:snapshot:d001:t00001,rain court,Nia,v60:nia:repair_promise:d001:s01,repair promise,2,True,True,True
2,1,ssrm:v60:snapshot:d001:t00002,fiber loft,Ari,v60:ari:missed_greeting:d001:s02,missed greeting,3,True,True,True
3,1,ssrm:v60:snapshot:d001:t00003,west hearth,Fay,v60:fay:care_favor:d001:s03,care favor,4,True,True,True
4,1,ssrm:v60:snapshot:d001:t00004,river gate,Milo,v60:milo:route_warning:d001:s04,route warning,5,True,True,True
5,1,ssrm:v60:snapshot:d001:t00005,arrival court,Sera,v60:sera:tool_loan:d001:s05,tool loan,6,True,True,True
6,1,ssrm:v60:snapshot:d001:t00006,tool alcove,Tovan,v60:tovan:water_carry:d001:s06,water carry,7,True,True,True
7,1,ssrm:v60:snapshot:d001:t00007,rain court,Nia,v60:nia:repair_promise:d001:s07,repair promise,8,True,True,True
8,1,ssrm:v60:snapshot:d001:t00008,fiber loft,Ari,v60:ari:missed_greeting:d001:s08,missed greeting,9,True,True,True
9,1,ssrm:v60:snapshot:d001:t00009,west hearth,Fay,v60:fay:care_favor:d001:s09,care favor,10,True,True,True
10,1,ssrm:v60:snapshot:d001:t00010,river gate,Milo,v60:milo:route_warning:d001:s10,route warning,11,True,True,True
11,1,ssrm:v60:snapshot:d001:t00011,arrival court,Sera,v60:sera:tool_loan:d001:s11,tool loan,12,True,True,True
12,1,ssrm:v60:snapshot:d001:t00012,tool alcove,Tovan,v60:tovan:water_carry:d001:s12,water carry,13,True,True,True
13,1,ssrm:v60:snapshot:d001:t00013,rain court,Nia,v60:nia:repair_promise:d001:s13,repair promise,14,True,True,True
14,1,ssrm:v60:snapshot:d001:t00014,fiber loft,Ari,v60:ari:missed_greeting:d001:s14,missed greeting,15,True,True,True
15,1,ssrm:v60:snapshot:d001:t00015,west hearth,Fay,v60:fay:care_favor:d001:s15,care favor,16,True,True,True
16,1,ssrm:v60:snapshot:d001:t00016,river gate,Milo,v60:milo:route_warning:d001:s16,route warning,17,True,True,True
17,1,ssrm:v60:snapshot:d001:t00017,arrival court,Sera,v60:sera:tool_loan:d001:s17,tool loan,18,True,True,True
18,2,ssrm:v60:snapshot:d002:t00018,rain court,Tovan,v60:tovan:repair_promise:d002:s00,repair promise,19,True,True,True
19,2,ssrm:v60:snapshot:d002:t00019,fiber loft,Nia,v60:nia:missed_greeting:d002:s01,missed greeting,20,True,True,True
20,2,ssrm:v60:snapshot:d002:t00020,west hearth,Ari,v60:ari:care_favor:d002:s02,care favor,21,True,True,True
21,2,ssrm:v60:snapshot:d002:t00021,river gate,Fay,v60:fay:route_warning:d002:s03,route warning,22,True,True,True
22,2,ssrm:v60:snapshot:d002:t00022,arrival court,Milo,v60:milo:tool_loan:d002:s04,tool loan,23,True,True,True
23,2,ssrm:v60:snapshot:d002:t00023,tool alcove,Sera,v60:sera:water_carry:d002:s05,water carry,24,True,True,True
24,2,ssrm:v60:snapshot:d002:t00024,rain court,Tovan,v60:tovan:repair_promise:d002:s06,repair promise,25,True,True,True
25,2,ssrm:v60:snapshot:d002:t00025,fiber loft,Nia,v60:nia:missed_greeting:d002:s07,missed greeting,26,True,True,True
26,2,ssrm:v60:snapshot:d002:t00026,west hearth,Ari,v60:ari:care_favor:d002:s08,care favor,27,True,True,True
27,2,ssrm:v60:snapshot:d002:t00027,river gate,Fay,v60:fay:route_warning:d002:s09,route warning,28,True,True,True
28,2,ssrm:v60:snapshot:d002:t00028,arrival court,Milo,v60:milo:tool_loan:d002:s10,tool loan,29,True,True,True
29,2,ssrm:v60:snapshot:d002:t00029,tool alcove,Sera,v60:sera:water_carry:d002:s11,water carry,30,True,True,True
30,2,ssrm:v60:snapshot:d002:t00030,rain court,Tovan,v60:tovan:repair_promise:d002:s12,repair promise,31,True,True,True
31,2,ssrm:v60:snapshot:d002:t00031,fiber loft,Nia,v60:nia:missed_greeting:d002:s13,missed greeting,32,True,True,True
32,2,ssrm:v60:snapshot:d002:t00032,west hearth,Ari,v60:ari:care_favor:d002:s14,care favor,33,True,True,True
33,2,ssrm:v60:snapshot:d002:t00033,river gate,Fay,v60:fay:route_warning:d002:s15,route warning,34,True,True,True
34,2,ssrm:v60:snapshot:d002:t00034,arrival court,Milo,v60:milo:tool_loan:d002:s16,tool loan,35,True,True,True
35,2,ssrm:v60:snapshot:d002:t00035,tool alcove,Sera,v60:sera:water_carry:d002:s17,water carry,36,True,True,True
36,3,ssrm:v60:snapshot:d003:t00036,fiber loft,Tovan,v60:tovan:missed_greeting:d003:s00,missed greeting,37,True,True,True
37,3,ssrm:v60:snapshot:d003:t00037,west hearth,Nia,v60:nia:care_favor:d003:s01,care favor,38,True,True,True
38,3,ssrm:v60:snapshot:d003:t00038,river gate,Ari,v60:ari:route_warning:d003:s02,route warning,39,True,True,True
39,3,ssrm:v60:snapshot:d003:t00039,arrival court,Fay,v60:fay:tool_loan:d003:s03,tool loan,40,True,True,True
40,3,ssrm:v60:snapshot:d003:t00040,tool alcove,Milo,v60:milo:water_carry:d003:s04,water carry,41,True,True,True
