metric,value
source_v45_continuity,1.0
resident_to_resident_scheduling,1.0
resident_schedule_visibility,1.0
negotiated_multi_day_object_loans,1.0
loan_custody_or_boundary_effect,0.9398148148148148
household_role_visibility,1.0
role_based_loan_permission,1.0
animated_apology_forgiveness_arc,1.0
avatar_debt_conversation_hooks,1.0
debt_hook_changes_debt_or_trust,1.0
multi_reload_debt_memory_integrity,0.9869281045751634
browser_v46_surface,1.0
private_workspace_boundary_preserved,1.0
frequency_flower_social_schedule_binding,1.0
apology_forgiveness_not_overdriven,0.842
browser_world_v46_surface,1.0
weakest_channel_name,apology_forgiveness_not_overdriven
mean_resident_social_debt_channel_score,0.985546
weakest_channel_score,0.842
browser_world_v46_resident_social_debt_readiness,0.942482
session_day_count,192.0
resident_schedule_count,3456.0
resident_schedule_autonomous_count,3456.0
negotiated_loan_count,2160.0
loan_effect_count,2030.0
household_role_count,13824.0
role_permission_count,13824.0
apology_forgiveness_count,1383.0
apology_forgiveness_valid_count,1383.0
avatar_debt_hook_count,2304.0
avatar_debt_hook_effect_count,2304.0
debt_memory_reload_count,459.0
browser_tick_count,3456.0
html_button_count,72.0
html_localstorage_handler_count,7.0
