criterion,passed,score,evidence
audit_hidden_law_belief_split,True,1.0,metric=1.000
avatar_hint_not_direct_install,True,1.0,metric=1.000
browser_surface_static_smoke,True,1.0,metric=1.000
browser_surface_wired,True,1.0,metric=1.000
hint_requires_material_or_time_cost,True,1.0,metric=1.000
household_interpretation_divergence,True,1.0,metric=1.000
multi_seed_hint_divergence,True,1.0,metric=1.000
normal_view_no_modern_terms,True,1.0,metric=1.000
practice_mutation_from_existing_node,True,1.0,metric=1.000
reality_causal_ledger_integrity,True,1.0,metric=1.000
resident_refusal_and_delay_present,True,1.0,metric=1.000
same_hidden_law_different_histories,True,1.0,metric=1.000
shell_hint_divergence_wired,True,1.0,metric=1.000
source_trace_integrity,True,1.0,metric=1.000
taboo_or_ritual_branch_present,True,1.0,metric=1.000
village_board_proposal_coupling,True,1.0,metric=1.000
wrong_interpretation_can_be_useful,True,1.0,metric=1.000
ablations_fail_as_expected,True,1.0,8/8
