seed,pulse_id,actor,event,actor_entropy,event_entropy,intensity_entropy,intensity,resources_before,resources_after,resource_delta,need_before,need_after,schedule_coupling,trust_after,progress_after,debt_after,consequence
36217,36217-SP-01,Milo,neighbor_help,197,124,105,0.912,"{""care"": 2, ""fiber"": 5, ""water"": 6, ""wood"": 6}","{""care"": 3, ""fiber"": 5, ""water"": 6, ""wood"": 6}","{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Milo made 36217-AIS-03 easier to attempt after neighbor_help,0.547,0.403,0,Milo encountered neighbor_help with intensity 0.912
36217,36217-SP-02,Sera,neighbor_help,53,126,254,1.496,"{""care"": 3, ""fiber"": 5, ""water"": 6, ""wood"": 6}","{""care"": 4, ""fiber"": 5, ""water"": 6, ""wood"": 6}","{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",explore,explore,Sera made 36217-AIS-01 easier to attempt after neighbor_help,0.662,0.436,0,Sera encountered neighbor_help with intensity 1.496
36217,36217-SP-03,Milo,neighbor_help,97,123,192,1.253,"{""care"": 4, ""fiber"": 5, ""water"": 6, ""wood"": 6}","{""care"": 5, ""fiber"": 5, ""water"": 6, ""wood"": 6}","{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Milo made 36217-AIS-01 easier to attempt after neighbor_help,0.557,0.421,0,Milo encountered neighbor_help with intensity 1.253
36217,36217-SP-04,Tovan,neighbor_help,54,131,27,0.606,"{""care"": 5, ""fiber"": 5, ""water"": 6, ""wood"": 6}","{""care"": 6, ""fiber"": 5, ""water"": 6, ""wood"": 6}","{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Tovan made 36217-AIS-05 easier to attempt after neighbor_help,0.575,0.448,0,Tovan encountered neighbor_help with intensity 0.606
36217,36217-SP-05,Ari,found_material,240,219,11,0.543,"{""care"": 6, ""fiber"": 5, ""water"": 6, ""wood"": 6}","{""care"": 6, ""fiber"": 6, ""water"": 6, ""wood"": 7}","{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",finish-work,finish-work,Ari made 36217-AIS-01 easier to attempt after found_material,0.512,0.344,0,Ari encountered found_material with intensity 0.543
36217,36217-SP-06,Ari,roof_leak,105,42,62,0.743,"{""care"": 6, ""fiber"": 6, ""water"": 6, ""wood"": 7}","{""care"": 6, ""fiber"": 6, ""water"": 5, ""wood"": 6}","{""care"": 0, ""fiber"": 0, ""water"": -1, ""wood"": -1}",finish-work,finish-work,Ari stochastically delayed 36217-AIS-01 while repair awning competed with roof_leak,0.509,0.34,1,Ari encountered roof_leak with intensity 0.743
36217,36217-SP-07,Fay,argument_echo,236,165,29,0.614,"{""care"": 6, ""fiber"": 6, ""water"": 5, ""wood"": 6}","{""care"": 6, ""fiber"": 6, ""water"": 5, ""wood"": 6}","{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Fay stochastically disputed 36217-AIS-02 while sort herbs competed with argument_echo,0.616,0.364,1,Fay encountered argument_echo with intensity 0.614
36217,36217-SP-08,Milo,neighbor_help,157,119,23,0.59,"{""care"": 6, ""fiber"": 6, ""water"": 5, ""wood"": 6}","{""care"": 7, ""fiber"": 6, ""water"": 5, ""wood"": 6}","{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Milo made 36217-AIS-03 easier to attempt after neighbor_help,0.562,0.429,0,Milo encountered neighbor_help with intensity 0.59
36231,36231-SP-01,Tovan,quiet_recovery,214,239,16,0.563,"{""care"": 2, ""fiber"": 5, ""water"": 5, ""wood"": 8}","{""care"": 2, ""fiber"": 5, ""water"": 5, ""wood"": 8}","{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",explore,explore,,0.522,0.443,0,Tovan encountered quiet_recovery with intensity 0.563
36231,36231-SP-02,Fay,found_material,176,221,49,0.692,"{""care"": 2, ""fiber"": 5, ""water"": 5, ""wood"": 8}","{""care"": 2, ""fiber"": 6, ""water"": 5, ""wood"": 9}","{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",finish-work,finish-work,Fay made 36231-AIS-02 easier to attempt after found_material,0.573,0.371,1,Fay encountered found_material with intensity 0.692
36231,36231-SP-03,Milo,neighbor_help,152,131,134,1.025,"{""care"": 2, ""fiber"": 6, ""water"": 5, ""wood"": 9}","{""care"": 3, ""fiber"": 6, ""water"": 5, ""wood"": 9}","{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Milo made 36231-AIS-03 easier to attempt after neighbor_help,0.498,0.404,0,Milo encountered neighbor_help with intensity 1.025
36231,36231-SP-04,Milo,tool_snag,32,80,124,0.986,"{""care"": 3, ""fiber"": 6, ""water"": 5, ""wood"": 9}","{""care"": 3, ""fiber"": 5, ""water"": 5, ""wood"": 9}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Milo stochastically delayed 36231-AIS-03 while carry water competed with tool_snag,0.496,0.394,0,Milo encountered tool_snag with intensity 0.986
36231,36231-SP-05,Ari,tool_snag,110,79,80,0.814,"{""care"": 3, ""fiber"": 5, ""water"": 5, ""wood"": 9}","{""care"": 3, ""fiber"": 4, ""water"": 5, ""wood"": 9}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Ari stochastically delayed 36231-AIS-01 while repair awning competed with tool_snag,0.648,0.332,0,Ari encountered tool_snag with intensity 0.814
36231,36231-SP-06,Tovan,tool_snag,39,90,133,1.022,"{""care"": 3, ""fiber"": 4, ""water"": 5, ""wood"": 9}","{""care"": 3, ""fiber"": 3, ""water"": 5, ""wood"": 9}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Tovan stochastically delayed 36231-AIS-02 while sort herbs competed with tool_snag,0.52,0.433,0,Tovan encountered tool_snag with intensity 1.022
36231,36231-SP-07,Sera,tool_snag,58,55,205,1.304,"{""care"": 3, ""fiber"": 3, ""water"": 5, ""wood"": 9}","{""care"": 3, ""fiber"": 1, ""water"": 5, ""wood"": 9}","{""care"": 0, ""fiber"": -2, ""water"": 0, ""wood"": 0}",finish-work,finish-work,Sera stochastically delayed 36231-AIS-04 while dry cloaks competed with tool_snag,0.597,0.402,1,Sera encountered tool_snag with intensity 1.304
36231,36231-SP-08,Fay,tool_snag,156,37,60,0.735,"{""care"": 3, ""fiber"": 1, ""water"": 5, ""wood"": 9}","{""care"": 3, ""fiber"": 0, ""water"": 5, ""wood"": 9}","{""care"": 0, ""fiber"": -1, ""water"": 0, ""wood"": 0}",finish-work,finish-work,,0.572,0.364,1,Fay encountered tool_snag with intensity 0.735
36247,36247-SP-01,Milo,argument_echo,87,173,254,1.496,"{""care"": 2, ""fiber"": 5, ""water"": 6, ""wood"": 8}","{""care"": 2, ""fiber"": 5, ""water"": 6, ""wood"": 8}","{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",explore,finish-work,Milo stochastically disputed 36247-AIS-03 while carry water competed with argument_echo,0.64,0.387,0,Milo encountered argument_echo with intensity 1.496
