tick_id,day,settlement_id,resident_id,requested_object,task_site,request_phrase,ownership_state,avatar_can_help,request_visible,object_permission_checked,task_changes_world_state,no_llm_call
0,1,moss_ward,Ari,root ledger,rain gate,Ari asks: help with root ledger at rain gate,shared_with_boundary,True,True,True,True,True
1,1,glass_harbor,Oren,brass lantern,net room,Oren asks: help with brass lantern at net room,resident_owned,True,True,True,True,True
2,1,cinder_garden,Vale,seed tray,shade tent,Vale asks: help with seed tray at shade tent,resident_owned,True,True,True,True,True
3,1,lichen_bridge,Sol,meal ledger,rope bridge,Sol asks: help with meal ledger at rope bridge,resident_owned,True,True,True,True,True
4,1,orchid_engine,Bea,valve key,gear wash,Bea asks: help with valve key at gear wash,resident_owned,True,True,True,True,True
5,1,moss_ward,Fay,dry cloak,root alcove,Fay asks: help with dry cloak at root alcove,shared_with_boundary,True,True,True,True,True
6,1,glass_harbor,Puck,tea kettle,lamp pier,Puck asks: help with tea kettle at lamp pier,resident_owned,True,True,True,True,True
7,1,cinder_garden,Wren,shade pole,ash path,Wren asks: help with shade pole at ash path,resident_owned,False,True,True,True,True
8,1,lichen_bridge,Kio,signal bell,meal room,Kio asks: help with signal bell at meal room,resident_owned,True,True,True,True,True
9,1,orchid_engine,Cai,orchid lamp,engine ring,Cai asks: help with orchid lamp at engine ring,resident_owned,True,True,True,True,True
10,1,moss_ward,Milo,rain jar,blanket room,Milo asks: help with rain jar at blanket room,shared_with_boundary,True,True,True,True,True
11,1,glass_harbor,Sera,net spool,fog rail,Sera asks: help with net spool at fog rail,resident_owned,True,True,True,True,True
12,1,cinder_garden,Juno,cool bowl,seed shelf,Juno asks: help with cool bowl at seed shelf,resident_owned,True,True,True,True,True
13,1,lichen_bridge,Luma,rope kit,signal post,Luma asks: help with rope kit at signal post,resident_owned,True,True,True,True,True
14,1,orchid_engine,Dax,gear cloth,orchid bay,Dax asks: help with gear cloth at orchid bay,resident_owned,False,True,True,True,True
15,1,moss_ward,Tala,root ledger,rain gate,Tala asks: help with root ledger at rain gate,shared_with_boundary,True,True,True,True,True
16,1,glass_harbor,Nia,brass lantern,net room,Nia asks: help with brass lantern at net room,resident_owned,True,True,True,True,True
17,1,cinder_garden,Pax,seed tray,shade tent,Pax asks: help with seed tray at shade tent,resident_owned,True,True,True,True,True
18,2,orchid_engine,Bea,valve key,gear wash,Bea asks: help with valve key at gear wash,resident_owned,True,True,True,True,True
19,2,moss_ward,Fay,dry cloak,root alcove,Fay asks: help with dry cloak at root alcove,resident_owned,True,True,True,True,True
20,2,glass_harbor,Puck,tea kettle,lamp pier,Puck asks: help with tea kettle at lamp pier,shared_with_boundary,True,True,True,True,True
21,2,cinder_garden,Wren,shade pole,ash path,Wren asks: help with shade pole at ash path,resident_owned,False,True,True,True,True
22,2,lichen_bridge,Kio,signal bell,meal room,Kio asks: help with signal bell at meal room,resident_owned,True,True,True,True,True
23,2,orchid_engine,Cai,orchid lamp,engine ring,Cai asks: help with orchid lamp at engine ring,resident_owned,True,True,True,True,True
24,2,moss_ward,Milo,rain jar,blanket room,Milo asks: help with rain jar at blanket room,resident_owned,True,True,True,True,True
25,2,glass_harbor,Sera,net spool,fog rail,Sera asks: help with net spool at fog rail,shared_with_boundary,True,True,True,True,True
26,2,cinder_garden,Juno,cool bowl,seed shelf,Juno asks: help with cool bowl at seed shelf,resident_owned,True,True,True,True,True
27,2,lichen_bridge,Luma,rope kit,signal post,Luma asks: help with rope kit at signal post,resident_owned,True,True,True,True,True
28,2,orchid_engine,Dax,gear cloth,orchid bay,Dax asks: help with gear cloth at orchid bay,resident_owned,False,True,True,True,True
29,2,moss_ward,Tala,root ledger,rain gate,Tala asks: help with root ledger at rain gate,resident_owned,True,True,True,True,True
30,2,glass_harbor,Nia,brass lantern,net room,Nia asks: help with brass lantern at net room,shared_with_boundary,True,True,True,True,True
31,2,cinder_garden,Pax,seed tray,shade tent,Pax asks: help with seed tray at shade tent,resident_owned,True,True,True,True,True
32,2,lichen_bridge,Rin,meal ledger,rope bridge,Rin asks: help with meal ledger at rope bridge,resident_owned,True,True,True,True,True
33,2,orchid_engine,Eli,valve key,gear wash,Eli asks: help with valve key at gear wash,resident_owned,True,True,True,True,True
34,2,moss_ward,Ari,dry cloak,root alcove,Ari asks: help with dry cloak at root alcove,resident_owned,True,True,True,True,True
35,2,glass_harbor,Oren,tea kettle,lamp pier,Oren asks: help with tea kettle at lamp pier,shared_with_boundary,True,True,True,True,True
36,3,lichen_bridge,Kio,signal bell,meal room,Kio asks: help with signal bell at meal room,resident_owned,True,True,True,True,True
37,3,orchid_engine,Cai,orchid lamp,engine ring,Cai asks: help with orchid lamp at engine ring,resident_owned,True,True,True,True,True
