tick_id,day,route_id,caravan_id,task_kind,task_available,task_taken,cargo_delta,fatigue_delta,recovery_delta,consequence_visible,boundary_clause
0,1,riverbend_roofward,caravan:riverbend_roofward,mark bridge boards,False,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
1,1,roofward_archive,caravan:roofward_archive,shade herb cart,False,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
2,1,archive_signal,caravan:archive_signal,weigh paper packs,True,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
3,1,signal_orchard,caravan:signal_orchard,carry oil lamp,False,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
4,1,orchard_riverbend,caravan:orchard_riverbend,lay stepping mats,True,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
5,1,central_repair_ring,caravan:central_repair_ring,queue repair token,True,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
6,1,riverbend_roofward,caravan:riverbend_roofward,carry flood rope,True,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
7,1,roofward_archive,caravan:roofward_archive,steady glass crate,False,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
8,1,archive_signal,caravan:archive_signal,pin route notice,False,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
9,1,signal_orchard,caravan:signal_orchard,dim signal relay,False,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
10,1,orchard_riverbend,caravan:orchard_riverbend,sort seed sacks,True,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
11,1,central_repair_ring,caravan:central_repair_ring,carry wire spool,True,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
12,1,riverbend_roofward,caravan:riverbend_roofward,mark bridge boards,False,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
13,1,roofward_archive,caravan:roofward_archive,shade herb cart,False,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
14,1,archive_signal,caravan:archive_signal,weigh paper packs,True,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
15,1,signal_orchard,caravan:signal_orchard,carry oil lamp,False,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
16,2,orchard_riverbend,caravan:orchard_riverbend,lay stepping mats,True,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
17,2,central_repair_ring,caravan:central_repair_ring,queue repair token,True,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
18,2,riverbend_roofward,caravan:riverbend_roofward,carry flood rope,True,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
19,2,roofward_archive,caravan:roofward_archive,steady glass crate,False,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
20,2,archive_signal,caravan:archive_signal,pin route notice,False,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
21,2,signal_orchard,caravan:signal_orchard,dim signal relay,False,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
22,2,orchard_riverbend,caravan:orchard_riverbend,sort seed sacks,True,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
23,2,central_repair_ring,caravan:central_repair_ring,carry wire spool,True,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
24,2,riverbend_roofward,caravan:riverbend_roofward,mark bridge boards,False,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
25,2,roofward_archive,caravan:roofward_archive,shade herb cart,False,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
26,2,archive_signal,caravan:archive_signal,weigh paper packs,True,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
27,2,signal_orchard,caravan:signal_orchard,carry oil lamp,False,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
28,2,orchard_riverbend,caravan:orchard_riverbend,lay stepping mats,True,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
29,2,central_repair_ring,caravan:central_repair_ring,queue repair token,False,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
30,2,riverbend_roofward,caravan:riverbend_roofward,carry flood rope,True,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
31,2,roofward_archive,caravan:roofward_archive,steady glass crate,False,False,0.0,0.0,0.0,False,public caravan task only; no private workspace override
